District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Bagerhat ,22.6602436,89.7895478,1/1/1998,0.0,0.0,285.5035706,291.3234863,,0.0,-5e-10,-8.13e-05,101709.0859,12.48906803,0.281587154,-15.61003876,-3.029918432,0.947319508,0
Bagerhat ,22.6602436,89.7895478,1/2/1998,0.0,0.0,283.1375427,289.3695068,,0.0,-5e-10,-8.12e-05,101750.4297,3.126987696,0.011913844,-25.72562981,-2.46328187,1.405084252,0
Bagerhat ,22.6602436,89.7895478,1/3/1998,0.0,0.0,283.1088867,288.3919983,,0.0,-5e-10,-7.62e-05,101894.6641,8.501351357,0.038643379,-45.30865097,-2.481508017,1.190608025,0
Bagerhat ,22.6602436,89.7895478,1/4/1998,0.0,0.0,284.8492432,288.8033447,,0.0,-5e-10,-7.32e-05,101771.7188,18.93908691,0.699864328,-36.06895065,-2.290013075,1.690596461,0
Bagerhat ,22.6602436,89.7895478,1/5/1998,0.0,0.0,285.0912781,288.3692932,,0.0,-5e-10,-6.94e-05,101604.6875,22.59868813,0.372388095,-28.572052,-1.11083889,1.601251006,0
Bagerhat ,22.6602436,89.7895478,1/6/1998,0.0,0.0,284.7731628,288.1296082,,0.0,-5e-10,-7.71e-05,101637.1328,15.79882813,0.046748713,-22.10890961,-1.81039989,0.532034993,0
Bagerhat ,22.6602436,89.7895478,1/7/1998,0.0,0.0,284.4950867,287.9108582,,0.0,-5e-10,-8.13e-05,101719.1172,18.15324211,0.183365628,-16.93566132,-2.072443247,0.498431534,0
Bagerhat ,22.6602436,89.7895478,1/8/1998,0.0,0.0,284.4012756,287.9393616,,0.0,-5e-10,-8.38e-05,101593.2188,17.02374268,0.3074736,-14.10721493,-2.028553248,1.149475217,0
Bagerhat ,22.6602436,89.7895478,1/9/1998,0.0,0.0,284.1745911,288.5773315,,0.0,-5e-10,-8.98e-05,101423.8828,17.31954193,0.139741302,-13.96566391,-2.043233872,1.042483091,0
Bagerhat ,22.6602436,89.7895478,1/10/1998,0.0,0.0,283.7581787,288.3069763,,0.0,-5e-10,-9.06e-05,101478.1563,21.20199394,0.413355351,-27.3384304,-2.181411982,0.738597095,0
Bagerhat ,22.6602436,89.7895478,1/11/1998,0.0,0.0,283.9804993,288.1592712,,0.0,-5e-10,-8.44e-05,101374.0313,12.63709164,0.420330852,-33.18030548,-1.910806656,1.393063188,0
Bagerhat ,22.6602436,89.7895478,1/12/1998,0.0,0.0,284.9646301,289.1548462,,0.0,-5e-10,-8.79e-05,101113.6641,25.78408051,0.003159986,-2.973501921,0.646560609,1.586042762,0
Bagerhat ,22.6602436,89.7895478,1/13/1998,7.06e-06,79.17016602,289.1902161,293.2301025,171.6385956,7.11e-06,2.05e-06,-7.74e-05,101005.9453,29.48673821,0.194789901,15.73762989,1.645979762,1.14226687,0
Bagerhat ,22.6602436,89.7895478,1/14/1998,0.0,14.12681103,287.1288147,292.1971436,329.1725464,1.2e-08,-5e-10,-8.62e-05,101171.3984,26.49425507,0.680839539,-17.09934235,-1.809059501,0.647690117,0
Bagerhat ,22.6602436,89.7895478,1/15/1998,0.0,0.0,285.5996094,290.9530029,,0.0,-5e-10,-9.6e-05,101088.9141,19.83064079,0.18602334,-0.509280384,0.30039075,1.768755078,0
Bagerhat ,22.6602436,89.7895478,1/16/1998,3.01e-06,74.52380371,290.1355286,294.0446472,129.7722931,2.8e-06,-5e-10,-8.06e-05,101021.6641,31.79374123,0.32268095,-15.25759792,1.167534232,0.58946687,0
Bagerhat ,22.6602436,89.7895478,1/17/1998,0.000311822,48.65775681,290.8412476,294.2905273,72.59333801,0.000172026,5.08e-05,-8.05e-05,101290.7578,40.52849197,0.642640591,15.06386852,-0.758161247,-0.918733597,0
Bagerhat ,22.6602436,89.7895478,1/18/1998,0.000452369,18.02215576,290.9136047,292.0314331,2.334655762,0.000120243,9.64e-05,-3.25e-05,101320.9297,42.9840126,0.971095324,31.83287048,-1.02675581,-0.294213265,0
Bagerhat ,22.6602436,89.7895478,1/19/1998,8.34e-05,1.008992553,287.9116516,291.5733948,,8.26e-05,2.47e-05,-8.28e-05,101534.8984,39.19425583,0.557898939,28.39705467,-1.682513118,-0.050646693,0
Bagerhat ,22.6602436,89.7895478,1/20/1998,0.000246567,1.560424805,285.4728699,291.5073242,,0.000112449,4.97e-05,-0.000117524,101587.7578,33.95499802,0.66924113,24.35719299,-1.998089671,-0.460990161,0
Bagerhat ,22.6602436,89.7895478,1/21/1998,0.000644833,13.28776073,286.6238708,287.6574402,,0.000251334,8.54e-05,-5.41e-05,101476.3125,36.42165375,0.87435025,25.61883736,-1.54762125,-1.180930734,0
Bagerhat ,22.6602436,89.7895478,1/22/1998,7.17e-08,0.029317221,285.9455566,289.1555786,,0.0,-5e-10,-0.000115932,101629.0234,13.23492432,0.186879769,-44.06278992,-2.122279167,-0.119607665,0
Bagerhat ,22.6602436,89.7895478,1/23/1998,0.0,0.0,284.6832581,288.7417908,,0.0,-5e-10,-0.000121491,101576.8438,0.202899978,0.022094464,-53.07445145,-2.22917223,0.752479136,0
Bagerhat ,22.6602436,89.7895478,1/24/1998,0.0,0.158386231,285.5665588,289.9909058,,0.0,-5e-10,-0.000123066,101731.8516,2.066576242,0.342862248,-22.90337563,-2.157023668,1.157624841,0
Bagerhat ,22.6602436,89.7895478,1/25/1998,0.0,0.739176452,286.0410767,291.8682861,,0.0,-5e-10,-0.000128595,101795.5547,24.88802338,0.55367142,11.40417004,-2.189930677,0.635668993,0
Bagerhat ,22.6602436,89.7895478,1/26/1998,2.34e-05,0.0,286.9631348,292.0667419,,2.34e-05,3.98e-06,-0.000111769,101700.0703,40.13435745,0.795639217,22.84545708,-1.751548171,-0.188868091,0
