District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Bandarban ,21.8311002,92.3686321,1/1/1998,0.0,0.0,287.6842651,292.1551208,,0.0,-5e-10,-9e-05,100060.3125,24.6003418,0.122668475,-1.6626091,-2.586995602,0.555841982,0
Bandarban ,21.8311002,92.3686321,1/2/1998,0.0,0.0,286.1288452,290.7831726,,0.0,-5e-10,-8.79e-05,100126.4453,6.074039459,0.0,-22.13466644,-2.283807993,0.404358834,0
Bandarban ,21.8311002,92.3686321,1/3/1998,0.0,0.0,285.0453186,289.9137878,,0.0,-5e-10,-8.92e-05,100250.2109,5.641105175,0.001294512,-42.96717453,-2.324627876,0.288917631,0
Bandarban ,21.8311002,92.3686321,1/4/1998,0.0,0.0,285.7336731,289.3291321,,0.0,-5e-10,-8.44e-05,100181.6797,5.932054043,0.609608889,-47.97258377,-1.375541687,0.053757336,0
Bandarban ,21.8311002,92.3686321,1/5/1998,3.59e-08,0.0,285.895752,288.9836426,,0.0,-5e-10,-7.68e-05,100090.1563,9.291154862,0.756960213,-44.28395462,-0.562471807,0.015212755,0
Bandarban ,21.8311002,92.3686321,1/6/1998,1.43e-07,0.0,285.7411804,289.1946716,,0.0,-5e-10,-8.58e-05,100098.5,15.92161179,0.052989841,-27.24129295,-1.280496955,0.010956158,0
Bandarban ,21.8311002,92.3686321,1/7/1998,0.0,0.0,285.0688782,289.0663147,,0.0,-5e-10,-9.06e-05,100139.75,15.07722187,0.000879963,-22.22319222,-1.711117387,0.029501194,0
Bandarban ,21.8311002,92.3686321,1/8/1998,0.0,0.0,284.8426208,288.6703796,,0.0,-5e-10,-8.96e-05,100036.1797,13.67320347,0.484228045,-18.31861305,-1.716479302,0.28448996,0
Bandarban ,21.8311002,92.3686321,1/9/1998,0.0,0.0,285.0658875,289.3699951,,0.0,-5e-10,-9.03e-05,99861.47656,13.35884571,0.106199674,-23.73477936,-2.005808353,0.351461649,0
Bandarban ,21.8311002,92.3686321,1/10/1998,0.0,0.0,285.4277344,289.8935242,,0.0,-5e-10,-9.24e-05,99877.3125,16.73319054,0.145457253,-28.68837547,-2.298769474,0.198438466,0
Bandarban ,21.8311002,92.3686321,1/11/1998,0.0,0.0,284.8850403,289.1195068,,0.0,-5e-10,-8.77e-05,99831.97656,7.510225296,0.394687921,-38.18488693,-1.821123719,0.343868256,0
Bandarban ,21.8311002,92.3686321,1/12/1998,0.0,0.0,284.1117859,288.5868835,,0.0,-5e-10,-9.14e-05,99654.64844,8.592411995,0.0,-21.91599464,-1.484250903,0.262009174,0
Bandarban ,21.8311002,92.3686321,1/13/1998,0.0,3.14449048,285.8262329,291.2172852,,0.0,-5e-10,-9.49e-05,99640.69531,24.5445652,0.130036265,10.30802059,-0.681515694,0.148535863,0
Bandarban ,21.8311002,92.3686321,1/14/1998,7.17e-08,20.08724022,287.8526917,291.9744873,323.6334229,5.99e-08,9.63e-08,-7.83e-05,99711.02344,26.72779655,0.68753022,-9.478943825,-0.935559452,0.10045141,0
Bandarban ,21.8311002,92.3686321,1/15/1998,0.0,0.01171875,287.4171753,291.1505432,,0.0,-5e-10,-8.58e-05,99636.75,20.21982574,0.323092312,-0.870635033,-0.728497505,0.593445361,0
Bandarban ,21.8311002,92.3686321,1/16/1998,0.0,0.041056316,286.464325,291.991333,,0.0,-5e-10,-9.66e-05,99671.88281,27.23258972,0.106010832,-17.05583382,-0.005996925,0.229860187,0
Bandarban ,21.8311002,92.3686321,1/17/1998,0.0,0.0,288.1598816,292.6985779,,0.0,-5e-10,-9.36e-05,99862.4375,32.78417587,0.318951279,3.062496185,-0.613042772,-0.013150245,0
Bandarban ,21.8311002,92.3686321,1/18/1998,0.000748451,33.62154007,289.3186035,290.6396484,,0.000464797,0.000193287,-4.16e-05,99903.5,42.53331375,0.960510314,32.92743301,0.088442512,-1.377610683,0
Bandarban ,21.8311002,92.3686321,1/19/1998,5.25e-05,19.42425537,290.9552917,292.2335815,,4.46e-05,7.32e-06,-6.71e-05,99998.47656,39.45630264,0.741908014,29.53882599,-0.817618311,-0.337035805,0
Bandarban ,21.8311002,92.3686321,1/20/1998,2.94e-06,1.924173951,290.2536316,292.4109802,,2.93e-06,8.65e-06,-8.87e-05,100026.0703,34.81774902,0.390259504,23.42102623,-1.460381508,0.108322896,0
Bandarban ,21.8311002,92.3686321,1/21/1998,6.15e-05,12.87131786,288.1164246,292.1980286,,5.42e-05,-5e-10,-0.000108502,99869.83594,37.04190445,0.498517275,21.40509796,-1.623380303,-0.17430158,0
Bandarban ,21.8311002,92.3686321,1/22/1998,1.07e-05,0.475158691,288.1261902,291.6907959,,7.54e-07,-5e-10,-0.000115651,100004.5938,28.70475197,0.19861877,5.914811611,-1.892277718,0.238458917,0
Bandarban ,21.8311002,92.3686321,1/23/1998,0.0,0.0,285.6911316,289.9250183,,0.0,-5e-10,-0.000107648,99995.59375,15.33714008,0.001265266,-27.06189919,-1.404773116,0.390947372,0
Bandarban ,21.8311002,92.3686321,1/24/1998,0.0,0.0,286.0028992,290.2700195,,0.0,-5e-10,-0.000106003,100158.1641,10.70457554,0.025869921,-24.86945152,-1.544399858,0.367375732,0
Bandarban ,21.8311002,92.3686321,1/25/1998,0.0,0.0,286.9632263,292.0762939,,0.0,-5e-10,-0.000109722,100224.3125,21.21273422,0.089901917,7.704740524,-1.862419486,0.192534849,0
Bandarban ,21.8311002,92.3686321,1/26/1998,0.0,0.0,287.3455505,292.7722168,,0.0,-5e-10,-0.000103315,100114.1797,37.04517365,0.367055535,24.19887543,-1.831999183,0.180813193,0
Bandarban ,21.8311002,92.3686321,1/27/1998,0.0,0.0,288.8186035,294.0840759,,0.0,-5e-10,-0.000113361,100169.125,40.46667862,0.097049706,24.89023781,-1.483839989,0.043105155,0
Bandarban ,21.8311002,92.3686321,1/28/1998,0.0,0.833028138,289.9323425,294.8894348,,0.0,-5e-10,-0.000109164,100297.6484,41.54169083,0.016116561,15.34447575,-1.231180072,0.037714887,0
Bandarban ,21.8311002,92.3686321,1/29/1998,0.0,0.621826172,289.6843567,294.4112244,,0.0,-5e-10,-0.000109947,100306.1563,41.6112709,0.017901924,17.65619469,-0.979471207,0.276725441,0
Bandarban ,21.8311002,92.3686321,1/30/1998,0.0,0.0,289.2038269,294.084137,,0.0,-5e-10,-0.000100825,100317.9453,40.78781509,0.0036165,0.082301937,-1.701042175,0.63479197,0
Bandarban ,21.8311002,92.3686321,1/31/1998,0.0,0.0,287.8266907,293.0309448,,0.0,-5e-10,-0.000102453,100269.6172,22.40473938,0.015036955,-23.99537086,-2.150991678,0.493169636,0
Bandarban ,21.8311002,92.3686321,2/1/1998,0.0,0.0,287.7961121,293.0983276,,0.0,-5e-10,-0.000102034,100134.1797,15.27641678,0.022674328,-16.77492332,-1.869727254,0.566408575,0
Bandarban ,21.8311002,92.3686321,2/2/1998,0.0,0.0,288.1600952,293.5552063,,0.0,-5e-10,-0.000102117,100069.1641,27.72689056,0.0,-4.305846214,-1.655033112,0.456485987,0
Bandarban ,21.8311002,92.3686321,2/3/1998,0.0,0.0,288.0091553,293.9287415,,0.0,-5e-10,-0.000104476,100039.6953,33.36572647,0.000417092,6.265893459,-1.940167785,0.416829139,0
Bandarban ,21.8311002,92.3686321,2/4/1998,0.0,0.0,288.6142273,294.3815308,,0.0,-5e-10,-0.000104439,100058.7422,41.41410446,0.243850425,18.89661407,-1.847414613,0.579114139,0
Bandarban ,21.8311002,92.3686321,2/5/1998,4.48e-06,0.610087097,288.0813293,293.6360168,,4.5e-06,2.2e-07,-9.63e-05,100083.6328,31.40861321,0.430973053,-7.657969952,-1.94762671,0.760885298,0
Bandarban ,21.8311002,92.3686321,2/6/1998,0.0,0.0,282.7038879,292.2735596,,0.0,-5e-10,-0.000109436,100045.3359,16.11843109,0.81526804,-22.3645916,-2.242231131,0.566900551,0
Bandarban ,21.8311002,92.3686321,2/7/1998,1.04e-06,0.01171875,284.0961914,290.6056213,,1.02e-06,-5e-10,-4.63e-05,100098.5078,33.29223251,0.889312089,17.19090462,-1.646644235,-0.390831351,0
Bandarban ,21.8311002,92.3686321,2/8/1998,0.0,0.0,283.7530518,292.2642517,,0.0,-5e-10,-0.000105009,100160.0547,28.89716911,0.056780558,-1.156229019,-2.28294301,0.624182642,0
Bandarban ,21.8311002,92.3686321,2/9/1998,0.0,0.0,283.9507751,292.7601013,,0.0,-5e-10,-0.000103463,100192.3828,31.87005425,0.0,-16.10320091,-2.338356972,0.819793046,0
Bandarban ,21.8311002,92.3686321,2/10/1998,0.0,0.0,284.1162109,292.8342285,,0.0,-5e-10,-0.000102921,100184.2578,34.58178329,0.0,-13.35262966,-2.017786264,0.400979251,0
