District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Barguna ,22.0952915,90.1120696,1/1/1998,0.0,0.0,286.90802,292.48172,,0.0,-5e-10,-0.000145597,101694.0547,15.65580368,0.27800563,-9.224167824,-4.175817967,0.656780779,0
Barguna ,22.0952915,90.1120696,1/2/1998,0.0,0.0,284.3245544,290.7142639,,0.0,-5e-10,-0.000163623,101743.1484,2.158230543,0.0,-21.30575562,-3.706885576,1.23700273,0
Barguna ,22.0952915,90.1120696,1/3/1998,0.0,0.0,284.184967,289.8965149,,0.0,-5e-10,-0.000154382,101889.0703,6.094676495,0.0,-44.27262497,-3.690216065,1.111572385,0
Barguna ,22.0952915,90.1120696,1/4/1998,0.0,0.0,285.9124451,290.1100464,,0.0,-5e-10,-0.000123891,101775.9688,13.3575592,0.650775194,-43.13765335,-3.403287172,1.487392545,0
Barguna ,22.0952915,90.1120696,1/5/1998,0.0,0.0,285.7507629,289.6760254,,0.0,-5e-10,-9.04e-05,101631.4141,16.65222549,0.434980601,-36.0089798,-1.649195552,1.536803246,0
Barguna ,22.0952915,90.1120696,1/6/1998,0.0,0.0,285.7641296,290.1829224,,0.0,-5e-10,-9.54e-05,101651.6953,16.57883263,0.010816433,-23.01093483,-2.079405308,0.308553547,0
Barguna ,22.0952915,90.1120696,1/7/1998,0.0,0.0,285.6801453,289.8647156,,0.0,-5e-10,-0.000106432,101723.2734,18.96536446,0.148909703,-17.10508347,-2.658884764,0.262351424,0
Barguna ,22.0952915,90.1120696,1/8/1998,0.0,0.0,285.577179,289.7923584,,0.0,-5e-10,-0.000103958,101607.5859,15.88691998,0.379673839,-17.10780144,-2.504469156,1.010013223,0
Barguna ,22.0952915,90.1120696,1/9/1998,0.0,0.0,285.5112915,290.2955627,,0.0,-5e-10,-0.000109139,101436.9141,15.61126328,0.008599357,-17.60398674,-2.648874283,0.872027159,0
Barguna ,22.0952915,90.1120696,1/10/1998,0.0,0.0,285.0848694,290.0736084,,0.0,-5e-10,-0.000114485,101480.8438,20.18117332,0.369994253,-27.42793846,-2.996427774,0.538516104,0
Barguna ,22.0952915,90.1120696,1/11/1998,0.0,0.0,285.0950928,289.8447571,,0.0,-5e-10,-0.000100317,101396.0703,10.51023006,0.409396797,-33.33613205,-2.766858816,0.947918415,0
Barguna ,22.0952915,90.1120696,1/12/1998,0.0,0.0,286.9039612,291.258667,,0.0,-5e-10,-7.81e-05,101159.6172,24.81695557,0.021210687,-3.367411614,0.387089938,1.260253429,0
Barguna ,22.0952915,90.1120696,1/13/1998,8.25e-06,151.2065582,291.0058594,293.9097595,238.5431519,8.05e-06,4.25e-08,-5.02e-05,101065.8438,27.37106133,0.168790281,15.39606571,2.080124378,1.27129066,0
Barguna ,22.0952915,90.1120696,1/14/1998,1.04e-06,85.40637207,290.349884,293.3377991,234.6781006,9.94e-07,6.34e-07,-5.64e-05,101192.3516,29.03598785,0.686552286,-8.975056648,-0.830633938,0.060302626,0
Barguna ,22.0952915,90.1120696,1/15/1998,0.0,0.0,287.7182007,292.8608704,,0.0,-5e-10,-9.08e-05,101129.7266,20.64780998,0.30334717,-1.626654983,0.201627135,1.529338241,0
Barguna ,22.0952915,90.1120696,1/16/1998,9e-06,82.3264389,292.4323425,294.7739563,69.04048157,8.85e-06,4.26e-06,-4.96e-05,101075.0234,31.97091484,0.247548297,-14.27218151,2.406727552,0.509939253,0
