District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Barisal ,22.7022098,90.3696316,1/1/1998,0.0,0.0,285.9962769,291.4740295,,0.0,-5e-10,-9.3e-05,101669.5234,10.70160675,0.372573108,-17.62453079,-3.082348585,1.221045852,0
Barisal ,22.7022098,90.3696316,1/2/1998,0.0,0.0,284.0152893,289.6079407,,0.0,-5e-10,-9.35e-05,101710.2813,2.746710777,0.014733035,-26.34946442,-2.484491587,1.493445993,0
Barisal ,22.7022098,90.3696316,1/3/1998,0.0,0.0,283.9482727,288.7690125,,0.0,-5e-10,-8.71e-05,101852.2188,7.865064621,0.032012496,-46.03891373,-2.519301176,1.363973022,0
Barisal ,22.7022098,90.3696316,1/4/1998,0.0,0.0,285.3500671,288.8683167,,0.0,-5e-10,-8e-05,101732.3047,18.42588043,0.675680578,-35.86674881,-2.217907667,1.684072495,0
Barisal ,22.7022098,90.3696316,1/5/1998,0.0,0.0,285.5458069,288.7055664,,0.0,-5e-10,-7.13e-05,101578.3203,21.5015049,0.45803833,-30.95605659,-1.101996064,1.407672525,0
Barisal ,22.7022098,90.3696316,1/6/1998,0.0,0.0,285.3137512,288.5823059,,0.0,-5e-10,-7.96e-05,101614.6484,16.74605751,0.081949167,-21.4648304,-1.901725888,0.332339108,0
Barisal ,22.7022098,90.3696316,1/7/1998,0.0,0.0,284.9563293,288.105011,,0.0,-5e-10,-8.55e-05,101690.6328,18.701437,0.174573615,-16.81979179,-2.108939171,0.621273577,0
Barisal ,22.7022098,90.3696316,1/8/1998,0.0,0.0,284.7969055,288.0429382,,0.0,-5e-10,-8.69e-05,101564.8203,16.85137177,0.313813895,-14.01544094,-2.04185009,1.175528169,0
Barisal ,22.7022098,90.3696316,1/9/1998,0.0,0.0,284.9815369,288.7336121,,0.0,-5e-10,-9.22e-05,101396.0859,17.1546917,0.120423429,-13.78468418,-2.123360395,1.124449134,0
Barisal ,22.7022098,90.3696316,1/10/1998,0.0,0.0,284.5451355,288.5397644,,0.0,-5e-10,-9.45e-05,101446.1875,20.49958992,0.399548054,-27.9312973,-2.186298132,0.850359201,0
Barisal ,22.7022098,90.3696316,1/11/1998,0.0,0.0,284.4466858,288.1482239,,0.0,-5e-10,-8.86e-05,101349.1875,13.25967026,0.418501616,-33.11730957,-1.93696785,1.514814377,0
Barisal ,22.7022098,90.3696316,1/12/1998,0.0,0.0,285.2002563,289.2846375,,0.0,-5e-10,-9.05e-05,101100.9688,24.13226891,0.001995179,-5.972957134,0.217129216,1.538856626,0
Barisal ,22.7022098,90.3696316,1/13/1998,2.58e-05,94.11837006,289.1448669,292.8143616,193.7482147,2.57e-05,1.07e-05,-7.3e-05,101008.7578,29.14466667,0.261997134,15.51359653,1.740484119,0.732329845,0
Barisal ,22.7022098,90.3696316,1/14/1998,6.1e-07,35.83919144,288.3989868,292.3144226,212.051712,6.47e-07,3.65e-07,-7.54e-05,101154.8984,27.73045349,0.73564595,-13.14747906,-0.986714184,0.175465718,0
Barisal ,22.7022098,90.3696316,1/15/1998,0.0,0.0,285.87146,290.9089661,,0.0,-5e-10,-0.0001028,101072.2578,19.38770866,0.179230943,-0.318481535,0.201735243,1.783834934,0
Barisal ,22.7022098,90.3696316,1/16/1998,2.44e-06,91.64261627,290.2588501,293.874115,107.9134216,2.35e-06,-5e-10,-7.83e-05,101025.1016,31.66427612,0.33916375,-12.40150547,1.642174602,0.592161953,0
Barisal ,22.7022098,90.3696316,1/17/1998,0.000186942,89.03780365,291.8861084,293.8730164,61.83218002,8.8e-05,7.76e-06,-6.64e-05,101287.3438,39.99054337,0.666847885,11.7685461,-0.106036127,-0.629114568,0
Barisal ,22.7022098,90.3696316,1/18/1998,0.000520671,35.44020462,291.796936,292.4761963,61.31166458,0.000183125,5.97e-05,-2.52e-05,101306.375,42.79971313,0.988752544,31.32324219,0.253754765,-0.687936783,0
Barisal ,22.7022098,90.3696316,1/19/1998,0.000124557,0.756713867,288.8121948,291.7125244,,0.00012338,1.24e-05,-8.79e-05,101510.0547,39.51771927,0.592799306,28.58407593,-1.767698884,0.168770686,0
