District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Bhola ,22.1785315,90.7101023,1/1/1998,0.0,0.0,287.4373474,292.7494812,,0.0,-5e-10,-0.000121489,101665.6953,11.55158901,0.389509887,-15.79011154,-4.593790531,1.577786326,0
Bhola ,22.1785315,90.7101023,1/2/1998,0.0,0.0,285.6016846,291.2598572,,0.0,-5e-10,-0.000125269,101716.3984,2.611307144,0.0,-23.05678558,-3.816978455,1.644201756,0
Bhola ,22.1785315,90.7101023,1/3/1998,0.0,0.0,285.3933411,290.5317993,,0.0,-5e-10,-0.000121078,101853.6953,5.42250967,0.0,-47.3096199,-3.98371768,1.636736751,0
Bhola ,22.1785315,90.7101023,1/4/1998,0.0,0.0,286.5726013,290.5787659,,0.0,-5e-10,-9.49e-05,101748.3047,14.05051136,0.629369915,-40.61013412,-3.349624395,1.759428978,0
Bhola ,22.1785315,90.7101023,1/5/1998,0.0,0.01171875,286.8728638,290.4121094,,0.0,-5e-10,-6.25e-05,101615.8359,17.07323265,0.465583473,-36.79717636,-1.386287212,1.265087605,0
Bhola ,22.1785315,90.7101023,1/6/1998,0.0,0.316752106,286.6952209,290.5186157,,0.0,-5e-10,-7.31e-05,101646.875,16.93055534,0.025454735,-22.96788025,-2.127122164,0.275335074,0
Bhola ,22.1785315,90.7101023,1/7/1998,0.0,0.0,286.5848999,290.3851013,,0.0,-5e-10,-8.98e-05,101708.0547,19.0929985,0.121414028,-17.03476143,-3.142476082,0.725207031,0
Bhola ,22.1785315,90.7101023,1/8/1998,0.0,0.0,286.5268555,290.1195374,,0.0,-5e-10,-8.14e-05,101591.5234,15.18109989,0.364552349,-16.57589149,-2.707509756,0.938549697,0
Bhola ,22.1785315,90.7101023,1/9/1998,0.0,0.0,286.7041931,290.6620789,,0.0,-5e-10,-8.73e-05,101420.4375,15.18669224,0.022974432,-16.89169884,-2.972082853,1.110331893,0
Bhola ,22.1785315,90.7101023,1/10/1998,0.0,0.0,286.3976746,290.5667419,,0.0,-5e-10,-9.19e-05,101460.1875,19.19460106,0.404903501,-29.08341789,-3.358380556,0.956367493,0
Bhola ,22.1785315,90.7101023,1/11/1998,0.0,0.0,286.145752,290.1945496,,0.0,-5e-10,-8.27e-05,101381.6641,10.49068165,0.45794484,-34.91554642,-2.631210089,1.182308674,0
Bhola ,22.1785315,90.7101023,1/12/1998,0.0,0.0,286.9382629,290.8469849,,0.0,-5e-10,-6.69e-05,101159.3828,21.88395882,0.000272128,-8.342232704,-0.067551188,1.115037561,0
Bhola ,22.1785315,90.7101023,1/13/1998,1e-06,99.31622314,290.3155518,292.7253113,185.7432251,3.11e-07,-5e-10,-4.88e-05,101090.9375,27.32261086,0.17121844,14.34055328,2.182650089,-0.074303903,0
Bhola ,22.1785315,90.7101023,1/14/1998,1.54e-06,130.1922607,291.224823,292.4900818,160.7949371,1.56e-07,1.12e-07,-3.21e-05,101201.1172,28.34991455,0.844528019,-8.29910183,0.327351809,-0.046796512,0
Bhola ,22.1785315,90.7101023,1/15/1998,0.0,0.0,288.3189392,292.834137,,0.0,-5e-10,-7.21e-05,101127.4375,19.77234077,0.281804591,-0.946697891,0.36380437,1.145154476,0
Bhola ,22.1785315,90.7101023,1/16/1998,3.33e-06,42.3394165,291.2966614,293.7721863,78.705513,3.04e-06,-5e-10,-5.08e-05,101108.125,31.32324409,0.193995133,-14.23448944,2.633356333,-0.289871126,0
Bhola ,22.1785315,90.7101023,1/17/1998,0.000125632,95.63191986,292.6242981,293.9350586,70.85823822,5.26e-05,1.17e-05,-3.69e-05,101333.5234,38.84674072,0.499066621,13.70093155,0.987692773,-0.834778309,0
Bhola ,22.1785315,90.7101023,1/18/1998,0.001028255,64.94936371,291.4258118,292.5562439,0.762958527,0.000410441,9.67e-05,-3.88e-05,101357.0547,43.78218079,0.873894274,34.47859955,0.981465995,-1.990708828,0
Bhola ,22.1785315,90.7101023,1/19/1998,0.00013162,7.550252438,290.7290344,292.5579529,,0.000107121,2.89e-05,-6.78e-05,101531.7891,40.41545868,0.672712624,31.19921684,-2.341578484,-0.323367685,0
