District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Bogra ,24.8510402,89.3697225,1/1/1998,1.08e-07,0.228780106,283.6801453,289.143219,,0.0,-5e-10,-7.44e-05,101652.1172,15.78403091,0.559234798,-30.37754059,-1.620245457,2.10823369,0
Bogra ,24.8510402,89.3697225,1/2/1998,0.0,0.0,283.1577454,288.170929,,0.0,-5e-10,-7.22e-05,101660.2422,9.631791115,0.214686379,-37.12703323,-1.360082984,2.225236654,0
Bogra ,24.8510402,89.3697225,1/3/1998,0.0,0.0,283.7777405,288.022583,,0.0,-5e-10,-7.08e-05,101808.9297,20.23858261,0.001639123,-27.00034142,-1.815415978,1.778808236,0
Bogra ,24.8510402,89.3697225,1/4/1998,0.0,0.0,284.8323059,288.0597839,,0.0,-5e-10,-6.85e-05,101663.8672,24.62627411,0.752938092,-22.20105934,-1.58147943,2.131484747,0
Bogra ,24.8510402,89.3697225,1/5/1998,0.0,0.0,284.9909363,287.9966125,,0.0,-5e-10,-6.66e-05,101475.2109,29.99865723,0.289661318,-15.08847713,-0.730227172,1.705184341,0
Bogra ,24.8510402,89.3697225,1/6/1998,0.0,1.132202148,284.1285095,287.2742004,,0.0,-5e-10,-6.11e-05,101537.9141,28.93087006,0.200097665,0.326352328,-0.45776248,0.790895283,0
Bogra ,24.8510402,89.3697225,1/7/1998,0.0,0.005859375,284.4064026,287.0684204,,0.0,-5e-10,-6.92e-05,101635.5234,20.56278801,0.418043852,-8.793699265,-1.313814521,0.891278029,0
Bogra ,24.8510402,89.3697225,1/8/1998,0.0,0.0,284.699646,287.7232971,,0.0,-5e-10,-7.16e-05,101482.1875,25.4503727,0.23819679,-6.55509758,-1.144718647,1.683965683,0
Bogra ,24.8510402,89.3697225,1/9/1998,0.0,0.0,284.5855713,288.197937,,0.0,-5e-10,-7.39e-05,101313.875,27.83245087,0.245982945,-7.822633743,-0.974411964,1.715622544,0
Bogra ,24.8510402,89.3697225,1/10/1998,0.0,0.0,283.9046631,287.2535706,,0.0,-5e-10,-7.15e-05,101391.2578,24.87025642,0.629425228,-21.81764984,-1.384881973,1.379074216,0
Bogra ,24.8510402,89.3697225,1/11/1998,0.0,0.0,284.1812439,287.718811,,0.0,-5e-10,-6.95e-05,101235.6172,27.23550987,0.290079027,-14.56472397,-0.899539292,1.711194992,0
Bogra ,24.8510402,89.3697225,1/12/1998,0.0,0.041056316,283.8052673,287.626709,,0.0,-5e-10,-6.98e-05,100954.6016,31.44384956,0.117625855,6.661540508,0.431131393,1.583347678,0
Bogra ,24.8510402,89.3697225,1/13/1998,1.56e-05,46.35217285,285.9931946,290.1468811,54.92312622,1.56e-05,1.4e-06,-6.44e-05,100861.9375,32.01154709,0.253585964,12.94906616,1.03863132,-0.167200148,0
Bogra ,24.8510402,89.3697225,1/14/1998,1.47e-06,4.769551754,284.3766785,289.5950012,,1.47e-06,-5e-10,-7.89e-05,101072.4375,23.86601448,0.101910494,-25.18767548,-0.490042299,1.266841531,0
Bogra ,24.8510402,89.3697225,1/15/1998,0.0,0.0,284.5218201,288.9093933,,0.0,-5e-10,-7.92e-05,100913.3672,26.52721405,0.297437936,7.953775883,0.600508392,2.049390316,0
Bogra ,24.8510402,89.3697225,1/16/1998,0.0,0.0,284.547821,290.3214722,,0.0,-5e-10,-8.66e-05,100892.8359,28.36520576,0.03845137,-19.66938591,0.548834801,1.770337939,0
Bogra ,24.8510402,89.3697225,1/17/1998,0.0,1.619140625,285.1542053,291.4259949,,0.0,-5e-10,-7.87e-05,101245.8516,41.4006958,0.425839543,-8.544890404,-1.197430015,-0.002498071,0
Bogra ,24.8510402,89.3697225,1/18/1998,5.74e-07,6.224365234,285.6795654,290.6702576,,5.63e-07,-5e-10,-6.7e-05,101258.9063,41.64923096,0.509965718,-4.361514568,-1.56537199,0.245132566,0
Bogra ,24.8510402,89.3697225,1/19/1998,0.0,0.0,281.3963318,288.4303589,,0.0,-5e-10,-8.87e-05,101455.3984,20.84096909,0.005840568,-33.86645889,-1.252995372,1.604694724,0
Bogra ,24.8510402,89.3697225,1/20/1998,1.12e-05,0.0,282.7281189,289.575592,,1.09e-05,8.01e-07,-8.42e-05,101507.375,14.84605694,0.38532877,-31.23326683,-1.05510056,0.865845501,0
Bogra ,24.8510402,89.3697225,1/21/1998,2.79e-05,0.351949066,283.9446106,286.8669739,,2.8e-05,1.5e-07,-4.8e-05,101366.3359,31.44276237,0.579861164,2.78868556,1.499304652,0.319804639,0
Bogra ,24.8510402,89.3697225,1/22/1998,3.59e-08,7.849527836,283.8641052,287.1314087,,0.0,-5e-10,-5.73e-05,101558.9766,24.52635384,0.423172325,-27.51616097,-0.837357998,0.274308384,0
Bogra ,24.8510402,89.3697225,1/23/1998,0.0,0.0,283.8274536,288.7845764,,0.0,-5e-10,-7.98e-05,101484.1016,27.8418045,0.337438792,-26.64177895,-1.846722722,1.231633782,0
Bogra ,24.8510402,89.3697225,1/24/1998,0.0,0.0,284.226593,289.9028625,,0.0,-5e-10,-8.44e-05,101629.6875,24.85639954,0.484995484,-21.50675201,-1.666254401,1.591625571,0
Bogra ,24.8510402,89.3697225,1/25/1998,1.79e-06,0.0,283.6710205,290.490387,,1.8e-06,8.13e-06,-8.77e-05,101695.2891,18.275383,0.559769511,-24.21305847,-1.308279634,1.456591129,0
Bogra ,24.8510402,89.3697225,1/26/1998,1.9e-06,0.0,284.9264526,291.3892212,,1.88e-06,-5e-10,-8.75e-05,101605.1172,34.17562103,0.256951332,9.838047981,-0.163417608,0.616567791,0
Bogra ,24.8510402,89.3697225,1/27/1998,0.0,0.868245423,285.9892883,292.9532776,,0.0,-5e-10,-8.57e-05,101650.3672,36.02677536,0.508495748,14.16682529,-1.455884457,-0.076485656,0
Bogra ,24.8510402,89.3697225,1/28/1998,2.11e-05,3.748759031,287.2587891,291.1694641,,1.32e-05,-5e-10,-5.26e-05,101808.9141,45.25850296,0.403253585,27.28376007,-0.433547258,-0.56201452,0
Bogra ,24.8510402,89.3697225,1/29/1998,0.000119071,100.6068726,288.3625183,292.6246643,24.87639618,0.000118172,1.69e-05,-8.35e-05,101736.8984,49.70211792,0.349797696,29.61708069,-0.346631855,1.171977401,0
Bogra ,24.8510402,89.3697225,1/30/1998,1.7e-05,19.81746483,288.4385071,292.624054,98.76550293,1.64e-05,8.97e-07,-7.41e-05,101702.2188,40.18953705,0.161067709,1.739367008,-0.412596792,2.087357283,0
Bogra ,24.8510402,89.3697225,1/31/1998,2.51e-07,0.0,287.4135437,292.127594,,2.4e-07,-5e-10,-8.7e-05,101710.5313,36.6230278,0.075916588,-2.956506729,-0.713254929,1.632565618,0
Bogra ,24.8510402,89.3697225,2/1/1998,0.0,0.0,287.1075439,292.2495728,,0.0,-5e-10,-8.78e-05,101579.8438,36.75986481,0.284893364,15.64034271,-1.392795086,1.170972109,0
Bogra ,24.8510402,89.3697225,2/2/1998,0.0,0.0,286.9074097,292.8151855,,0.0,-5e-10,-9.19e-05,101492.4453,40.04151535,0.397091299,11.6155138,-1.137389183,1.639025331,0
Bogra ,24.8510402,89.3697225,2/3/1998,6.88e-06,3.097554445,288.0344238,293.5629578,,6.88e-06,-5e-10,-9.37e-05,101370.7578,45.20242691,0.193830475,18.65150642,0.261170685,2.183312178,0
Bogra ,24.8510402,89.3697225,2/4/1998,1.91e-05,69.86569977,287.0986328,292.8085022,277.0774841,1.91e-05,1.41e-06,-9.29e-05,101412.8359,43.27496338,0.133474737,14.14764023,0.391695172,2.024727821,0
Bogra ,24.8510402,89.3697225,2/5/1998,0.0,0.0,281.5971069,290.8465576,,0.0,-5e-10,-0.00010201,101473.2578,32.13912582,0.049768183,-23.08616829,-0.364274383,2.576265812,0
Bogra ,24.8510402,89.3697225,2/6/1998,0.0,0.0,280.1638489,290.5931091,,0.0,-5e-10,-9.71e-05,101466.625,34.99482346,0.646672905,-13.59849262,-0.900360882,1.182929039,0
Bogra ,24.8510402,89.3697225,2/7/1998,0.0,1.290629029,283.443512,290.2735901,,0.0,-5e-10,-7.61e-05,101476.4922,43.98028564,0.325843483,11.55078125,0.023991048,0.689699829,0
Bogra ,24.8510402,89.3697225,2/8/1998,0.0,0.099711098,283.2000427,291.0289001,,0.0,-5e-10,-0.000100446,101599.2734,40.05591583,0.079462506,7.36038065,-1.103898644,1.294284701,0
