District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Brahmanbaria ,23.9608181,91.1115014,1/1/1998,0.0,0.0,286.0470886,290.875885,,0.0,-5e-10,-9.23e-05,101536.9063,18.66263771,0.474327177,-23.56150246,-1.955648065,1.908281326,0
Brahmanbaria ,23.9608181,91.1115014,1/2/1998,0.0,0.0,285.1078186,289.5480652,,0.0,-5e-10,-8.75e-05,101566.3359,1.410196662,0.154328093,-41.8430748,-1.284950852,1.925115109,0
Brahmanbaria ,23.9608181,91.1115014,1/3/1998,0.0,0.0,284.9682617,288.8896179,,0.0,-5e-10,-8.42e-05,101707.0859,10.98181534,0.0005557,-36.24502182,-1.77355814,1.490280151,0
Brahmanbaria ,23.9608181,91.1115014,1/4/1998,0.0,0.0,286.2398376,289.0584717,,0.0,-5e-10,-7.85e-05,101575.5625,15.01303387,0.790292025,-34.65578842,-1.18249011,1.781310916,0
Brahmanbaria ,23.9608181,91.1115014,1/5/1998,0.0,0.598368347,285.8818665,288.5663147,,0.0,-5e-10,-7.32e-05,101439.4063,24.22337914,0.340418816,-24.19689369,-0.004461852,1.364507794,0
Brahmanbaria ,23.9608181,91.1115014,1/6/1998,3.59e-08,3.326314211,285.554657,288.5293274,,2.39e-08,-5e-10,-6.37e-05,101502.7188,26.26417732,0.308792889,-7.431216717,-1.102795959,0.726447642,0
Brahmanbaria ,23.9608181,91.1115014,1/7/1998,7.17e-08,0.052775066,284.9623718,287.4291382,,0.0,-5e-10,-7.67e-05,101572.25,17.29628181,0.470521838,-16.2285862,-1.465743542,1.053627133,0
Brahmanbaria ,23.9608181,91.1115014,1/8/1998,0.0,0.041035969,284.9721375,287.7476501,,0.0,-5e-10,-8.18e-05,101434.9375,21.5174408,0.498967439,-8.702982903,-0.903604031,1.522707343,0
Brahmanbaria ,23.9608181,91.1115014,1/9/1998,3.59e-08,0.0234375,285.4142761,288.4516296,,0.0,-5e-10,-8.05e-05,101267.5703,25.32234383,0.32655558,-8.37448597,-1.207008004,1.454858661,0
Brahmanbaria ,23.9608181,91.1115014,1/10/1998,0.0,0.0,285.1347656,288.3252258,,0.0,-5e-10,-8.76e-05,101321.5625,21.90944672,0.469847232,-25.9433918,-1.598711133,1.17721796,0
Brahmanbaria ,23.9608181,91.1115014,1/11/1998,0.0,0.0,284.9558411,288.091095,,0.0,-5e-10,-8.14e-05,101202.1328,22.2130661,0.310226023,-21.86425591,-0.374652356,1.754637718,0
Brahmanbaria ,23.9608181,91.1115014,1/12/1998,0.0,0.0,285.1340027,288.4832764,,0.0,-5e-10,-8.6e-05,100973.1797,29.84687233,0.110907227,2.472122431,0.544705212,0.832562864,0
