District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Chandpur ,23.2513148,90.8517846,1/1/1998,0.0,0.0,286.5323792,291.755249,,0.0,-5e-10,-9.44e-05,101625.7813,12.23221684,0.403303832,-18.79070091,-2.935414076,1.812946677,0
Chandpur ,23.2513148,90.8517846,1/2/1998,0.0,0.0,285.1539001,290.2763977,,0.0,-5e-10,-9.04e-05,101664.0313,1.374910712,0.052879211,-34.83888245,-2.280824184,1.873095036,0
Chandpur ,23.2513148,90.8517846,1/3/1998,0.0,0.0,284.9232483,289.4594421,,0.0,-5e-10,-8.52e-05,101802.8359,8.216835976,0.011180754,-44.45443726,-2.477054119,1.572438717,0
Chandpur ,23.2513148,90.8517846,1/4/1998,0.0,0.0,286.2833862,289.5952759,,0.0,-5e-10,-7.67e-05,101679.7578,16.43209648,0.732732594,-35.59958267,-1.862008572,1.880581379,0
Chandpur ,23.2513148,90.8517846,1/5/1998,0.0,0.0,286.1148071,288.9244385,,0.0,-5e-10,-6.58e-05,101537.8359,23.40338707,0.398585439,-27.9792614,-0.92656523,1.606662631,0
Chandpur ,23.2513148,90.8517846,1/6/1998,0.0,1.026611328,285.907959,288.749054,,0.0,-5e-10,-7.24e-05,101585.5078,19.67623329,0.192999467,-17.85022545,-1.555188537,0.775195181,0
Chandpur ,23.2513148,90.8517846,1/7/1998,0.0,0.0,285.4751892,288.3805237,,0.0,-5e-10,-8.24e-05,101655.8125,18.61898804,0.20408611,-17.58313751,-1.939583898,0.890721858,0
Chandpur ,23.2513148,90.8517846,1/8/1998,0.0,0.0,285.3866272,288.5594177,,0.0,-5e-10,-8.48e-05,101526.7422,19.8162384,0.306802183,-10.54495525,-1.726792455,1.455051065,0
Chandpur ,23.2513148,90.8517846,1/9/1998,0.0,0.0,285.8312378,289.3347168,,0.0,-5e-10,-8.7e-05,101357.9922,20.73728752,0.171138331,-9.672083855,-1.867478728,1.347631097,0
Chandpur ,23.2513148,90.8517846,1/10/1998,0.0,0.0,285.4559631,289.1916809,,0.0,-5e-10,-9.07e-05,101409.0078,20.64197159,0.382474631,-27.46691322,-2.026499271,1.038782716,0
Chandpur ,23.2513148,90.8517846,1/11/1998,0.0,0.0,285.2807312,288.9078674,,0.0,-5e-10,-8.2e-05,101305.7891,17.09198952,0.364830822,-28.98741341,-1.288972259,1.755151153,0
Chandpur ,23.2513148,90.8517846,1/12/1998,0.0,0.0,285.4583435,289.7035217,,0.0,-5e-10,-8.39e-05,101069.2813,23.50766182,0.049036998,-5.846210957,-0.198032424,0.704843819,0
Chandpur ,23.2513148,90.8517846,1/13/1998,1.71e-05,101.8564835,288.4713135,292.3911438,107.2362823,1.66e-05,2.4e-06,-5.97e-05,100992.8359,29.70953941,0.36351344,15.98606205,1.794687271,-0.068956442,0
Chandpur ,23.2513148,90.8517846,1/14/1998,7.17e-07,59.78098679,288.2583313,292.2075195,141.0889282,7.42e-07,7.58e-07,-7.29e-05,101126.1563,27.25104713,0.636055529,-17.21604347,-0.866632521,0.643754304,0
Chandpur ,23.2513148,90.8517846,1/15/1998,0.0,0.0,285.974823,291.2865906,,0.0,-5e-10,-9.72e-05,101032.2734,20.07190132,0.188609824,2.048452139,0.193259895,1.773974299,0
Chandpur ,23.2513148,90.8517846,1/16/1998,5.38e-07,92.73974609,289.4565735,293.3956909,108.0304108,5.03e-07,4.13e-07,-7.83e-05,101012.4375,31.52941704,0.28735587,-9.877536774,2.066287279,0.359204799,0
Chandpur ,23.2513148,90.8517846,1/17/1998,0.000130975,113.7305069,290.9360046,293.8349609,47.77671051,3.94e-05,1.99e-05,-5.9e-05,101276.8359,39.89616394,0.647236884,1.660434127,-0.225793481,-0.058090385,0
Chandpur ,23.2513148,90.8517846,1/18/1998,0.000183178,22.0350132,291.0027161,292.5716248,55.1011467,8.23e-05,1.26e-05,-3.92e-05,101287.9063,41.52793503,0.972427368,25.34124947,0.406397313,-0.210322142,0
Chandpur ,23.2513148,90.8517846,1/19/1998,5.08e-05,0.0,287.8807983,291.721344,,5.07e-05,1.57e-06,-8.88e-05,101480.4688,38.37050247,0.453833073,20.21113205,-1.586408973,0.634257257,0
Chandpur ,23.2513148,90.8517846,1/20/1998,4.68e-05,0.797831237,285.4328918,291.9866943,,1.67e-05,1.57e-08,-0.000127316,101544.1172,29.09255409,0.547149241,16.01000595,-2.142581224,0.556248367,0
Chandpur ,23.2513148,90.8517846,1/21/1998,0.000867091,12.36674023,286.0874634,287.90448,,0.000422054,5.15e-05,-7.78e-05,101443.4141,36.57309341,0.871979237,25.68515778,-1.500098825,-1.168524623,0
Chandpur ,23.2513148,90.8517846,1/22/1998,3.59e-08,0.14074707,286.359375,288.86203,,0.0,-5e-10,-0.00010695,101577.6953,9.894085884,0.217654988,-46.83111572,-2.299418211,0.314286023,0
Chandpur ,23.2513148,90.8517846,1/23/1998,0.0,0.0,285.7431946,289.3438416,,0.0,-5e-10,-0.000116831,101507.5234,2.766407728,0.013542795,-52.23179626,-1.910352588,1.085647941,0
Chandpur ,23.2513148,90.8517846,1/24/1998,0.0,0.0,286.5270081,290.3008423,,0.0,-5e-10,-0.000114501,101654.7734,8.155073166,0.385587543,-24.41579437,-1.784584642,1.436099649,0
Chandpur ,23.2513148,90.8517846,1/25/1998,5.45e-06,0.0,287.1375122,291.7931824,,5.45e-06,-5e-10,-0.000108239,101734.125,17.9935894,0.617636681,-0.210165739,-1.91426599,1.209495187,0
Chandpur ,23.2513148,90.8517846,1/26/1998,2.56e-05,0.0,287.3959656,292.0287476,,2.56e-05,1.82e-07,-9.42e-05,101654.5938,39.472435,0.776513994,21.35403633,-1.921227932,0.378755122,0
Chandpur ,23.2513148,90.8517846,1/27/1998,2.33e-05,0.0,288.5254822,293.4402161,,2.31e-05,3.85e-06,-0.000114425,101677.8672,45.09444809,0.38695392,24.77950478,-2.037655592,0.448208094,0
Chandpur ,23.2513148,90.8517846,1/28/1998,3.97e-05,0.745056152,289.2988586,292.6362305,,2.94e-05,5.15e-06,-6.21e-05,101827.3125,43.53027725,0.57463032,25.74218559,-2.326617003,-0.074688919,0
Chandpur ,23.2513148,90.8517846,1/29/1998,5.84e-06,8.62388134,289.4700012,293.3431396,,5.81e-06,1.38e-05,-9.31e-05,101778.75,47.11935806,0.338839442,28.71830177,-1.260843635,0.983233154,0
Chandpur ,23.2513148,90.8517846,1/30/1998,1.48e-05,18.1512661,290.2411804,293.8533325,,1.18e-05,5.39e-06,-8.51e-05,101777.4063,43.18211746,0.179815248,3.001086474,-1.282637358,1.66702497,0
Chandpur ,23.2513148,90.8517846,1/31/1998,0.0,0.0,288.8458557,292.9299622,,0.0,-5e-10,-0.000114557,101766.9375,27.69689941,0.036756292,-17.23975945,-1.737019062,1.04137075,0
Chandpur ,23.2513148,90.8517846,2/1/1998,0.0,0.0,288.8694153,293.2125244,,0.0,-5e-10,-0.000117085,101621.8828,30.20121765,0.126873106,9.342317581,-1.546842933,1.137561202,0
Chandpur ,23.2513148,90.8517846,2/2/1998,0.0,0.0,288.8884277,293.5700989,,0.0,-5e-10,-0.000121114,101539.7266,32.82519913,0.01326304,2.405123711,-1.445268631,1.47605598,0
Chandpur ,23.2513148,90.8517846,2/3/1998,0.0,0.0,289.0738525,294.4442749,,0.0,-5e-10,-0.000110964,101483.2578,40.49226761,0.112971067,14.36004162,-0.029866263,1.194458127,0
Chandpur ,23.2513148,90.8517846,2/4/1998,0.000101287,241.5704193,290.9927673,293.922699,140.5874939,9.86e-05,2.8e-06,-9.52e-05,101504.1641,44.99536514,0.135998279,23.65895844,-0.164585128,1.866121769,0
Chandpur ,23.2513148,90.8517846,2/5/1998,3.59e-08,12.89485645,286.7581482,292.5454407,191.0725098,0.0,-5e-10,-0.000134029,101551.7578,29.72359467,0.083820999,-18.41778946,-1.64089334,1.485916615,0
Chandpur ,23.2513148,90.8517846,2/6/1998,0.0,1.138102174,284.6885071,291.7279968,,0.0,-5e-10,-0.00013986,101531.3203,29.63817596,0.822471798,-13.15065098,-1.568377137,0.927790582,0
Chandpur ,23.2513148,90.8517846,2/7/1998,3.94e-07,0.0,285.6454773,290.6803894,,4.07e-07,-5e-10,-6.74e-05,101567.6797,30.15865517,0.718395054,6.63170433,-0.464378476,0.717421114,0
Chandpur ,23.2513148,90.8517846,2/8/1998,0.0,0.11730957,286.6546326,291.8857727,,0.0,-5e-10,-0.000123887,101644.7266,37.92484665,0.024131611,5.59923029,-1.802400231,1.399758339,0
Chandpur ,23.2513148,90.8517846,2/9/1998,0.0,0.0,285.5169067,291.8452759,,0.0,-5e-10,-0.000134088,101697.2891,37.79498672,0.0,-4.52972889,-1.813340306,1.500141025,0
Chandpur ,23.2513148,90.8517846,2/10/1998,0.0,0.0,286.1187134,292.4356384,,0.0,-5e-10,-0.000129441,101678.3984,31.5519352,0.0,-12.92563629,-2.332800627,0.863642395,0
Chandpur ,23.2513148,90.8517846,2/11/1998,0.0,0.0,287.1983948,293.1333923,,0.0,-5e-10,-0.000118919,101505.4297,25.13339233,0.007871352,-20.75662422,-1.474543095,1.722702622,0
Chandpur ,23.2513148,90.8517846,2/12/1998,0.0,0.0,287.4225464,294.1927185,,0.0,-5e-10,-0.000109388,101409.7734,33.42788315,0.013633081,-7.802541733,-1.144502401,1.446687698,0
Chandpur ,23.2513148,90.8517846,2/13/1998,0.0,0.0,287.9813538,294.1094055,,0.0,-5e-10,-0.000106722,101475.9375,32.63328171,0.164229602,0.107983492,-1.016939998,0.849246919,0
Chandpur ,23.2513148,90.8517846,2/14/1998,0.0,0.0,288.5128479,294.3703918,,0.0,-5e-10,-0.000109721,101361.5859,30.3022747,0.125284851,-0.146868303,-0.339453787,1.496269345,0
Chandpur ,23.2513148,90.8517846,2/15/1998,0.0,7.650024414,289.3478088,295.919281,,0.0,-5e-10,-0.000101535,101139.0547,31.85634613,0.823983133,-9.320473671,1.100055814,1.131358028,0
Chandpur ,23.2513148,90.8517846,2/16/1998,6.1e-07,94.21219635,291.9515076,297.1628113,478.5132751,5.39e-07,-5e-10,-9.69e-05,101110.1563,35.91007996,0.490671367,22.26550484,1.962875009,0.769484103,0
Chandpur ,23.2513148,90.8517846,2/17/1998,4.43e-05,230.3768463,293.3186035,297.4105835,302.0568542,2.87e-05,7.16e-06,-0.000100175,101042.6641,40.97063065,0.486328751,27.89747429,2.144165039,0.708223403,0
Chandpur ,23.2513148,90.8517846,2/18/1998,0.000179449,334.3864441,293.3531799,296.557373,146.7634735,0.000149505,4.3e-05,-7.74e-05,101015.2813,43.50038528,0.792886794,30.74706841,1.625807643,0.651861131,0
Chandpur ,23.2513148,90.8517846,2/19/1998,0.0001631,287.9051208,293.1664124,296.0743713,92.64376831,0.000131665,3.93e-05,-0.000103377,101011.8672,46.38404465,0.620083869,27.97278023,1.278383732,-0.143008173,0
Chandpur ,23.2513148,90.8517846,2/20/1998,8.39e-06,619.9215698,292.3483276,295.8119812,142.0795135,8.45e-06,3.17e-06,-9.49e-05,101267.0,41.40524673,0.36645785,25.47917748,0.211161912,-1.389696002,0
Chandpur ,23.2513148,90.8517846,2/21/1998,0.0,111.8707886,289.633728,295.7755737,402.6708984,1.2e-08,-5e-10,-0.000129586,101249.1563,37.23981476,0.189307928,20.5722599,-1.406416297,-0.186622158,0
Chandpur ,23.2513148,90.8517846,2/22/1998,3.59e-08,1.138081908,289.5181885,296.1767273,,7.19e-08,-5e-10,-0.000133923,101307.4453,35.60290146,0.217748448,20.25660515,-1.106730938,-0.256032318,0
Chandpur ,23.2513148,90.8517846,2/23/1998,0.0,0.269856781,290.4213562,296.5560608,,0.0,-5e-10,-0.000122474,101322.9688,37.36789322,0.203124121,26.52970314,-1.433787942,-0.705754519,0
Chandpur ,23.2513148,90.8517846,2/24/1998,0.0,0.11730957,291.5263672,297.5077209,,0.0,-5e-10,-0.000129958,101312.7188,41.89435196,0.330316395,25.83562279,-1.436058164,0.182331875,0
Chandpur ,23.2513148,90.8517846,2/25/1998,1.43e-07,142.3009949,292.9107361,297.89151,280.9761963,0.0,-5e-10,-0.000105097,101104.6953,42.75977707,0.479859382,29.01416779,0.565180063,1.05696404,73
Chandpur ,23.2513148,90.8517846,2/26/1998,0.000178553,443.6349792,295.0952148,298.0737,78.21065521,0.00013679,1.21e-05,-0.000111274,101003.5313,41.23916245,0.484353304,31.1995182,0.909793198,1.743322492,0
Chandpur ,23.2513148,90.8517846,2/27/1998,3.53e-05,291.9648132,294.2108765,297.0987244,88.16170502,2.96e-05,6.68e-06,-0.00011063,101228.0078,37.38486862,0.296189219,5.939888477,-1.042625427,0.06967137,0
Chandpur ,23.2513148,90.8517846,2/28/1998,0.0,6.564676762,289.4264221,296.4948425,,0.0,-5e-10,-0.000174653,101320.8203,33.53329849,0.110947289,-23.56641388,-2.349534988,0.514174461,0
Chandpur ,23.2513148,90.8517846,3/1/1998,0.0,1.202596068,289.1169128,295.604126,,0.0,-5e-10,-0.000153677,101263.8984,36.85335159,0.342983037,-4.67127943,-2.148742914,0.805932462,0
Chandpur ,23.2513148,90.8517846,3/2/1998,0.0,0.0,287.2824402,294.7696228,,0.0,-5e-10,-0.000152768,101376.8125,37.15028763,0.07379552,-16.45851326,-1.602386594,1.231441379,0
Chandpur ,23.2513148,90.8517846,3/3/1998,0.0,0.0,286.7850952,295.1166992,,0.0,-5e-10,-0.000141446,101424.1797,27.64414406,0.0,-15.70400238,-1.995019436,0.75220108,0
Chandpur ,23.2513148,90.8517846,3/4/1998,0.0,0.0,288.2395935,296.4809875,,0.0,-5e-10,-0.000121964,101242.8828,33.53468323,0.0,3.105323792,-1.623791218,1.346668601,0
Chandpur ,23.2513148,90.8517846,3/5/1998,0.0,5.637817383,289.2892456,298.2982788,883.5563965,0.0,-5e-10,-0.000107901,101055.1484,41.59098434,0.411991566,21.06353378,0.157542452,1.139486194,0
Chandpur ,23.2513148,90.8517846,3/6/1998,4.12e-06,46.89196777,290.3287659,299.5015564,717.9263916,4.12e-06,-5e-10,-0.000117763,100919.9141,45.13482666,0.402599961,28.78990746,-0.249446586,1.245858073,3
Chandpur ,23.2513148,90.8517846,3/7/1998,0.000111326,208.447403,292.2522583,296.7698059,138.2386322,7.93e-05,3.18e-06,-9.99e-05,100722.1172,42.74037552,0.446682721,25.09568977,-0.484096557,1.351032138,0
Chandpur ,23.2513148,90.8517846,3/8/1998,0.0,3.302917481,285.9594421,294.7314758,,0.0,-5e-10,-0.000161991,100933.2734,23.08873177,0.0,-23.92308617,-1.073132277,1.51648283,0
Chandpur ,23.2513148,90.8517846,3/9/1998,0.0,13.69268799,287.2576294,295.875946,298.7150879,0.0,-5e-10,-0.000139889,100939.5703,26.92867279,0.02048777,-16.97252083,0.68707782,0.887962639,0
Chandpur ,23.2513148,90.8517846,3/10/1998,3.59e-08,45.0967598,288.7074585,297.7124023,310.7153931,0.0,-5e-10,-0.000125331,100901.9453,34.35695267,0.042910948,13.68650532,1.354899526,1.403822303,0
Chandpur ,23.2513148,90.8517846,3/11/1998,2.35e-05,412.2191467,293.3129578,299.0140381,215.7969818,2.19e-05,2.29e-06,-9.71e-05,101055.8125,40.36923599,0.25892362,17.08968925,1.649655342,0.975661099,0
Chandpur ,23.2513148,90.8517846,3/12/1998,1.08e-07,170.0913086,292.2120667,298.8886414,468.2198792,1.56e-07,-5e-10,-0.000103337,101143.1016,43.89664841,0.552007496,27.31064796,-0.130900025,0.382348657,86
Chandpur ,23.2513148,90.8517846,3/13/1998,2.37e-05,576.572998,291.4367676,299.1721497,315.9878235,2.37e-05,2.38e-05,-9.22e-05,101102.1016,49.60165405,0.53043443,33.60044098,-0.847087383,0.096023701,9
Chandpur ,23.2513148,90.8517846,3/14/1998,3.38e-05,602.7910156,294.0253906,298.7475586,194.4673462,2.76e-05,4.69e-06,-7.09e-05,101025.6328,42.84994507,0.377349973,-1.765335441,-0.698120415,0.843728304,0
Chandpur ,23.2513148,90.8517846,3/15/1998,0.0,0.686401367,286.7846985,298.6698303,,0.0,-5e-10,-0.000147841,101319.9688,36.76763535,0.238524869,-20.61771584,-2.067881346,0.804435194,0
Chandpur ,23.2513148,90.8517846,3/16/1998,0.0,0.0,286.1472778,298.3684998,,0.0,-5e-10,-0.000137718,101435.9766,22.37524223,0.396918327,-21.00520515,-2.391025305,0.896197736,0
Chandpur ,23.2513148,90.8517846,3/17/1998,0.0,0.0,286.8786621,299.4462891,,0.0,-5e-10,-0.00013029,101294.3438,27.27609062,0.498846024,0.621539056,-2.601049185,1.374218822,0
Chandpur ,23.2513148,90.8517846,3/18/1998,0.0,5.262349606,288.870697,299.7219849,,0.0,-5e-10,-0.000120097,101241.125,43.30910873,0.390478849,23.21935081,-1.97197187,1.84890306,0
Chandpur ,23.2513148,90.8517846,3/19/1998,1.43e-07,109.0137329,290.3652954,300.5843201,635.8643799,1.32e-07,-5e-10,-9.15e-05,101029.5938,44.53749084,0.137693986,20.34799957,-0.651376307,1.514600396,23
Chandpur ,23.2513148,90.8517846,3/20/1998,0.0,22.34012794,289.0952454,300.8092041,685.5370483,0.0,-5e-10,-9.58e-05,100965.4375,36.40873718,0.060528666,15.040452,-0.139764503,1.323289514,0
Chandpur ,23.2513148,90.8517846,3/21/1998,0.0,629.2436523,292.7232361,301.9376221,525.7620239,0.0,-5e-10,-9.31e-05,100915.8984,39.67776871,0.312048256,25.34215736,2.157180786,1.918398738,0
Chandpur ,23.2513148,90.8517846,3/22/1998,6.38e-06,2305.740967,296.0813293,302.2220154,366.2976379,5.29e-06,3.9e-06,-9.23e-05,100676.5703,46.00000381,0.586464703,30.71949959,3.463982344,1.526814103,11
Chandpur ,23.2513148,90.8517846,3/23/1998,0.001866304,2736.780273,294.0724487,297.1877136,128.0772552,0.001751985,0.000625595,-0.000157865,100790.0938,50.05636215,0.657996118,35.27880859,4.248750687,1.08166945,33
Chandpur ,23.2513148,90.8517846,3/24/1998,0.002813744,1498.022339,293.9103394,294.9139709,49.55441284,0.002012119,0.000511922,-0.000106749,100845.4766,50.74496078,0.955029011,37.29971695,1.186733365,0.099275,555
Chandpur ,23.2513148,90.8517846,3/25/1998,6.22e-05,800.5494995,294.1825867,296.2604675,182.3397827,3.91e-05,3.56e-05,-0.000106677,100899.0313,38.39113998,0.66236347,-3.016103029,-0.153969333,-0.670760632,16
Chandpur ,23.2513148,90.8517846,3/26/1998,2.01e-06,196.8256073,292.0889587,296.9224548,387.758667,1.8e-07,-5e-10,-0.000184807,101194.375,40.06843948,0.254074931,-15.32300949,0.300282627,-0.80378437,0
Chandpur ,23.2513148,90.8517846,3/27/1998,0.0,56.84173584,290.9415588,297.5134583,783.8589478,0.0,-5e-10,-0.000211111,101258.4141,39.41463089,0.019881841,-0.09603405,-1.411626816,0.138054833,0
Chandpur ,23.2513148,90.8517846,3/28/1998,0.0,153.2657928,291.8600159,298.0783081,565.3526611,0.0,-5e-10,-0.000206629,101164.375,37.61544037,0.038163979,3.70574379,-0.296601445,0.005245067,0
Chandpur ,23.2513148,90.8517846,3/29/1998,7.17e-07,681.4685059,292.3216248,299.0323792,532.1858521,7.06e-07,-5e-10,-0.000202815,101180.4609,45.52836609,0.618130684,27.53649712,-0.390824676,0.498944879,25
Chandpur ,23.2513148,90.8517846,3/30/1998,0.001146859,571.3341675,291.8626099,295.666687,178.3447723,0.000517717,0.000136243,-0.000150451,101323.6172,47.71580505,0.888150513,32.89004135,-0.339842945,-0.022519013,21
