District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Chapai Nawabganj ,24.7413111,88.2912069,1/1/1998,0.0,0.023457846,282.9146118,288.2160034,,0.0,-5e-10,-9.08e-05,101562.3203,6.16599083,0.52350086,-38.51678085,-1.650709033,2.217472076,0
Chapai Nawabganj ,24.7413111,88.2912069,1/2/1998,0.0,0.0,282.4933167,287.3153992,,0.0,-5e-10,-8.17e-05,101575.3984,7.223878861,0.186907113,-40.51299667,-1.396211147,2.360826969,0
Chapai Nawabganj ,24.7413111,88.2912069,1/3/1998,0.0,0.0,283.8448181,287.6773376,,0.0,-5e-10,-7.55e-05,101716.3672,23.62708092,0.00558243,-24.23345375,-1.907974362,2.16322732,0
Chapai Nawabganj ,24.7413111,88.2912069,1/4/1998,0.0,0.0,283.9536438,287.410675,,0.0,-5e-10,-7.49e-05,101580.5313,26.0112381,0.703062475,-23.19070625,-1.438760757,2.235418081,0
Chapai Nawabganj ,24.7413111,88.2912069,1/5/1998,0.0,0.0,284.4860535,287.4701233,,0.0,-5e-10,-7.14e-05,101369.2266,30.72862816,0.22274147,-13.08984661,-0.965547502,1.922826409,0
Chapai Nawabganj ,24.7413111,88.2912069,1/6/1998,0.0,0.0,284.0985413,287.0594788,,0.0,-5e-10,-7.28e-05,101409.5625,24.71570015,0.036787447,-4.040117741,-0.884945333,1.541936874,0
Chapai Nawabganj ,24.7413111,88.2912069,1/7/1998,0.0,0.0,284.3768616,287.1404724,,0.0,-5e-10,-7.27e-05,101519.8672,19.34861183,0.264432281,-13.45467663,-1.238704085,1.264531493,0
Chapai Nawabganj ,24.7413111,88.2912069,1/8/1998,0.0,0.0,284.6377869,287.6202087,,0.0,-5e-10,-7.4e-05,101373.0078,23.38631439,0.205237567,-9.051949501,-1.150102258,1.653741717,0
Chapai Nawabganj ,24.7413111,88.2912069,1/9/1998,0.0,0.0,284.3084412,287.5605164,,0.0,-5e-10,-7.68e-05,101203.5313,24.82917976,0.267486721,-11.26842022,-1.015967012,1.98398006,0
Chapai Nawabganj ,24.7413111,88.2912069,1/10/1998,0.0,0.0,283.6434631,286.9117432,,0.0,-5e-10,-7.4e-05,101278.6328,24.27375984,0.612701476,-22.47940254,-1.694750428,1.545872569,0
Chapai Nawabganj ,24.7413111,88.2912069,1/11/1998,0.0,0.0,284.164978,287.5067444,,0.0,-5e-10,-7.44e-05,101120.7188,25.43800163,0.277468354,-16.31454468,-0.915668428,2.155462742,0
Chapai Nawabganj ,24.7413111,88.2912069,1/12/1998,0.0,0.0,283.7985535,288.5246887,,0.0,-5e-10,-7.88e-05,100816.0938,29.03182983,0.056760211,5.389472485,0.294293672,1.332487106,0
Chapai Nawabganj ,24.7413111,88.2912069,1/13/1998,1.38e-05,49.70788574,286.8147583,290.5367126,,1.39e-05,3.18e-08,-6.92e-05,100709.1172,32.46773911,0.208723724,6.59967804,0.549656332,1.250029087,0
Chapai Nawabganj ,24.7413111,88.2912069,1/14/1998,0.0,0.175984696,284.5921326,289.6492004,,0.0,-5e-10,-8.81e-05,100955.6016,21.70356941,0.035929103,-30.03144646,-1.281880736,2.274197817,0
Chapai Nawabganj ,24.7413111,88.2912069,1/15/1998,0.0,0.0,284.4831848,289.068573,,0.0,-5e-10,-8.47e-05,100785.3047,27.18300056,0.263844818,8.157717705,0.238058105,2.471861839,0
Chapai Nawabganj ,24.7413111,88.2912069,1/16/1998,0.0,0.099731445,284.6344299,290.5169067,,0.0,-5e-10,-9.14e-05,100745.3203,30.8254776,0.047155004,-23.24909401,-0.320708573,1.94068706,0
Chapai Nawabganj ,24.7413111,88.2912069,1/17/1998,0.0,0.469299316,285.3569641,291.2253723,,0.0,-5e-10,-8.2e-05,101112.4375,42.62086105,0.422846109,-2.936263323,-1.284280539,0.352146149,0
Chapai Nawabganj ,24.7413111,88.2912069,1/18/1998,3.59e-08,7.151346684,285.3115234,290.0919495,,1.2e-08,4.9e-09,-6.7e-05,101143.0938,38.63161087,0.278657317,-9.354765892,-1.49017489,1.070910335,0
Chapai Nawabganj ,24.7413111,88.2912069,1/19/1998,0.0,0.0,281.6115417,287.8190613,,0.0,-5e-10,-9.01e-05,101342.125,14.74994755,0.004041222,-40.61745834,-1.700804353,1.661121249,0
Chapai Nawabganj ,24.7413111,88.2912069,1/20/1998,1.51e-05,0.0,282.6415405,289.6061096,,1.5e-05,3.11e-07,-8.51e-05,101382.0,15.65669537,0.361156464,-31.49574852,-1.055878997,0.661743224,0
Chapai Nawabganj ,24.7413111,88.2912069,1/21/1998,2.39e-05,0.598327637,284.9159851,288.0038452,,2.38e-05,8.42e-06,-5.32e-05,101213.2578,33.76990891,0.462927073,2.691548348,1.237347603,0.202245876,0
Chapai Nawabganj ,24.7413111,88.2912069,1/22/1998,0.0,0.140787765,283.7261658,288.3302917,,0.0,-5e-10,-7.77e-05,101412.2266,27.08342743,0.414464235,-27.84632111,-0.477069855,0.019447932,0
Chapai Nawabganj ,24.7413111,88.2912069,1/23/1998,0.0,0.0,283.8196716,289.0415039,,0.0,-5e-10,-8.58e-05,101371.2422,25.14784241,0.376226455,-28.54070473,-1.623553395,1.550621033,0
Chapai Nawabganj ,24.7413111,88.2912069,1/24/1998,0.0,0.0,283.6752014,289.1701355,,0.0,-5e-10,-8.74e-05,101534.7188,10.8745718,0.442650408,-34.14570618,-1.609175682,1.712906003,0
Chapai Nawabganj ,24.7413111,88.2912069,1/25/1998,3.12e-06,0.0,283.8054504,290.428894,,3.1e-06,6.13e-06,-8.61e-05,101577.6641,19.94417,0.584272444,-21.41482735,-1.447149754,1.346176624,0
Chapai Nawabganj ,24.7413111,88.2912069,1/26/1998,0.0,0.0,285.6033325,291.4151001,,1.2e-08,-5e-10,-7.8e-05,101468.5547,36.9021492,0.302497715,14.66074276,0.045957748,0.807258606,0
Chapai Nawabganj ,24.7413111,88.2912069,1/27/1998,7.64e-06,8.471374512,286.5818481,293.3318481,,4.17e-06,2.07e-06,-8.26e-05,101526.5391,40.56531143,0.553632677,18.08197975,-0.971320152,-0.249679506,0
Chapai Nawabganj ,24.7413111,88.2912069,1/28/1998,3.35e-05,3.825032473,287.363678,291.6992798,,1.6e-05,2.95e-07,-7.15e-05,101665.4609,46.37196732,0.413992435,28.48218346,-0.34805882,-0.980186701,0
Chapai Nawabganj ,24.7413111,88.2912069,1/29/1998,0.000367825,194.3850555,289.0766907,292.3101807,70.11116791,0.000362645,0.000117252,-7.32e-05,101612.0938,50.30059433,0.440937519,30.2257328,0.082626529,0.747858942,0
Chapai Nawabganj ,24.7413111,88.2912069,1/30/1998,4.02e-06,5.925252438,288.6337891,291.8623962,258.7510986,3.99e-06,3.19e-06,-6.47e-05,101590.8828,38.41558456,0.369186133,-4.522024632,-0.782376468,2.230947733,0
Chapai Nawabganj ,24.7413111,88.2912069,1/31/1998,0.0,0.0,287.4909973,291.724884,,0.0,-5e-10,-8.95e-05,101590.4375,34.52754211,0.071288511,-2.96254921,-0.718270958,1.945970178,0
Chapai Nawabganj ,24.7413111,88.2912069,2/1/1998,0.0,0.0,287.3844604,292.101532,,0.0,-5e-10,-8.95e-05,101464.1641,35.96882248,0.275622577,14.28277111,-1.39536798,1.60497272,0
Chapai Nawabganj ,24.7413111,88.2912069,2/2/1998,0.0,0.0,287.5426941,292.8351746,,0.0,-5e-10,-9.02e-05,101378.4688,39.28333664,0.324277461,9.847716332,-0.756258667,1.945093274,0
Chapai Nawabganj ,24.7413111,88.2912069,2/3/1998,2.55e-06,3.995137453,288.6349182,293.9477539,,2.53e-06,1.07e-07,-9.43e-05,101236.1875,45.84554672,0.111970939,19.77416801,-0.027855491,2.210220814,0
Chapai Nawabganj ,24.7413111,88.2912069,2/4/1998,2.51e-07,26.42915916,286.8701172,292.6430969,444.4561768,2.75e-07,-5e-10,-9.61e-05,101287.7891,39.68716812,0.047443017,8.983380318,-0.123419225,2.354431391,0
Chapai Nawabganj ,24.7413111,88.2912069,2/5/1998,0.0,0.0,282.2695313,290.7434387,,0.0,-5e-10,-0.000105683,101344.3828,31.39411354,0.037792668,-25.09431458,-0.294850141,2.778614044,0
