District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Chittagong ,22.5150105,91.7538817,1/1/1998,0.0,0.0,287.2731018,292.9030457,,0.0,-5e-10,-0.000122729,101451.5234,23.3756237,0.491549403,-5.044342041,-4.173872471,1.556631565,0
Chittagong ,22.5150105,91.7538817,1/2/1998,0.0,0.0,285.9875488,291.5117493,,0.0,-5e-10,-0.000124366,101515.6875,2.415774107,0.0,-26.60348511,-3.450874329,1.502172947,0
Chittagong ,22.5150105,91.7538817,1/3/1998,0.0,0.0,285.6020508,290.8710938,,0.0,-5e-10,-0.000124495,101645.6875,5.893847942,0.000703208,-46.43803406,-3.544102907,1.293963909,0
Chittagong ,22.5150105,91.7538817,1/4/1998,0.0,0.0,286.6876526,290.5715942,,0.0,-5e-10,-9.7e-05,101552.6328,10.92302227,0.60942322,-41.97555923,-2.578650236,1.38461411,0
Chittagong ,22.5150105,91.7538817,1/5/1998,2.87e-07,0.01171875,287.3668213,290.2115173,,0.0,-5e-10,-7e-05,101449.3516,15.18258572,0.630320489,-39.60560608,-0.904598534,0.969885886,0
Chittagong ,22.5150105,91.7538817,1/6/1998,3.23e-07,0.0234375,286.5828247,289.9523621,,0.0,-5e-10,-8.17e-05,101480.0547,17.91499901,0.077927023,-22.78078461,-1.836604238,0.558879316,0
Chittagong ,22.5150105,91.7538817,1/7/1998,0.0,0.0,286.2269287,290.2072144,,0.0,-5e-10,-9.54e-05,101520.0234,18.57553673,0.038490787,-18.1189003,-2.771701813,0.856540918,0
Chittagong ,22.5150105,91.7538817,1/8/1998,0.0,0.0,285.9934387,289.8283386,,0.0,-5e-10,-8.98e-05,101411.9766,15.61170864,0.350370556,-14.97608185,-2.327697992,1.22312057,0
Chittagong ,22.5150105,91.7538817,1/9/1998,0.0,0.0,286.4030762,290.4283752,,0.0,-5e-10,-9.07e-05,101235.6875,16.53330231,0.039616808,-14.52627659,-2.728006363,1.176148534,0
Chittagong ,22.5150105,91.7538817,1/10/1998,0.0,0.0,286.4200439,290.7279968,,0.0,-5e-10,-9.55e-05,101264.9375,18.04946327,0.418806166,-29.64100838,-3.21808362,1.158159614,0
Chittagong ,22.5150105,91.7538817,1/11/1998,0.0,0.0,285.9890137,290.1212158,,0.0,-5e-10,-8.89e-05,101198.6641,10.18350029,0.447904736,-36.5151329,-2.121544123,1.470836759,0
Chittagong ,22.5150105,91.7538817,1/12/1998,7.17e-08,0.052754719,286.6231384,290.002594,,0.0,-5e-10,-7.66e-05,101008.5078,16.25145912,0.126144454,-14.65324879,-0.419558644,0.991789103,0
Chittagong ,22.5150105,91.7538817,1/13/1998,4.7e-06,39.62322998,288.2489319,291.7763672,80.28273773,4.51e-06,8.09e-06,-6.89e-05,100972.6797,27.58411217,0.286467642,14.77215576,1.219078064,-0.130516514,0
Chittagong ,22.5150105,91.7538817,1/14/1998,3.94e-07,74.65280914,289.7792664,292.1858521,161.2665405,2.75e-07,2.15e-07,-5.17e-05,101050.0234,26.16356659,0.811915398,-9.840750694,0.102171697,0.596760809,0
Chittagong ,22.5150105,91.7538817,1/15/1998,1.08e-07,0.457539886,288.9413147,291.9414978,,0.0,-5e-10,-6.76e-05,100975.1797,22.18564796,0.323609859,2.648947477,0.571060896,1.139015675,0
Chittagong ,22.5150105,91.7538817,1/16/1998,3.59e-08,20.36303711,289.2513733,292.5288086,93.03565216,0.0,-5e-10,-6.74e-05,100994.875,29.91046715,0.181849852,-11.44025898,1.651709199,0.069970846,0
