District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Chuadanga ,23.6160512,88.8263006,1/1/1998,2.87e-07,1.771687865,284.7693481,289.8152161,,0.0,-5e-10,-8.36e-05,101699.5938,12.89522839,0.559325039,-17.2376461,-2.722254992,0.904154778,0
Chuadanga ,23.6160512,88.8263006,1/2/1998,0.0,0.0,282.5940857,287.7103577,,0.0,-5e-10,-8.76e-05,101733.8516,3.860670328,0.069721237,-34.68645477,-2.154558897,1.621207714,0
Chuadanga ,23.6160512,88.8263006,1/3/1998,0.0,0.0,283.1476746,287.393219,,0.0,-5e-10,-8.22e-05,101875.3828,11.56851482,0.032972574,-40.52062607,-2.31414175,1.434046269,0
Chuadanga ,23.6160512,88.8263006,1/4/1998,0.0,0.0,283.9450684,287.5242615,,0.0,-5e-10,-8.21e-05,101747.8984,21.37847328,0.821069181,-31.36363792,-1.929681659,1.874570847,0
Chuadanga ,23.6160512,88.8263006,1/5/1998,0.0,0.0,284.3999329,287.3483276,,0.0,-5e-10,-7.64e-05,101549.4609,26.45500946,0.088677339,-20.25009346,-1.082515717,1.725590348,0
Chuadanga ,23.6160512,88.8263006,1/6/1998,0.0,0.0,283.9687195,287.2845154,,0.0,-5e-10,-8.11e-05,101584.1563,15.98629379,0.002887857,-19.29133987,-1.598257065,0.962805748,0
Chuadanga ,23.6160512,88.8263006,1/7/1998,0.0,0.0,283.96521,286.8513184,,0.0,-5e-10,-8.24e-05,101676.2266,17.91143608,0.207051531,-16.58805275,-2.028315306,0.768628538,0
Chuadanga ,23.6160512,88.8263006,1/8/1998,0.0,0.0,284.1513062,287.3983154,,0.0,-5e-10,-8.21e-05,101543.7266,19.56052589,0.404233366,-11.45687771,-1.868948937,1.094310761,0
Chuadanga ,23.6160512,88.8263006,1/9/1998,0.0,0.0,283.803772,287.4606628,,0.0,-5e-10,-8.67e-05,101376.7813,19.88067436,0.256414086,-12.98515701,-1.751418471,1.541808486,0
Chuadanga ,23.6160512,88.8263006,1/10/1998,0.0,0.0,283.4064026,287.0754089,,0.0,-5e-10,-8.7e-05,101440.4609,22.29096222,0.332052797,-25.84255409,-2.263030291,0.690084875,0
Chuadanga ,23.6160512,88.8263006,1/11/1998,0.0,0.0,283.8673401,287.6344299,,0.0,-5e-10,-7.83e-05,101308.1875,15.90235996,0.323015362,-27.97427559,-1.247611761,1.545765519,0
Chuadanga ,23.6160512,88.8263006,1/12/1998,0.0,0.0,283.9970398,288.209198,,0.0,-5e-10,-9e-05,101019.1797,24.77989006,0.008523698,0.193639115,0.832412541,1.734959126,0
Chuadanga ,23.6160512,88.8263006,1/13/1998,1.48e-05,32.06687546,287.3199158,291.1080627,,1.47e-05,3.72e-08,-6.8e-05,100902.6563,30.8605175,0.240815699,12.92753983,0.467259675,1.639603019,0
Chuadanga ,23.6160512,88.8263006,1/14/1998,0.0,0.539693177,285.4983826,290.4827881,,0.0,-5e-10,-9.48e-05,101129.2109,25.23182678,0.231899694,-23.45046997,-1.74052155,1.289407849,0
Chuadanga ,23.6160512,88.8263006,1/15/1998,0.0,0.0,285.0649719,290.0243225,,0.0,-5e-10,-9.59e-05,100999.7109,20.08026505,0.30063799,1.127390504,0.575017512,1.989691138,0
Chuadanga ,23.6160512,88.8263006,1/16/1998,0.0,0.328470856,287.6022339,292.3156738,,0.0,-5e-10,-9.03e-05,100936.6641,33.37072372,0.158235803,-17.27450562,-0.215372279,0.115745187,0
Chuadanga ,23.6160512,88.8263006,1/17/1998,7.81e-05,3.015421629,286.336792,292.7417297,,5.7e-05,3.65e-05,-0.000106382,101250.5859,42.06929779,0.413956851,11.36496735,-1.823545337,-1.174363971,0
Chuadanga ,23.6160512,88.8263006,1/18/1998,1.69e-06,1.947672486,287.2522888,290.8992615,,6.47e-07,1.03e-08,-3.89e-05,101285.8828,41.61632156,0.68894428,22.3986721,-1.19669497,-0.04647566,0
Chuadanga ,23.6160512,88.8263006,1/19/1998,0.0,0.0,284.1838684,289.5481567,,0.0,-5e-10,-8.88e-05,101491.0234,33.93040085,0.236887023,3.320369482,-1.918590188,0.534708738,0
Chuadanga ,23.6160512,88.8263006,1/20/1998,0.00031763,0.698079407,284.6151733,290.5934143,,0.000247814,6.24e-05,-0.000103286,101540.4609,34.35165787,0.56753087,19.29490471,-1.474305272,-0.216952995,0
Chuadanga ,23.6160512,88.8263006,1/21/1998,0.000309563,16.87233543,285.9129639,286.9476624,,9.47e-05,1.64e-05,-3.52e-05,101417.0078,36.78401566,0.856141806,17.58300209,-0.122121967,-0.753026187,0
