District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Comilla ,23.4575667,91.1808996,1/1/1998,0.0,0.0,286.0350342,291.0186462,,0.0,-5e-10,-8.69e-05,101352.5,20.9602375,0.467653066,-13.26704884,-2.334984064,1.382282734,0
Comilla ,23.4575667,91.1808996,1/2/1998,0.0,0.0,284.7733459,289.334198,,0.0,-5e-10,-8.24e-05,101392.0391,0.442627221,0.091110587,-39.52772903,-1.655573726,1.52206564,0
Comilla ,23.4575667,91.1808996,1/3/1998,0.0,0.0,284.4690857,288.4847107,,0.0,-5e-10,-7.92e-05,101528.7266,8.016997337,0.0,-43.60717392,-1.941421628,1.122951865,0
Comilla ,23.4575667,91.1808996,1/4/1998,0.0,0.0,285.723877,288.5592346,,0.0,-5e-10,-7.73e-05,101406.5938,12.56731129,0.752833188,-38.48060226,-1.458068252,1.508290649,0
Comilla ,23.4575667,91.1808996,1/5/1998,0.0,0.0,285.4494629,288.0437012,,0.0,-5e-10,-7.1e-05,101277.7188,23.43362427,0.414777041,-27.43919182,-0.59377867,1.433276177,0
Comilla ,23.4575667,91.1808996,1/6/1998,3.59e-08,0.938598633,285.0834045,287.6339417,,0.0,-5e-10,-6.93e-05,101331.1484,23.51830292,0.268479854,-13.36811447,-1.362050414,0.46760872,0
Comilla ,23.4575667,91.1808996,1/7/1998,3.59e-08,0.029317221,284.384613,287.0502625,,0.0,-5e-10,-8.24e-05,101392.7109,18.05109596,0.326440483,-18.20206261,-1.985073924,0.854081094,0
Comilla ,23.4575667,91.1808996,1/8/1998,0.0,0.005859375,284.466156,287.2710571,,0.0,-5e-10,-8.25e-05,101266.2578,20.91530228,0.382600516,-9.338978767,-1.381919861,1.319161177,0
Comilla ,23.4575667,91.1808996,1/9/1998,0.0,0.0,285.0190125,288.0508118,,0.0,-5e-10,-8.4e-05,101097.2813,23.31984901,0.175145865,-7.333097935,-1.708003998,1.173881173,0
Comilla ,23.4575667,91.1808996,1/10/1998,0.0,0.0,284.9765015,288.1886902,,0.0,-5e-10,-8.85e-05,101145.125,20.88115501,0.404384702,-27.15896034,-1.859738469,0.814680874,0
Comilla ,23.4575667,91.1808996,1/11/1998,0.0,0.0,284.5721741,287.7697754,,0.0,-5e-10,-7.9e-05,101041.6953,18.74642372,0.313044578,-26.76610756,-0.947818458,1.673612952,0
Comilla ,23.4575667,91.1808996,1/12/1998,0.0,0.0,284.7986755,288.7712708,,0.0,-5e-10,-8.91e-05,100819.5078,25.55989265,0.028022781,-3.835722685,-0.2024647,0.650641978,0
Comilla ,23.4575667,91.1808996,1/13/1998,2.58e-05,88.3572998,287.1993713,291.3127441,59.92053223,2.55e-05,2.47e-07,-7.27e-05,100763.2891,29.69320679,0.361737609,16.14173698,1.642779827,-0.416499227,0
Comilla ,23.4575667,91.1808996,1/14/1998,5.2e-06,71.08591461,288.0680847,291.4359436,93.73587036,4.96e-06,7.25e-07,-8.34e-05,100874.1016,26.69191742,0.454566807,-19.66651726,-0.31863299,0.429727197,0
Comilla ,23.4575667,91.1808996,1/15/1998,0.0,0.0234375,284.9515076,290.1164856,,0.0,-5e-10,-9.98e-05,100778.2578,23.24586296,0.206397295,5.724541187,0.536208272,1.348679185,0
Comilla ,23.4575667,91.1808996,1/16/1998,5.2e-06,78.97658539,287.9429626,292.2709045,70.91165161,4.91e-06,2.21e-06,-8.98e-05,100781.8438,30.67408943,0.270082742,-7.926266193,1.947286606,0.178610042,0
Comilla ,23.4575667,91.1808996,1/17/1998,0.00010161,153.0662842,290.8747253,293.1497192,49.34359741,6.6e-05,1.44e-05,-6.43e-05,101034.0859,39.47347641,0.632885337,-1.517735004,0.25885728,-0.381697863,0
Comilla ,23.4575667,91.1808996,1/18/1998,0.000166219,15.36456299,290.7008057,292.2990723,82.90350342,8.35e-05,1.44e-05,-4.24e-05,101046.2578,41.7121315,0.948633373,23.59384727,0.478826761,-0.201188684,0
Comilla ,23.4575667,91.1808996,1/19/1998,2.94e-06,0.152506515,287.3704224,291.4206543,,1.57e-06,-5e-10,-7.78e-05,101221.6875,36.16529846,0.438275367,11.30159473,-1.093196392,0.591263592,0
Comilla ,23.4575667,91.1808996,1/20/1998,6.41e-05,0.263936371,284.8524475,291.6000977,,3.21e-05,2.1e-08,-0.000110047,101286.3438,25.00862885,0.507531822,8.881711006,-1.672697425,0.629230619,0
Comilla ,23.4575667,91.1808996,1/21/1998,0.000499337,18.04563332,286.1699829,287.4402771,,0.000158724,2.83e-05,-4.77e-05,101191.4453,36.38013077,0.896992743,25.2132206,-1.003318906,-0.92882961,0
Comilla ,23.4575667,91.1808996,1/22/1998,7.17e-08,0.12900798,285.1125793,287.6984558,,0.0,-5e-10,-9.58e-05,101316.8672,9.587151527,0.252751797,-46.42828751,-2.135424614,0.275527567,0
Comilla ,23.4575667,91.1808996,1/23/1998,0.0,0.005859375,284.5696716,288.1442261,,0.0,-5e-10,-0.000104857,101243.7188,5.306357861,0.060152266,-50.35213089,-1.789643884,0.926934958,0
Comilla ,23.4575667,91.1808996,1/24/1998,0.0,0.0,285.1378784,289.1448364,,0.0,-5e-10,-0.000108457,101389.4063,9.50579071,0.417237014,-27.65370941,-1.680567265,1.123935819,0
Comilla ,23.4575667,91.1808996,1/25/1998,1.32e-05,0.023457846,286.3456726,290.6746826,,1.32e-05,3.33e-06,-9.4e-05,101471.6016,15.83248138,0.623145342,-6.483566761,-1.548377991,1.071701646,0
Comilla ,23.4575667,91.1808996,1/26/1998,3e-05,0.0,287.0954285,291.4917297,,3.01e-05,8.92e-07,-8.24e-05,101397.9766,38.85163879,0.821678877,18.91957664,-1.605889201,0.372894317,0
Comilla ,23.4575667,91.1808996,1/27/1998,2.08e-06,0.0,287.841095,293.3253174,,2.07e-06,-5e-10,-0.000114008,101417.4609,43.83330154,0.439138174,22.05537224,-1.856127739,0.302735508,0
Comilla ,23.4575667,91.1808996,1/28/1998,0.000134309,0.070393883,288.9241943,291.8857422,,0.000102009,1.36e-05,-4.8e-05,101575.1797,43.92203903,0.674025536,25.78795815,-2.077027082,-0.104891419,0
Comilla ,23.4575667,91.1808996,1/29/1998,1.25e-06,15.87502003,289.3586426,292.9334106,,1.36e-06,-5e-10,-9.43e-05,101517.0703,46.88903427,0.363756925,27.36805534,-1.243828178,0.970698655,0
Comilla ,23.4575667,91.1808996,1/30/1998,9.61e-06,41.06046677,289.6587219,293.1523132,331.5224609,6.67e-06,2.27e-06,-9.83e-05,101518.6797,44.0102272,0.148654744,7.63947916,-0.964509666,1.611582279,0
Comilla ,23.4575667,91.1808996,1/31/1998,0.0,0.017598471,287.9931641,292.1976013,,0.0,-5e-10,-0.000114568,101508.8359,30.33177185,0.040159155,-14.39341259,-1.472229838,1.046440244,0
Comilla ,23.4575667,91.1808996,2/1/1998,0.0,0.0,288.0699768,292.4271545,,0.0,-5e-10,-0.000115682,101358.8438,28.93963051,0.119264342,8.277968407,-1.408643127,1.023873925,0
Comilla ,23.4575667,91.1808996,2/2/1998,0.0,0.0,288.0935059,292.6060181,,0.0,-5e-10,-0.000116245,101277.7734,33.62321854,0.043146204,2.733167887,-1.281188846,1.44645226,0
Comilla ,23.4575667,91.1808996,2/3/1998,0.0,0.0,288.3122253,293.9820251,,0.0,-5e-10,-0.000116768,101232.6016,41.02675247,0.132905692,13.45053768,-0.209642768,1.353791356,0
Comilla ,23.4575667,91.1808996,2/4/1998,2.13e-05,153.3889618,289.8433838,293.6322327,130.0231171,1.83e-05,3.76e-07,-0.000102886,101255.4453,45.76853943,0.120670758,24.11306763,-0.371949762,1.319867015,0
Comilla ,23.4575667,91.1808996,2/5/1998,6.45e-07,14.78975391,285.4931335,291.3177185,111.9113388,6.59e-07,1.77e-07,-0.000114711,101298.3516,31.92112732,0.116503649,-16.8012867,-1.140610695,1.348080277,0
Comilla ,23.4575667,91.1808996,2/6/1998,0.0,0.0,282.7746277,290.7797546,,0.0,-5e-10,-0.000120027,101277.875,31.47686005,0.801436603,-15.31734467,-1.487969756,0.648524284,0
Comilla ,23.4575667,91.1808996,2/7/1998,0.0,0.0,284.3663025,290.0629578,,0.0,-5e-10,-5.37e-05,101314.5391,24.81596565,0.724253416,-0.254957438,-0.202183604,0.330307066,0
Comilla ,23.4575667,91.1808996,2/8/1998,0.0,0.0,284.2045288,291.3007202,,0.0,-5e-10,-0.000114112,101391.2266,36.28872681,0.003896256,3.507693529,-1.844928265,0.760371923,0
Comilla ,23.4575667,91.1808996,2/9/1998,0.0,0.0,283.9212646,291.0694885,,0.0,-5e-10,-0.000117575,101433.9297,38.04713821,0.0,-4.092311382,-1.808151364,1.226093888,0
Comilla ,23.4575667,91.1808996,2/10/1998,0.0,0.0,284.4085999,291.6274109,,0.0,-5e-10,-0.000119411,101416.25,33.55591202,0.0,-9.599495888,-2.178730965,0.442732245,0
Comilla ,23.4575667,91.1808996,2/11/1998,0.0,0.0,286.4397888,292.5711975,,0.0,-5e-10,-0.00011528,101240.2734,28.39336586,0.015511907,-16.96398544,-1.01051867,1.318241477,0
