District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Dhaka ,23.810514,90.3371889,1/1/1998,0.0,0.0,285.6977234,290.5294495,,0.0,-5e-10,-9.09e-05,101700.2891,8.123548508,0.498203188,-28.29099083,-2.262597799,2.065026283,0
Dhaka ,23.810514,90.3371889,1/2/1998,0.0,0.0,284.6465759,289.159668,,0.0,-5e-10,-8.54e-05,101726.5313,1.566682458,0.115761019,-40.94233322,-1.783676624,2.178841829,0
Dhaka ,23.810514,90.3371889,1/3/1998,0.0,0.0,284.4022522,288.6062317,,0.0,-5e-10,-8.35e-05,101868.6797,11.16868877,0.000528995,-39.52720261,-1.994630337,1.844004631,0
Dhaka ,23.810514,90.3371889,1/4/1998,0.0,0.0,285.8988647,288.7141113,,0.0,-5e-10,-7.68e-05,101735.1641,16.94599533,0.785104454,-33.98421478,-1.514541626,2.222177744,0
Dhaka ,23.810514,90.3371889,1/5/1998,0.0,0.005859375,285.960144,288.5377808,,0.0,-5e-10,-7.44e-05,101576.5859,24.98403358,0.281754345,-22.95677948,-0.486128926,1.812860966,0
Dhaka ,23.810514,90.3371889,1/6/1998,3.59e-08,0.821268737,285.2835999,287.999176,,0.0,-5e-10,-6.97e-05,101633.6563,22.10864258,0.138301179,-13.48677826,-1.193992257,1.426067829,0
Dhaka ,23.810514,90.3371889,1/7/1998,0.0,0.0,284.9857788,287.6633301,,0.0,-5e-10,-8.07e-05,101711.2109,18.14675903,0.315522343,-17.45458031,-1.296799064,1.244745851,0
Dhaka ,23.810514,90.3371889,1/8/1998,0.0,0.0,284.9985046,287.8302917,,0.0,-5e-10,-8.32e-05,101572.125,21.89390755,0.319888443,-8.791810036,-1.188133121,2.043529511,0
Dhaka ,23.810514,90.3371889,1/9/1998,0.0,0.0,285.3547668,288.5541687,,0.0,-5e-10,-8.56e-05,101405.5234,22.93110847,0.218045354,-9.493824005,-1.33658123,1.753611088,0
Dhaka ,23.810514,90.3371889,1/10/1998,0.0,0.0,284.6994324,288.0029297,,0.0,-5e-10,-8.75e-05,101465.4297,21.59677124,0.419029355,-26.70870399,-1.507839084,1.406816959,0
Dhaka ,23.810514,90.3371889,1/11/1998,0.0,0.0,284.8242188,288.0610962,,0.0,-5e-10,-7.76e-05,101343.0938,20.67819786,0.31477207,-23.78092957,-0.702141821,2.16675663,0
Dhaka ,23.810514,90.3371889,1/12/1998,0.0,0.0,285.0605164,288.7904358,,0.0,-5e-10,-8.5e-05,101091.8203,25.76720428,0.037728448,-0.510111332,0.778101206,0.930699587,0
Dhaka ,23.810514,90.3371889,1/13/1998,1.38e-05,71.0859375,287.8285828,291.6700134,115.0089722,1.39e-05,3.4e-06,-6.45e-05,101003.0078,30.89521027,0.309435695,16.11061859,1.70781517,0.132985443,0
Dhaka ,23.810514,90.3371889,1/14/1998,7.17e-07,28.30059814,286.9303284,291.0808105,174.634491,7.18e-07,-5e-10,-8.87e-05,101169.3125,25.60656166,0.330390155,-24.41926765,-1.099790692,1.066589475,0
Dhaka ,23.810514,90.3371889,1/15/1998,0.0,0.0,285.3525085,290.1012878,,0.0,-5e-10,-9.97e-05,101055.4453,20.32499123,0.261039615,2.386315584,0.643425524,2.200980425,0
Dhaka ,23.810514,90.3371889,1/16/1998,1.33e-06,45.13781738,288.6064453,292.8441467,214.4779358,1.33e-06,8.38e-07,-8.47e-05,101027.1875,30.19379425,0.189238623,-14.32316589,1.268330097,0.673315227,0
Dhaka ,23.810514,90.3371889,1/17/1998,1.19e-05,27.94274902,287.0274353,292.8294067,32.39157867,0.0,-5e-10,-0.000100919,101323.8047,40.88793564,0.429158449,-0.637763679,-1.460813999,-0.400905967,0
Dhaka ,23.810514,90.3371889,1/18/1998,4.02e-05,6.324117184,288.3395081,291.7379456,,3.59e-05,5.34e-06,-4.24e-05,101335.4609,43.37339783,0.828897953,20.34097481,-0.796148837,-0.132634103,0
Dhaka ,23.810514,90.3371889,1/19/1998,0.0,0.0,285.1318665,290.5085144,,0.0,-5e-10,-9.42e-05,101533.0391,34.01250458,0.174883261,-3.108783007,-1.543772817,1.152769327,0
Dhaka ,23.810514,90.3371889,1/20/1998,0.000153706,0.08795166,284.4264221,290.9689941,,0.000142453,6.78e-05,-0.000107068,101601.9922,19.33282471,0.505103648,-0.582246065,-1.275308013,0.765441418,0
Dhaka ,23.810514,90.3371889,1/21/1998,0.000294253,21.41314697,285.6839294,287.6702271,,0.00022054,6.76e-05,-4.68e-05,101488.9297,35.39054108,0.810413599,20.31718254,-0.344491392,-0.585008681,0
Dhaka ,23.810514,90.3371889,1/22/1998,3.59e-08,0.058654785,285.2810669,288.1809387,,0.0,-5e-10,-8.74e-05,101633.6016,16.51241875,0.242176339,-40.47477722,-1.741645932,0.64777565,0
Dhaka ,23.810514,90.3371889,1/23/1998,0.0,0.0,284.8743286,289.0250549,,0.0,-5e-10,-0.000100108,101557.5703,11.9352808,0.143018916,-42.6032486,-1.573696017,1.384485841,0
Dhaka ,23.810514,90.3371889,1/24/1998,0.0,0.0,285.8022156,290.2134705,,0.0,-5e-10,-0.000102058,101703.0703,12.55206776,0.652800858,-25.12603951,-1.461678863,1.750466824,0
Dhaka ,23.810514,90.3371889,1/25/1998,2.64e-05,0.0,285.914093,291.2356262,,2.64e-05,-5e-10,-9.34e-05,101783.1875,18.12265778,0.66661644,-6.572847843,-1.340126991,1.495905757,0
Dhaka ,23.810514,90.3371889,1/26/1998,0.000140296,0.0,287.0082092,291.3347473,,0.000140393,3.08e-05,-9.26e-05,101709.0938,39.41166306,0.715976417,19.97131157,-1.060354471,0.722404957,0
Dhaka ,23.810514,90.3371889,1/27/1998,1.53e-05,0.041056316,287.6957397,292.9933167,,4.01e-06,-5e-10,-0.00010216,101735.5,42.55998611,0.549515128,20.65368652,-1.476445794,0.742083609,0
Dhaka ,23.810514,90.3371889,1/28/1998,0.000248037,0.0,288.8421326,291.2817078,,4.98e-05,2.89e-05,-4.18e-05,101894.6172,44.27420425,0.731668234,25.5252533,-1.223093867,0.008688818,0
Dhaka ,23.810514,90.3371889,1/29/1998,3.33e-05,37.41733933,289.0187988,292.8678284,170.1355438,3.32e-05,1.06e-05,-9.9e-05,101828.5313,48.49794006,0.22083658,29.70318794,-0.646576583,1.055338383,0
Dhaka ,23.810514,90.3371889,1/30/1998,1.5e-05,31.35713768,289.8019714,293.4620056,276.8516235,1.12e-05,3.25e-06,-8.35e-05,101813.1563,41.66828537,0.174756751,3.754160881,-0.670791805,2.028492451,0
Dhaka ,23.810514,90.3371889,1/31/1998,0.0,0.0,288.3532715,292.3903809,,0.0,-5e-10,-0.000109617,101811.8203,30.06343842,0.032855585,-13.47824192,-1.247330666,1.430987477,0
Dhaka ,23.810514,90.3371889,2/1/1998,0.0,0.0,288.3288269,292.6468811,,0.0,-5e-10,-0.000112111,101669.7422,33.71977615,0.093486615,13.02762222,-1.032939315,1.543391347,0
