District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Dinajpur ,25.6279123,88.6331758,1/1/1998,0.0,0.0,283.9854736,288.7168274,,0.0,-5e-10,-7.54e-05,101291.7578,28.24331474,0.674269676,-20.43107224,-0.406045675,2.305491447,0
Dinajpur ,25.6279123,88.6331758,1/2/1998,0.0,0.0,283.5039368,288.2646179,,0.0,-5e-10,-7.37e-05,101292.7891,29.81564522,0.212410808,-20.13376999,-0.220388293,2.433381558,0
Dinajpur ,25.6279123,88.6331758,1/3/1998,0.0,0.0,284.3193054,288.0924988,,0.0,-5e-10,-7.08e-05,101453.6875,28.45438576,0.009385859,-10.90691376,-0.719352007,2.144404173,0
Dinajpur ,25.6279123,88.6331758,1/4/1998,0.0,0.0,284.907074,288.0891724,,0.0,-5e-10,-7.09e-05,101308.9063,29.65574455,0.472169876,-5.282425404,-0.546191394,2.070288181,0
Dinajpur ,25.6279123,88.6331758,1/5/1998,0.0,0.0,285.3727722,288.4579163,,0.0,-5e-10,-6.94e-05,101101.6641,37.54308701,0.503559291,3.735277414,-0.123224638,1.935018539,0
Dinajpur ,25.6279123,88.6331758,1/6/1998,0.0,0.903422058,284.9485779,288.1433411,,0.0,-5e-10,-6.46e-05,101167.3438,31.89177895,0.182965085,6.802789211,0.314855009,1.541701436,0
Dinajpur ,25.6279123,88.6331758,1/7/1998,0.0,0.451700836,284.5248413,288.1965637,,0.0,-5e-10,-6.3e-05,101285.9375,26.15737915,0.589339852,6.430557251,-0.921181679,0.5178321,0
Dinajpur ,25.6279123,88.6331758,1/8/1998,0.0,0.0,284.8666992,288.194397,,0.0,-5e-10,-7.41e-05,101116.7266,28.89271545,0.181794539,-3.445211649,-0.362696081,1.696286202,0
Dinajpur ,25.6279123,88.6331758,1/9/1998,0.0,0.0,284.7997742,288.9577942,,0.0,4.9e-09,-7e-05,100937.8984,32.56716537,0.445502013,-6.296846867,-0.098879673,1.901564717,0
Dinajpur ,25.6279123,88.6331758,1/10/1998,1.08e-07,0.029296875,284.5089417,288.4862671,,1.08e-07,-5e-10,-6.85e-05,101036.5313,28.66387749,0.623150408,-16.55950165,-0.874372721,1.165303826,0
Dinajpur ,25.6279123,88.6331758,1/11/1998,0.0,0.0,284.2505798,288.1644287,,0.0,-5e-10,-7.62e-05,100858.6016,32.51539612,0.26142171,-9.101878166,-0.166185066,1.50531733,0
Dinajpur ,25.6279123,88.6331758,1/12/1998,4.7e-06,2.487345457,284.3847961,288.8613586,,4.72e-06,1.73e-06,-6.01e-05,100563.5625,37.08659363,0.489305019,10.06593323,0.85517925,1.741055131,0
Dinajpur ,25.6279123,88.6331758,1/13/1998,5.91e-05,18.05739403,285.5733948,289.4742432,31.97576904,5.8e-05,8.52e-06,-6.29e-05,100495.0234,33.13648987,0.351668865,13.72767162,0.287785858,0.420379847,0
Dinajpur ,25.6279123,88.6331758,1/14/1998,1e-05,16.06856346,285.3544006,289.3640747,14.00035095,9.82e-06,2.6e-06,-7.28e-05,100711.0859,28.18268776,0.379385203,-7.220552445,-0.103203811,0.828177929,0
Dinajpur ,25.6279123,88.6331758,1/15/1998,3.94e-07,0.915039063,284.8152771,288.941803,,1.92e-07,1.66e-07,-6.38e-05,100514.8672,33.04058075,0.689278066,7.498457432,0.599470556,1.860218167,0
Dinajpur ,25.6279123,88.6331758,1/16/1998,0.0,0.680460632,284.2839661,289.6427917,,0.0,-5e-10,-8.06e-05,100495.4609,35.43775177,0.204485402,-18.06731224,0.755550802,1.685377479,0
Dinajpur ,25.6279123,88.6331758,1/17/1998,5.84e-06,6.423950195,283.3992615,289.1318054,,0.0,-5e-10,-8.83e-05,100894.5078,35.15739441,0.208407715,-22.09742737,-0.624523342,1.198522329,0
Dinajpur ,25.6279123,88.6331758,1/18/1998,7.72e-05,12.44307423,284.6195374,288.3138123,,1.53e-06,2.25e-07,-4.86e-05,100926.3047,38.97991562,0.496857792,-10.5815134,0.550218523,1.132619977,0
Dinajpur ,25.6279123,88.6331758,1/19/1998,0.0,0.0,281.865387,287.5314636,,0.0,-5e-10,-8.39e-05,101093.875,31.60528564,0.031776611,-22.27553749,0.011645605,2.093132734,0
Dinajpur ,25.6279123,88.6331758,1/20/1998,0.0,0.0,283.2764587,289.4206238,,0.0,-5e-10,-8.17e-05,101150.9766,34.73128891,0.106291235,-18.51454735,-0.632717609,0.156899333,0
Dinajpur ,25.6279123,88.6331758,1/21/1998,0.0,3.214823484,283.9620667,288.9483032,,2.39e-08,-5e-10,-7.52e-05,100945.4688,35.9305191,0.400871843,-6.586444378,1.33477068,0.455523402,0
Dinajpur ,25.6279123,88.6331758,1/22/1998,4.3e-07,4.241516113,284.0834351,288.1931152,,2.16e-07,1.45e-07,-5.31e-05,101190.6641,31.02091217,0.362934828,-8.454702377,-0.082469516,0.179508433,0
Dinajpur ,25.6279123,88.6331758,1/23/1998,0.0,0.0,283.7344055,288.7970581,,0.0,-5e-10,-8.1e-05,101135.0391,33.35374832,0.491201639,-23.01501465,-0.898782551,0.921138287,0
Dinajpur ,25.6279123,88.6331758,1/24/1998,0.0,0.0,283.9658203,289.4638062,,0.0,-5e-10,-8.5e-05,101282.5,32.89770126,0.482174367,-15.92138958,-0.779371202,1.43528688,0
Dinajpur ,25.6279123,88.6331758,1/25/1998,0.0,0.0,283.1045837,289.8667297,,0.0,-5e-10,-8.7e-05,101335.3359,29.38632202,0.371812671,-35.43325806,-0.105495639,1.867405295,0
Dinajpur ,25.6279123,88.6331758,1/26/1998,0.0,0.0,283.6780701,290.5995178,,0.0,-5e-10,-8.84e-05,101242.4922,34.26692963,0.072444417,-4.332434177,-0.325638086,0.776264668,0
Dinajpur ,25.6279123,88.6331758,1/27/1998,0.0,0.0,285.0387268,292.5307922,,0.0,-5e-10,-8.7e-05,101329.0,39.80975723,0.423442513,13.36405087,-0.975298405,-1.781365991,0
Dinajpur ,25.6279123,88.6331758,1/28/1998,5.56e-05,1.70131433,286.231842,291.01297,,5.56e-05,6.58e-05,-6.43e-05,101486.5859,46.42294312,0.417013794,28.335495,-0.676996946,-1.767526746,0
Dinajpur ,25.6279123,88.6331758,1/29/1998,9.71e-05,35.09997559,287.2614441,291.7915344,42.19181824,9.71e-05,2.64e-05,-7.7e-05,101380.6016,49.03940201,0.30640924,29.89904785,0.116679214,0.282457918,0
Dinajpur ,25.6279123,88.6331758,1/30/1998,1.21e-05,10.43076611,288.2348938,292.9230652,,1.21e-05,3.89e-06,-7.71e-05,101317.1016,43.40195084,0.164478838,12.60387516,0.307266116,2.287951708,0
Dinajpur ,25.6279123,88.6331758,1/31/1998,3.26e-06,0.522074401,287.5710754,292.676239,,3.11e-06,2.52e-07,-7.54e-05,101336.3438,40.92232895,0.360798508,2.892922163,0.009548396,1.728328228,0
Dinajpur ,25.6279123,88.6331758,2/1/1998,4.59e-06,1.120401979,287.3856201,292.3040466,,4.6e-06,2.59e-06,-7.04e-05,101227.0703,39.5259819,0.509481251,16.39908218,-0.662748873,0.747324169,0
