District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Faridpur ,23.5423919,89.6308921,1/1/1998,0.0,0.0,285.4411011,290.3238525,,0.0,-5e-10,-8.82e-05,101669.0859,9.541869164,0.452165335,-22.65585136,-2.521830797,1.60360384,0
Faridpur ,23.5423919,89.6308921,1/2/1998,0.0,0.0,283.8916931,288.7171021,,0.0,-5e-10,-8.67e-05,101698.3047,2.786500216,0.079086743,-36.54889679,-2.031191111,1.869159222,0
Faridpur ,23.5423919,89.6308921,1/3/1998,0.0,0.0,283.8464661,287.9558716,,0.0,-5e-10,-8.29e-05,101839.4766,11.21921635,0.016201126,-40.59812546,-2.10710144,1.53960526,0
Faridpur ,23.5423919,89.6308921,1/4/1998,0.0,0.0,285.1842346,288.3177185,,0.0,-5e-10,-7.9e-05,101709.25,21.34516907,0.786831319,-30.39234734,-1.866981387,2.071229219,0
Faridpur ,23.5423919,89.6308921,1/5/1998,0.0,0.0,285.6059875,288.684906,,0.0,-5e-10,-7.65e-05,101537.6328,25.51832008,0.381253839,-22.46527863,-0.964855611,1.645592213,0
Faridpur ,23.5423919,89.6308921,1/6/1998,7.17e-08,0.170064285,285.0480957,288.3816528,,0.0,-5e-10,-7.57e-05,101583.9063,18.60409164,0.118759506,-17.78360558,-1.409097195,0.647390664,0
Faridpur ,23.5423919,89.6308921,1/7/1998,0.0,0.0,284.7052002,287.4288025,,0.0,-5e-10,-8.16e-05,101671.0,17.93558693,0.275204212,-17.4940834,-1.772455573,1.003681898,0
Faridpur ,23.5423919,89.6308921,1/8/1998,0.0,0.0,284.6940002,287.7015076,,0.0,-5e-10,-8.43e-05,101533.6953,19.71379662,0.32549122,-11.17400265,-1.695399165,1.688478947,0
Faridpur ,23.5423919,89.6308921,1/9/1998,0.0,0.0,284.7340393,288.1566467,,0.0,-5e-10,-8.71e-05,101366.1016,19.87117195,0.237833738,-12.02005863,-1.718511701,1.645613551,0
Faridpur ,23.5423919,89.6308921,1/10/1998,0.0,0.0,284.14505,287.7618103,,0.0,-5e-10,-8.81e-05,101425.9766,21.36322975,0.354970008,-27.03191376,-1.914157867,1.25409317,0
