District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Feni ,22.9408784,91.4066646,1/1/1998,0.0,0.0,286.1546631,291.9041748,,0.0,-5e-10,-8.92e-05,101437.5391,23.56764221,0.453021139,-6.030513763,-2.959326506,1.269386888,0
Feni ,22.9408784,91.4066646,1/2/1998,0.0,0.0,284.754364,290.1485596,,0.0,-5e-10,-8.48e-05,101490.0859,1.479135871,0.016222106,-32.13461304,-2.312952757,1.293322206,0
Feni ,22.9408784,91.4066646,1/3/1998,0.0,0.0,284.2990112,289.1921692,,0.0,-5e-10,-8.23e-05,101624.0,6.987912655,0.027010566,-46.1542511,-2.453617334,0.958313942,0
Feni ,22.9408784,91.4066646,1/4/1998,0.0,0.0,285.6643982,288.9865112,,0.0,-5e-10,-7.75e-05,101513.8984,12.75730133,0.674749792,-39.41624069,-1.869640827,1.127785921,0
Feni ,22.9408784,91.4066646,1/5/1998,0.0,0.0,285.7093811,288.5382385,,0.0,-5e-10,-6.69e-05,101394.0547,20.23536491,0.473718733,-34.2362709,-0.986714184,0.769312918,0
Feni ,22.9408784,91.4066646,1/6/1998,7.17e-08,0.0234375,285.3275452,288.1676331,,0.0,-5e-10,-7.58e-05,101438.8438,18.82550812,0.090909667,-19.75942421,-1.508509278,0.212063804,0
Feni ,22.9408784,91.4066646,1/7/1998,0.0,0.0,284.6381226,288.1105042,,0.0,-5e-10,-8.79e-05,101488.8125,18.44028282,0.140256941,-18.29481888,-2.140894651,0.603049398,0
Feni ,22.9408784,91.4066646,1/8/1998,0.0,0.0,284.5224915,287.8581848,,0.0,-5e-10,-8.63e-05,101373.3125,18.66441917,0.303394228,-11.4628439,-1.82466948,0.895384848,0
Feni ,22.9408784,91.4066646,1/9/1998,0.0,0.0,285.1596985,288.8352966,,0.0,-5e-10,-8.87e-05,101200.5234,20.3315239,0.123524904,-9.953297615,-2.064162731,0.904454231,0
Feni ,22.9408784,91.4066646,1/10/1998,0.0,0.0,285.1349182,289.1001282,,0.0,-5e-10,-9.25e-05,101240.1563,19.48500633,0.409738869,-28.22187614,-2.289191485,0.760906696,0
Feni ,22.9408784,91.4066646,1/11/1998,0.0,0.0,284.6179504,288.5410461,,0.0,-5e-10,-8.78e-05,101154.6797,14.01359272,0.368506461,-32.6924324,-1.589089871,1.16083324,0
Feni ,22.9408784,91.4066646,1/12/1998,0.0,0.035176594,284.8446045,288.9299011,,0.0,-5e-10,-8.97e-05,100946.0703,21.60033607,0.086181767,-9.356881142,-0.57114172,0.476613849,0
Feni ,22.9408784,91.4066646,1/13/1998,2.84e-05,61.36494827,287.717926,291.6151428,52.47147751,2.76e-05,5.69e-06,-7.62e-05,100901.7422,28.67085266,0.390124679,15.46321583,1.376131177,-0.343089104,0
Feni ,22.9408784,91.4066646,1/14/1998,2.8e-06,88.68585205,289.0822144,291.8546753,97.95828247,2.74e-06,8.27e-07,-7.25e-05,100994.6875,27.13187981,0.732613742,-13.69887829,0.442590386,0.310970604,0
Feni ,22.9408784,91.4066646,1/15/1998,0.0,0.029296875,286.033905,291.1002197,,0.0,-5e-10,-9.51e-05,100906.4453,23.52547646,0.273088872,5.04805851,0.475302607,0.919405758,0
Feni ,22.9408784,91.4066646,1/16/1998,1.9e-06,57.02946091,288.7409363,292.1540833,42.40799332,1.8e-06,5.8e-07,-7.96e-05,100924.5938,30.90426636,0.456782579,-8.750795364,1.761175156,-0.072143517,0
Feni ,22.9408784,91.4066646,1/17/1998,6.06e-05,61.58197021,290.9806824,293.5949402,15.14734936,5.27e-05,1.84e-05,-8.06e-05,101149.3359,37.78553391,0.554763138,5.289691448,0.335546047,-0.118859023,0
Feni ,22.9408784,91.4066646,1/18/1998,0.000153634,16.96034813,290.8552246,291.9199829,,9.85e-06,3.02e-06,-3.45e-05,101168.7578,41.12914658,0.928439379,27.35680199,1.05303061,-0.46896854,0
Feni ,22.9408784,91.4066646,1/19/1998,5.36e-05,0.903442383,289.3842773,292.0225525,,5.21e-05,2.07e-05,-6.86e-05,101329.1328,39.43858337,0.600954831,25.32319832,-1.128135562,0.065222278,0
Feni ,22.9408784,91.4066646,1/20/1998,1.61e-05,0.17008464,285.3816833,292.6520691,,1.6e-05,1.49e-06,-0.000116887,101372.7891,33.04339981,0.593591511,21.97439766,-2.245712042,0.653379798,0
Feni ,22.9408784,91.4066646,1/21/1998,0.000380159,9.703288078,286.4958191,288.3015442,,0.00018504,3.68e-05,-7.28e-05,101292.3984,37.31008911,0.906888485,27.05685425,-2.151986122,-1.183668613,0
Feni ,22.9408784,91.4066646,1/22/1998,0.0,0.0,285.410614,289.0467224,,0.0,-5e-10,-0.00011727,101402.75,14.25658703,0.085193716,-41.31229782,-2.320238829,0.581103385,0
Feni ,22.9408784,91.4066646,1/23/1998,0.0,0.0,284.7219543,288.8251038,,0.0,-5e-10,-0.000111663,101343.5859,-0.297983438,0.001414046,-56.7865715,-1.874937892,0.870615423,0
Feni ,22.9408784,91.4066646,1/24/1998,0.0,0.0,285.2861023,289.749054,,0.0,-5e-10,-0.000113264,101493.7109,4.165723801,0.25444749,-29.96595764,-1.838636518,0.893481195,0
Feni ,22.9408784,91.4066646,1/25/1998,0.0,0.0,286.2447205,291.313324,,0.0,-5e-10,-0.000110914,101571.2109,16.09635925,0.443357438,-0.475441128,-2.05441165,0.864733219,0
Feni ,22.9408784,91.4066646,1/26/1998,1.4e-06,0.0,285.9867859,292.4205627,,1.4e-06,-5e-10,-8.27e-05,101482.8125,38.6860466,0.814737082,21.62120056,-2.454027891,0.409428239,0
Feni ,22.9408784,91.4066646,1/27/1998,3.01e-06,0.0,287.9087219,294.0267029,,3.08e-06,1.9e-06,-0.000117239,101505.7813,45.44235611,0.296201915,24.986166,-2.141024351,0.559906066,0
Feni ,22.9408784,91.4066646,1/28/1998,2.69e-06,0.569030762,289.096283,293.552948,,2.69e-06,-5e-10,-8.12e-05,101649.5078,43.59476089,0.358461887,26.99574852,-2.454395533,0.2258389,0
Feni ,22.9408784,91.4066646,1/29/1998,7.57e-06,4.828186035,289.537262,294.0917358,,7.53e-06,-5e-10,-0.000104508,101616.5859,45.91527939,0.319700271,27.23541832,-1.309857965,0.865396321,0
Feni ,22.9408784,91.4066646,1/30/1998,9.5e-06,10.63026905,289.7147522,293.9236755,,8.6e-06,2.81e-06,-9.78e-05,101632.5078,44.48443604,0.128275707,6.694775105,-1.530649066,1.020130634,0
Feni ,22.9408784,91.4066646,1/31/1998,0.0,0.0,287.8271484,293.0877075,,0.0,-5e-10,-0.000114588,101608.7813,28.57434845,0.011171217,-16.93203545,-1.9873873,0.982420266,0
Feni ,22.9408784,91.4066646,2/1/1998,0.0,0.0,287.9081421,293.5171204,,0.0,-5e-10,-0.000114628,101459.4609,24.93607903,0.115484439,2.739966154,-1.929659963,0.95024997,0
Feni ,22.9408784,91.4066646,2/2/1998,0.0,0.0,288.0579529,293.473938,,0.0,-5e-10,-0.00011235,101383.5,30.41065788,0.000284844,-0.03341623,-1.714619994,1.175185919,0
Feni ,22.9408784,91.4066646,2/3/1998,0.0,0.0,288.1477966,293.7404175,,0.0,-5e-10,-0.00011039,101347.7734,39.44873047,0.053375144,12.32583618,-1.509395719,0.768714011,0
Feni ,22.9408784,91.4066646,2/4/1998,4.95e-06,82.08003998,289.9816895,294.0566101,178.9874725,4.97e-06,-5e-10,-9.97e-05,101365.4141,45.8690033,0.16216512,24.65109825,-1.177884817,0.805633009,0
Feni ,22.9408784,91.4066646,2/5/1998,1.54e-06,18.55025291,285.7257996,292.5761414,99.55897522,1.5e-06,8.49e-07,-0.000109642,101407.0625,30.01355171,0.084971823,-16.76669121,-1.652784705,1.008537412,0
Feni ,22.9408784,91.4066646,2/6/1998,0.0,0.0,282.1191711,291.5977783,,0.0,-5e-10,-0.000119597,101384.0547,26.63708305,0.864533246,-16.42882729,-1.959345222,0.496057242,0
Feni ,22.9408784,91.4066646,2/7/1998,0.0,0.0,284.1705017,290.6324158,,0.0,-5e-10,-4.61e-05,101428.8203,21.59291267,0.77854985,-0.650302351,-0.926867962,0.028773928,0
Feni ,22.9408784,91.4066646,2/8/1998,0.0,0.0,283.759491,291.1613464,,0.0,-5e-10,-0.000109913,101497.9297,32.97277832,0.00873987,1.487838745,-2.079751253,0.529917419,0
Feni ,22.9408784,91.4066646,2/9/1998,0.0,0.0,283.42453,291.7345886,,0.0,-5e-10,-0.000113358,101535.75,33.43936539,0.0,-10.35717773,-2.170320511,0.962869942,0
Feni ,22.9408784,91.4066646,2/10/1998,0.0,0.0,283.7985535,292.5588684,,0.0,-5e-10,-0.000113553,101514.2109,32.33391953,0.0,-11.60001373,-2.242728472,0.417898625,0
Feni ,22.9408784,91.4066646,2/11/1998,0.0,0.0,286.0359192,293.1618347,,0.0,-5e-10,-0.00010669,101348.0313,25.71058846,0.009616021,-18.2643795,-1.25814116,0.771024168,0
Feni ,22.9408784,91.4066646,2/12/1998,0.0,0.0,286.2434387,293.440094,,0.0,-5e-10,-0.000104114,101269.6563,29.84598351,0.000417092,-13.41124344,-0.88211298,0.731067836,0
