District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Gazipur ,24.0958171,90.4125181,1/1/1998,0.0,0.0,285.4070129,290.2905579,,0.0,-5e-10,-8.92e-05,101608.75,15.18139648,0.450112313,-25.97768402,-1.975495935,2.081432343,0
Gazipur ,24.0958171,90.4125181,1/2/1998,0.0,0.0,284.4530945,289.0336609,,0.0,-5e-10,-8.43e-05,101634.6641,2.122549057,0.149937183,-41.80002213,-1.440036416,2.055785894,0
Gazipur ,24.0958171,90.4125181,1/3/1998,0.0,0.0,284.3420105,288.5088806,,0.0,-5e-10,-8.18e-05,101775.3047,11.3828783,0.002235514,-37.59103775,-1.781709194,1.718467355,0
Gazipur ,24.0958171,90.4125181,1/4/1998,0.0,0.0,285.7637634,288.6376648,,0.0,-5e-10,-7.74e-05,101640.3828,17.06937218,0.7820099,-32.9161644,-1.175506592,1.98624742,0
Gazipur ,24.0958171,90.4125181,1/5/1998,1.08e-07,0.492777497,285.7570801,288.4667664,,0.0,-5e-10,-7.71e-05,101489.4766,26.00826836,0.336329311,-21.72202301,-0.232020259,1.537188172,0
Gazipur ,24.0958171,90.4125181,1/6/1998,0.0,3.443684816,284.8580322,287.5735474,,0.0,-5e-10,-6.66e-05,101553.0547,26.83439636,0.268084407,-7.206352234,-1.022366762,1.214372158,0
Gazipur ,24.0958171,90.4125181,1/7/1998,0.0,0.01171875,284.8259277,287.2392273,,0.0,-5e-10,-7.89e-05,101627.5625,17.79998589,0.386344165,-16.37837029,-1.233623147,1.10945487,0
Gazipur ,24.0958171,90.4125181,1/8/1998,0.0,0.005859375,284.571228,287.402771,,0.0,-5e-10,-8.37e-05,101487.625,22.20955086,0.299196571,-8.288452148,-0.963774502,1.853095412,0
Gazipur ,24.0958171,90.4125181,1/9/1998,0.0,0.0,285.0987244,288.2103882,,0.0,-5e-10,-8.44e-05,101321.1641,25.0990963,0.21047093,-9.28557682,-1.211159229,1.602983475,0
Gazipur ,24.0958171,90.4125181,1/10/1998,0.0,0.0,284.6268005,287.9031677,,0.0,-5e-10,-8.67e-05,101379.8125,22.23226738,0.451442391,-25.76739693,-1.364082813,1.346561551,0
Gazipur ,24.0958171,90.4125181,1/11/1998,0.0,0.0,284.5121155,287.7851868,,0.0,-5e-10,-8.06e-05,101255.3672,22.96045685,0.296893686,-20.86244774,-0.533867538,1.872859597,0
Gazipur ,24.0958171,90.4125181,1/12/1998,0.0,0.0,284.6174622,288.0782776,,0.0,-5e-10,-8.44e-05,101012.1484,29.03870964,0.092984319,2.628553152,0.787808895,0.9665277,0
Gazipur ,24.0958171,90.4125181,1/13/1998,4.28e-05,59.14733887,287.2740784,291.3782043,118.9661942,4.28e-05,2.25e-05,-7.04e-05,100933.2891,31.12018776,0.340111107,16.65000534,1.632726193,-0.24080275,0
Gazipur ,24.0958171,90.4125181,1/14/1998,1.72e-06,30.48885155,286.5774231,290.6788025,144.7161865,1.64e-06,5.16e-07,-8.98e-05,101089.7109,26.23309898,0.2578955,-22.73931694,-0.711395502,0.884903908,0
Gazipur ,24.0958171,90.4125181,1/15/1998,0.0,0.0,284.8276672,289.7530823,,0.0,-5e-10,-0.000100025,100971.0391,22.03544807,0.235240892,4.27791357,0.748070002,1.863148689,0
Gazipur ,24.0958171,90.4125181,1/16/1998,1.79e-07,36.07973099,287.7810974,291.8514709,250.8658905,1.92e-07,-5e-10,-8.96e-05,100952.8984,29.13046265,0.168972135,-13.7522049,1.566155911,0.745163739,0
Gazipur ,24.0958171,90.4125181,1/17/1998,4.63e-06,16.88993263,286.9025574,292.3490295,,1.44e-07,1.88e-07,-9.38e-05,101253.0313,40.17934418,0.486701995,-5.222829342,-1.384276509,-0.503491819,0
Gazipur ,24.0958171,90.4125181,1/18/1998,2.93e-05,6.787536621,287.953949,291.6123352,,2.7e-05,1.18e-06,-4.4e-05,101258.8672,43.49098206,0.793418348,16.51623535,-0.44615218,-0.058625106,0
Gazipur ,24.0958171,90.4125181,1/19/1998,0.0,0.0,284.4143982,290.0593262,,0.0,-5e-10,-9.89e-05,101449.5313,31.73316765,0.142123684,-13.31758118,-1.347088814,1.209324241,0
