District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Gopalganj ,26.4831584,84.43655,1/1/1998,1.08e-07,0.0,283.9037781,288.1587219,,0.0,-5e-10,-5.78e-05,101549.9375,28.78710365,0.812764823,-25.33081245,0.315590113,2.432932138,0
Gopalganj ,26.4831584,84.43655,1/2/1998,3.59e-08,0.0,283.497345,288.2835388,,0.0,-5e-10,-6.12e-05,101550.0938,32.66841888,0.123067774,-18.82484245,0.400689393,2.53425622,0
Gopalganj ,26.4831584,84.43655,1/3/1998,3.59e-08,0.0,284.0997009,288.1539612,,0.0,-5e-10,-5.77e-05,101706.4688,35.28670883,0.080654658,-2.607010841,0.262165248,2.519540072,0
Gopalganj ,26.4831584,84.43655,1/4/1998,0.0,0.0,284.8610535,288.1943665,,0.0,-5e-10,-5.62e-05,101562.7266,32.91453171,0.084975638,2.797522783,0.562261283,2.194306612,0
Gopalganj ,26.4831584,84.43655,1/5/1998,0.0,0.0234375,285.2071533,288.3499451,,0.0,-5e-10,-5.46e-05,101340.375,37.84635925,0.63763231,9.529490471,0.351545423,1.912666202,0
Gopalganj ,26.4831584,84.43655,1/6/1998,7.17e-08,0.046915691,285.3937073,288.933136,,5.99e-08,-5e-10,-5.04e-05,101399.8359,32.30665207,0.33145389,10.67466259,0.00096494,0.936239541,0
Gopalganj ,26.4831584,84.43655,1/7/1998,0.0,0.029317221,284.840332,289.2903442,,0.0,-5e-10,-5.61e-05,101535.1563,27.74356842,0.678348482,8.20840168,-0.575292885,0.660032034,0
Gopalganj ,26.4831584,84.43655,1/8/1998,5.74e-07,0.0,284.5284119,288.8963318,,0.0,-5e-10,-6.43e-05,101362.8125,32.15462112,0.314216375,-0.228898168,-0.107463099,1.801481605,0
Gopalganj ,26.4831584,84.43655,1/9/1998,1.08e-06,0.0,284.8627014,288.8584595,,0.0,-5e-10,-5.55e-05,101181.5,35.19975662,0.594660938,-7.476007938,0.024877505,1.918484211,0
Gopalganj ,26.4831584,84.43655,1/10/1998,2.47e-06,0.0,284.4318542,288.1711121,,0.0,4.9e-09,-5.58e-05,101285.5391,31.42004585,0.562720299,-12.32075977,-0.306438893,0.823407948,0
Gopalganj ,26.4831584,84.43655,1/11/1998,2.87e-07,0.0,284.1377563,288.3370361,,0.0,-5e-10,-6.54e-05,101097.7891,33.87432861,0.131713539,-6.612957001,-0.061994683,1.981349111,0
Gopalganj ,26.4831584,84.43655,1/12/1998,3.76e-06,1.894836426,285.0821533,289.3279419,,1.05e-06,4.24e-07,-4.09e-05,100779.5625,39.44076157,0.525663912,12.20671844,-0.503425539,0.478175283,0
Gopalganj ,26.4831584,84.43655,1/13/1998,3.87e-06,0.574869812,285.1885681,289.5298157,,2.71e-06,3.69e-06,-5.67e-05,100684.0703,33.8686409,0.24060142,12.20196056,-0.073777981,0.897031963,0
Gopalganj ,26.4831584,84.43655,1/14/1998,2.44e-06,1.818603516,285.4111328,289.4819641,,1.92e-07,-5e-10,-4.4e-05,100950.6953,28.87044525,0.446855038,-7.240342617,-0.070167325,0.786617339,0
Gopalganj ,26.4831584,84.43655,1/15/1998,2.94e-06,1.272969604,284.9894104,289.4305115,,1.08e-07,1.55e-07,-4.53e-05,100725.1875,36.26031876,0.554930329,4.488955975,-0.055032786,2.084619522,0
Gopalganj ,26.4831584,84.43655,1/16/1998,2.51e-07,0.0,284.1456604,290.3501892,,0.0,-5e-10,-7.05e-05,100663.9063,37.94449615,0.162334248,-14.25843334,0.584552229,2.364891052,0
Gopalganj ,26.4831584,84.43655,1/17/1998,1.79e-07,0.0,284.2039185,289.4741821,,0.0,-5e-10,-6.13e-05,101136.0,35.83718491,0.116764329,-22.85321999,-0.815672398,0.99489063,0
Gopalganj ,26.4831584,84.43655,1/18/1998,3.59e-08,0.0,283.116272,289.4516296,,0.0,-5e-10,-7.06e-05,101152.5,33.48836136,0.116391115,-18.29776573,-0.321767986,1.885415554,0
Gopalganj ,26.4831584,84.43655,1/19/1998,0.0,0.0,282.9143982,288.7876892,,0.0,-5e-10,-6.07e-05,101316.7891,37.88342667,0.193289399,-16.63103294,0.126235589,2.044941187,0
Gopalganj ,26.4831584,84.43655,1/20/1998,0.0,0.0,283.0293274,289.1500549,,0.0,-5e-10,-6.09e-05,101398.0078,37.5267067,0.038630027,-12.81784821,-0.655484259,0.042998198,0
Gopalganj ,26.4831584,84.43655,1/21/1998,0.0,0.0,283.177063,290.2616272,,0.0,-5e-10,-6.14e-05,101168.3516,35.26592636,0.113709249,-7.357495785,-0.896836698,0.711218059,0
Gopalganj ,26.4831584,84.43655,1/22/1998,0.0,0.0,283.1839905,288.6760254,,0.0,-5e-10,-5.01e-05,101414.7891,33.07977676,0.408422738,-1.967539787,-0.739978135,0.551371455,0
Gopalganj ,26.4831584,84.43655,1/23/1998,0.0,0.0,282.8503418,289.1091614,,0.0,-5e-10,-5.91e-05,101391.2578,33.66330719,0.294287473,-18.69824791,-0.438001156,1.869736671,0
Gopalganj ,26.4831584,84.43655,1/24/1998,3.59e-08,0.0234375,283.8094482,289.3670349,,0.0,-5e-10,-5.75e-05,101532.7734,34.34645844,0.519040644,-15.71427536,-0.223739505,1.916345239,0
