District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Habiganj ,24.4771236,91.4506565,1/1/1998,0.0,0.0,285.5140991,290.2757263,,0.0,-5e-10,-8.17e-05,101320.8125,24.26589012,0.451366752,-23.94604683,-0.818072319,1.683815837,0
Habiganj ,24.4771236,91.4506565,1/2/1998,0.0,0.0,285.3499451,289.2972412,,0.0,-5e-10,-7.44e-05,101349.1172,14.03650665,0.199242488,-30.67348289,-0.316103369,1.707772613,0
Habiganj ,24.4771236,91.4506565,1/3/1998,0.0,0.0,285.1862183,288.7627869,,0.0,-5e-10,-7.36e-05,101496.6172,25.46323967,0.028299993,-16.58986473,-1.07399714,1.168276906,0
Habiganj ,24.4771236,91.4506565,1/4/1998,0.0,0.0,285.9328308,289.0458069,,0.0,-5e-10,-7.41e-05,101363.8984,19.50871086,0.867252648,-25.55643272,-0.49916625,1.513595223,0
Habiganj ,24.4771236,91.4506565,1/5/1998,0.0,0.258097321,285.7409973,288.7398071,,0.0,-5e-10,-7.14e-05,101241.2188,24.28271675,0.29909423,-23.94023132,0.234015033,0.810552657,0
Habiganj ,24.4771236,91.4506565,1/6/1998,3.59e-08,3.566874266,285.1518555,288.0588074,,2.39e-08,-5e-10,-6.64e-05,101304.5547,32.6163559,0.35574317,1.808027387,-0.494193465,0.081927799,0
Habiganj ,24.4771236,91.4506565,1/7/1998,0.0,0.06451416,284.6695251,287.5291443,,0.0,-5e-10,-7.47e-05,101371.1563,22.05672646,0.47528854,-4.277218819,-0.778722525,0.646428108,0
Habiganj ,24.4771236,91.4506565,1/8/1998,0.0,0.023457846,284.8820496,287.991333,,0.0,-5e-10,-7.71e-05,101233.0859,24.78305626,0.434889048,-4.264075756,-0.171547011,0.372680426,0
Habiganj ,24.4771236,91.4506565,1/9/1998,3.59e-08,0.06451416,285.0647278,288.3490295,,0.0,-5e-10,-7.66e-05,101062.3516,27.22323608,0.332814515,-6.236721516,-0.213707492,1.424741626,0
Habiganj ,24.4771236,91.4506565,1/10/1998,0.0,0.0,285.2346802,288.4126282,,0.0,-5e-10,-7.88e-05,101119.1016,25.38341331,0.540896058,-21.3050766,-0.959861219,0.955704391,0
Habiganj ,24.4771236,91.4506565,1/11/1998,0.0,0.0,285.1237488,287.9336243,,0.0,-5e-10,-7.45e-05,100995.0859,24.02017403,0.345852464,-18.94207001,0.151294038,1.448719621,0
