District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Jamalpur ,25.0830926,89.7853218,1/1/1998,3.59e-08,0.0,285.5193787,289.2186279,,0.0,-5e-10,-8.6e-05,101551.75,20.04260445,0.507043541,-27.69638634,-1.704285264,2.157045603,0
Jamalpur ,25.0830926,89.7853218,1/2/1998,0.0,0.0,284.7564392,288.460968,,0.0,-5e-10,-8.25e-05,101557.0313,13.84384441,0.243748069,-33.06753159,-1.374179721,2.153751612,0
Jamalpur ,25.0830926,89.7853218,1/3/1998,0.0,0.0,284.921051,288.367157,,0.0,-5e-10,-7.95e-05,101709.625,22.72241211,0.004427794,-20.3809185,-1.855090022,1.81279695,0
Jamalpur ,25.0830926,89.7853218,1/4/1998,0.0,0.0,285.8756104,288.3279114,,0.0,-5e-10,-7.42e-05,101558.5078,26.63757515,0.742016077,-16.33931923,-1.621975064,2.100533485,0
Jamalpur ,25.0830926,89.7853218,1/5/1998,0.0,0.0,285.7356873,288.1634216,,0.0,-5e-10,-7.03e-05,101384.9688,30.37517357,0.321275801,-14.42226696,-0.641733468,1.70233953,0
Jamalpur ,25.0830926,89.7853218,1/6/1998,3.59e-07,2.575398684,285.364624,287.9351501,,3.47e-07,-5e-10,-6.23e-05,101458.5,30.01464272,0.294534832,2.354364872,-0.319216728,1.008537412,0
Jamalpur ,25.0830926,89.7853218,1/7/1998,3.59e-08,0.228780106,285.5079651,287.6842957,,4.79e-08,-5e-10,-7.44e-05,101545.625,22.37346077,0.581612825,-2.005004883,-1.435842037,0.915149152,0
Jamalpur ,25.0830926,89.7853218,1/8/1998,0.0,0.0,285.2542114,288.1002808,,0.0,-5e-10,-8.03e-05,101391.5938,24.26470184,0.190814808,-7.552373409,-1.216348171,1.718959451,0
Jamalpur ,25.0830926,89.7853218,1/9/1998,0.0,0.0,285.4204102,288.4164124,,0.0,-5e-10,-8.14e-05,101224.8438,29.48708344,0.294273496,-5.282425404,-0.934521675,1.878805995,0
Jamalpur ,25.0830926,89.7853218,1/10/1998,0.0,0.0,284.9699707,287.7580872,,0.0,-5e-10,-7.82e-05,101301.7422,25.43463326,0.580575168,-20.70722389,-1.376276851,1.490216136,0
Jamalpur ,25.0830926,89.7853218,1/11/1998,0.0,0.0,284.8414612,287.8764648,,0.0,-5e-10,-8.09e-05,101145.2422,26.88150978,0.281975001,-14.99111271,-0.804948509,1.867469311,0
Jamalpur ,25.0830926,89.7853218,1/12/1998,2.51e-07,1.325805664,284.9661865,288.0203552,,2.63e-07,1.18e-07,-6.82e-05,100881.7188,33.55378723,0.231869817,7.691295624,0.833990872,0.767045677,0
Jamalpur ,25.0830926,89.7853218,1/13/1998,3.15e-05,29.29783058,286.4572449,289.8902283,,3.15e-05,9.21e-06,-6.53e-05,100810.3047,32.18188858,0.354408592,15.29764557,1.034523368,-1.060398698,0
Jamalpur ,25.0830926,89.7853218,1/14/1998,5.92e-06,8.946472168,286.184906,289.8538208,112.5674744,5.95e-06,1.34e-06,-8.34e-05,100991.0234,25.66070366,0.245703176,-16.78255272,-0.058751553,0.767002821,0
Jamalpur ,25.0830926,89.7853218,1/15/1998,0.0,0.0,285.2875061,289.0655518,,0.0,-5e-10,-9.26e-05,100831.5391,28.02442169,0.306463927,8.685700417,0.85543865,1.768476963,0
Jamalpur ,25.0830926,89.7853218,1/16/1998,0.0,0.0,285.5509033,290.375061,,0.0,-5e-10,-9.64e-05,100827.3672,28.96937561,0.057766065,-17.55828857,1.442636609,0.640011132,0
Jamalpur ,25.0830926,89.7853218,1/17/1998,0.0,3.942301512,286.5151062,291.3852234,,0.0,-5e-10,-7.89e-05,101175.3203,40.31063843,0.480457068,-13.92865086,-0.557650387,-0.094795406,0
Jamalpur ,25.0830926,89.7853218,1/18/1998,5.02e-07,6.036682129,286.5028992,290.6951904,,5.15e-07,3.38e-07,-6.99e-05,101185.8047,42.35940552,0.444740295,-4.367028713,-1.647292972,0.514923096,0
Jamalpur ,25.0830926,89.7853218,1/19/1998,0.0,0.0,283.499054,288.89151,,0.0,-5e-10,-9.75e-05,101370.9609,24.51675224,0.023707524,-30.01467705,-1.525460124,1.415137649,0
Jamalpur ,25.0830926,89.7853218,1/20/1998,2.48e-05,0.0,284.6086731,289.8767395,,2.48e-05,2.09e-07,-9.45e-05,101422.9922,15.09008884,0.335111052,-35.00226212,-0.766485214,1.431436658,0
Jamalpur ,25.0830926,89.7853218,1/21/1998,4.33e-05,0.134887695,284.6319885,287.1377563,,4.33e-05,2.13e-06,-6.88e-05,101291.1641,29.78322792,0.537248433,-1.507613301,1.542978406,-0.112121202,0
Jamalpur ,25.0830926,89.7853218,1/22/1998,3.59e-07,4.681518555,285.1436157,287.7077942,,1.2e-08,-5e-10,-6.26e-05,101479.4063,25.709795,0.402280122,-22.1484127,-0.934154093,0.701015055,0
Jamalpur ,25.0830926,89.7853218,1/23/1998,0.0,0.0,285.0316772,289.0071106,,0.0,-5e-10,-9.11e-05,101390.25,24.93543434,0.348870665,-30.0898304,-1.834117889,1.293835521,0
Jamalpur ,25.0830926,89.7853218,1/24/1998,0.0,0.0,285.7373962,290.040863,,0.0,-5e-10,-9.56e-05,101533.3125,26.40957832,0.506796837,-20.80874252,-1.669670463,1.630490899,0
Jamalpur ,25.0830926,89.7853218,1/25/1998,4.84e-06,0.0,285.1126709,290.7662659,,4.85e-06,-5e-10,-9.67e-05,101607.2891,20.01657295,0.492446542,-28.85349274,-1.472575665,1.842143655,0
Jamalpur ,25.0830926,89.7853218,1/26/1998,0.0,0.0,285.9726257,291.7956238,,0.0,-5e-10,-9.06e-05,101530.0391,31.99164772,0.203467473,3.554751396,-0.265294582,0.855236113,0
