District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Jessore ,23.1634014,89.2181664,1/1/1998,0.0,0.087931313,285.1193542,290.2395935,,0.0,-5e-10,-8e-05,101699.1328,11.92607594,0.465348244,-17.21468353,-2.74895668,1.051766276,0
Jessore ,23.1634014,89.2181664,1/2/1998,0.0,0.0,282.9781189,288.2124939,,0.0,-5e-10,-8.25e-05,101735.75,3.188652039,0.042797137,-31.92364693,-2.173109531,1.579775453,0
Jessore ,23.1634014,89.2181664,1/3/1998,0.0,0.0,283.1212463,287.5549316,,0.0,-5e-10,-7.81e-05,101878.75,10.24308586,0.047110487,-42.57152176,-2.259116888,1.371758938,0
Jessore ,23.1634014,89.2181664,1/4/1998,0.0,0.0,284.4183044,287.9618835,,0.0,-5e-10,-7.74e-05,101751.0703,21.15557289,0.775424898,-31.97153473,-2.052206278,1.875062823,0
Jessore ,23.1634014,89.2181664,1/5/1998,0.0,0.0,284.7998047,287.8427124,,0.0,-5e-10,-7.46e-05,101564.7813,25.11522865,0.210149214,-22.96115875,-1.118492723,1.591240406,0
Jessore ,23.1634014,89.2181664,1/6/1998,0.0,0.0,284.2409058,287.1687317,,0.0,-5e-10,-7.79e-05,101601.6172,16.06527901,0.020110734,-20.30840492,-1.589825034,0.836306036,0
Jessore ,23.1634014,89.2181664,1/7/1998,0.0,0.0,284.233551,287.1105652,,0.0,-5e-10,-7.98e-05,101691.0625,17.79345322,0.251447111,-17.03604507,-1.898526073,0.650556326,0
Jessore ,23.1634014,89.2181664,1/8/1998,0.0,0.0,284.0574646,287.1126404,,0.0,-5e-10,-8.08e-05,101559.1797,18.49481964,0.318226427,-12.53263187,-1.990284562,1.208297491,0
Jessore ,23.1634014,89.2181664,1/9/1998,0.0,0.0,283.7919006,287.5940857,,0.0,-5e-10,-8.55e-05,101391.8359,18.7911129,0.243274376,-12.82585526,-1.881337643,1.385084748,0
Jessore ,23.1634014,89.2181664,1/10/1998,0.0,0.0,283.4968872,287.4234314,,0.0,-5e-10,-8.51e-05,101452.4688,21.69491005,0.364061475,-26.55838966,-2.125478983,0.877096593,0
Jessore ,23.1634014,89.2181664,1/11/1998,0.0,0.0,283.6377869,287.2579956,,0.0,-5e-10,-7.68e-05,101331.1797,14.53353024,0.36635232,-30.49967957,-1.439733863,1.593978405,0
Jessore ,23.1634014,89.2181664,1/12/1998,0.0,0.0,283.8919678,288.2902527,,0.0,-5e-10,-8.78e-05,101052.6172,24.93642426,0.003526215,-1.10320425,0.470956802,1.476997018,0
Jessore ,23.1634014,89.2181664,1/13/1998,6.45e-07,46.23486328,287.8694763,291.6260986,533.4328613,6.59e-07,-5e-10,-6.52e-05,100938.6641,30.36057281,0.218949482,14.90396214,1.223077893,1.081647992,0
Jessore ,23.1634014,89.2181664,1/14/1998,0.0,4.628723145,285.9310913,290.9787292,,0.0,-5e-10,-9.08e-05,101139.5,25.43379402,0.446158797,-23.09387207,-1.745797157,1.08042872,0
Jessore ,23.1634014,89.2181664,1/15/1998,0.0,0.0,284.962616,290.2516174,,0.0,-5e-10,-9.41e-05,101030.1172,20.32533836,0.323749751,1.046191335,0.305385113,1.937799335,0
Jessore ,23.1634014,89.2181664,1/16/1998,0.0,3.901204348,288.4963074,292.4851685,278.9390869,0.0,-5e-10,-8.48e-05,100966.0078,32.72384644,0.127720639,-16.73247337,-0.210637331,0.371503979,0
Jessore ,23.1634014,89.2181664,1/17/1998,0.000193432,7.286336422,286.6429749,293.2248535,,0.000119597,0.000113183,-0.000106057,101264.3203,41.49393082,0.421069652,11.87346268,-1.779157996,-1.25329268,0
Jessore ,23.1634014,89.2181664,1/18/1998,7.35e-05,4.564168453,287.9533997,290.8061523,,3.21e-05,1.5e-07,-3.5e-05,101297.1328,42.61595917,0.799152076,26.84346962,-1.283631921,-0.272074729,0
