District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Jhalokati ,22.57208,90.1869644,1/1/1998,0.0,0.0,286.0478821,291.6900024,,0.0,-5e-10,-9.26e-05,101658.375,12.39682007,0.38426888,-15.37263489,-3.203511477,1.027938008,0
Jhalokati ,22.57208,90.1869644,1/2/1998,0.0,0.0,283.7968445,289.6951904,,0.0,-5e-10,-9.3e-05,101702.0703,2.724192858,0.002929822,-23.93328094,-2.608227253,1.37139523,0
Jhalokati ,22.57208,90.1869644,1/3/1998,0.0,0.0,283.7007751,288.82724,,0.0,-5e-10,-8.65e-05,101844.6797,7.005877018,0.008671203,-46.84818649,-2.63183713,1.257408619,0
Jhalokati ,22.57208,90.1869644,1/4/1998,0.0,0.0,285.2284241,288.8736267,,0.0,-5e-10,-7.81e-05,101728.5078,16.94277763,0.652114809,-38.16396332,-2.375371695,1.569166184,0
Jhalokati ,22.57208,90.1869644,1/5/1998,0.0,0.0,285.3833008,288.5549011,,0.0,-5e-10,-6.92e-05,101577.4141,20.10921669,0.451167733,-32.82876968,-1.08991003,1.474301934,0
Jhalokati ,22.57208,90.1869644,1/6/1998,0.0,0.0,285.3559875,288.6081848,,0.0,-5e-10,-7.86e-05,101609.1328,16.55007935,0.069295235,-22.24041557,-1.969334006,0.272575766,0
Jhalokati ,22.57208,90.1869644,1/7/1998,0.0,0.0,284.9866638,288.3013611,,0.0,-5e-10,-8.4e-05,101682.9688,18.81219482,0.164157748,-16.73360634,-2.200157166,0.515308142,0
Jhalokati ,22.57208,90.1869644,1/8/1998,0.0,0.0,284.7809143,288.1250305,,0.0,-5e-10,-8.48e-05,101560.6563,16.03761482,0.326901466,-15.31054688,-2.112636328,1.123892903,0
Jhalokati ,22.57208,90.1869644,1/9/1998,0.0,0.0,284.8894348,288.821228,,0.0,-5e-10,-9.05e-05,101391.0703,16.26016998,0.077310287,-15.21930218,-2.238144875,1.020772338,0
Jhalokati ,22.57208,90.1869644,1/10/1998,0.0,0.0,284.407196,288.6694641,,0.0,-5e-10,-9.34e-05,101439.0,20.26481056,0.423978478,-28.22829628,-2.325514317,0.771152496,0
