District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Joypurhat ,25.0947349,89.0944937,1/1/1998,3.59e-08,0.0,283.4198914,288.8652954,,0.0,-5e-10,-7.93e-05,101635.2578,15.96590424,0.63103193,-30.93082619,-1.250033259,2.066288233,0
Joypurhat ,25.0947349,89.0944937,1/2/1998,0.0,0.0,283.0682068,287.9727173,,0.0,-5e-10,-7.41e-05,101640.7422,13.98830414,0.219071567,-33.4054718,-1.056549192,2.250112772,0
Joypurhat ,25.0947349,89.0944937,1/3/1998,0.0,0.0,283.8192749,287.9425659,,0.0,-5e-10,-7.23e-05,101790.6328,22.46120453,0.001007126,-23.50198364,-1.555166841,1.874292731,0
Joypurhat ,25.0947349,89.0944937,1/4/1998,0.0,0.0,284.6808167,287.9433289,,0.0,-5e-10,-7.05e-05,101646.5391,28.79413033,0.703294516,-16.07797241,-1.359888434,2.01358366,0
Joypurhat ,25.0947349,89.0944937,1/5/1998,0.0,0.0,284.9672546,288.0281982,,0.0,-5e-10,-6.86e-05,101448.1953,30.86833763,0.32506904,-13.25058365,-0.642014563,1.800861359,0
Joypurhat ,25.0947349,89.0944937,1/6/1998,0.0,1.102844238,284.2895203,287.6661682,,0.0,-5e-10,-6.15e-05,101510.6641,29.06192017,0.209592879,1.926389217,-0.56340152,0.751217127,0
Joypurhat ,25.0947349,89.0944937,1/7/1998,0.0,0.0,284.3870239,287.301178,,0.0,-5e-10,-6.94e-05,101616.6875,20.99082375,0.438134223,-6.380689621,-1.303523064,0.841118813,0
Joypurhat ,25.0947349,89.0944937,1/8/1998,0.0,0.0,284.7485962,287.7370605,,0.0,-5e-10,-7.35e-05,101459.1484,26.24433327,0.203400075,-6.498598099,-0.953266859,1.71566534,0
Joypurhat ,25.0947349,89.0944937,1/9/1998,0.0,0.0,284.5667419,288.2930603,,0.0,-5e-10,-7.57e-05,101289.0,28.79942894,0.283497125,-6.561441898,-0.768150032,1.782872319,0
Joypurhat ,25.0947349,89.0944937,1/10/1998,0.0,0.0,283.9408569,287.3841553,,0.0,-5e-10,-7.24e-05,101370.3047,25.65812874,0.576916039,-20.74370766,-1.365228653,1.48482573,0
Joypurhat ,25.0947349,89.0944937,1/11/1998,0.0,0.0,284.1853943,287.6607361,,0.0,-5e-10,-7.21e-05,101209.0078,28.74177361,0.300480932,-13.0142374,-0.690726101,1.739172936,0
Joypurhat ,25.0947349,89.0944937,1/12/1998,0.0,0.516215026,283.8635559,287.8473206,,0.0,-5e-10,-7.24e-05,100918.8984,32.51118851,0.152240738,7.491508007,0.514803708,1.619774699,0
Joypurhat ,25.0947349,89.0944937,1/13/1998,2.04e-05,41.03706741,286.0701599,290.021759,57.14588928,2.04e-05,1.4e-06,-6.66e-05,100829.1016,32.3499527,0.260672122,12.03638935,0.640355408,-0.082774289,0
Joypurhat ,25.0947349,89.0944937,1/14/1998,8.96e-07,8.811645508,284.4901733,289.2720032,48.68209839,8.98e-07,-5e-10,-8.02e-05,101048.625,23.49697113,0.113692723,-23.83312416,-0.578298152,1.524974704,0
Joypurhat ,25.0947349,89.0944937,1/15/1998,0.0,0.0,284.5143127,288.8547058,,0.0,-5e-10,-7.9e-05,100877.8984,28.41053772,0.283025354,8.737668037,0.50464195,2.223011971,0
Joypurhat ,25.0947349,89.0944937,1/16/1998,0.0,0.0,284.3166809,290.2335205,,0.0,-5e-10,-9.08e-05,100853.5234,28.84124565,0.035464957,-21.9618454,0.50280422,1.93944633,0
Joypurhat ,25.0947349,89.0944937,1/17/1998,0.0,3.12097168,284.8344421,290.7250061,,0.0,-5e-10,-8.38e-05,101221.2578,41.67694473,0.383738607,-10.29682636,-1.207310677,0.420101762,0
Joypurhat ,25.0947349,89.0944937,1/18/1998,0.0,2.158813477,285.3128052,290.2157898,,0.0,-5e-10,-6.34e-05,101244.5234,39.96975327,0.299855292,-9.617245674,-1.614321232,0.603691161,0
Joypurhat ,25.0947349,89.0944937,1/19/1998,0.0,0.0,281.5040588,287.8659363,,0.0,-5e-10,-8.7e-05,101434.0234,18.44646835,0.003573262,-36.51883316,-1.14768064,1.844731927,0
Joypurhat ,25.0947349,89.0944937,1/20/1998,1.69e-05,0.0,282.4876404,289.5088806,,1.69e-05,8.01e-07,-8.38e-05,101483.2266,16.61530685,0.338616282,-33.92084122,-1.128892303,0.845845938,0
Joypurhat ,25.0947349,89.0944937,1/21/1998,5.06e-06,1.531188965,283.9295959,287.2314453,,5.05e-06,1.5e-07,-5.38e-05,101325.3984,30.99018097,0.394528955,-2.107655525,1.459998131,0.319098741,0
Joypurhat ,25.0947349,89.0944937,1/22/1998,3.59e-08,7.180704594,283.993866,287.9779053,,0.0,-5e-10,-5.74e-05,101532.4063,26.66331291,0.471460313,-23.51089478,-0.546904862,-0.123628967,0
Joypurhat ,25.0947349,89.0944937,1/23/1998,0.0,0.0,283.7431946,288.9415283,,0.0,-5e-10,-8.15e-05,101465.4766,29.61095619,0.389484435,-24.9158268,-1.520465732,1.166565776,0
Joypurhat ,25.0947349,89.0944937,1/24/1998,0.0,0.0,284.0394897,289.6300049,,0.0,-5e-10,-8.59e-05,101612.4922,24.84971809,0.451333046,-22.05475044,-1.470608234,1.538450241,0
Joypurhat ,25.0947349,89.0944937,1/25/1998,3.59e-06,0.0,283.433197,290.1148987,,3.57e-06,8.13e-06,-8.83e-05,101672.8672,19.77733994,0.494477361,-27.70854759,-1.233904243,1.633677959,0
Joypurhat ,25.0947349,89.0944937,1/26/1998,4.84e-06,0.0,284.5699158,291.6250916,,4.75e-06,-5e-10,-9.14e-05,101576.8516,34.09584427,0.193064317,7.565908909,-0.159028605,0.634321392,0
Joypurhat ,25.0947349,89.0944937,1/27/1998,0.0,0.786112487,285.8649597,292.7484436,,0.0,-5e-10,-8.35e-05,101632.875,36.1067543,0.474421889,13.58989716,-1.462976098,-0.756705225,0
Joypurhat ,25.0947349,89.0944937,1/28/1998,5.59e-06,3.261800051,286.8016052,291.0541687,,1.1e-06,-5e-10,-5.57e-05,101784.5859,45.59305191,0.360404283,27.98615074,-0.866308212,-1.116932273,0
Joypurhat ,25.0947349,89.0944937,1/29/1998,9.11e-05,116.3646469,288.1795654,292.3103943,28.81862259,8.99e-05,1.69e-05,-8.16e-05,101712.0938,49.554142,0.346261948,29.28095245,-0.324189514,0.8792997,0
Joypurhat ,25.0947349,89.0944937,1/30/1998,1.2e-05,22.36358643,288.5176086,292.5509338,77.94424438,1.18e-05,8.97e-07,-7.65e-05,101671.8984,40.50275803,0.192390978,2.404670477,-0.304687589,2.059571981,0
Joypurhat ,25.0947349,89.0944937,1/31/1998,2.15e-07,0.281595856,287.4898987,292.1240234,,2.04e-07,-5e-10,-8.4e-05,101681.875,37.15196991,0.113400877,-1.620158792,-0.589540958,1.77750349,0
