District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Khagrachari ,23.1321751,91.949021,1/1/1998,0.0,0.0,286.677002,291.1073914,,0.0,-5e-10,-9.94e-05,100547.3125,23.7396698,0.489392132,-7.295255661,-2.553742886,0.92622906,0
Khagrachari ,23.1321751,91.949021,1/2/1998,0.0,0.0,285.7367859,289.7243042,,0.0,-5e-10,-9.19e-05,100600.5625,1.608847737,0.026495555,-35.96237564,-1.882483482,0.909566402,0
Khagrachari ,23.1321751,91.949021,1/3/1998,0.0,0.0,285.1668396,288.8162537,,0.0,-5e-10,-9.16e-05,100732.1016,8.157299995,0.005970275,-44.17533875,-2.125695229,0.72773099,0
Khagrachari ,23.1321751,91.949021,1/4/1998,0.0,0.005859375,285.8558044,288.5336609,,0.0,-5e-10,-8.5e-05,100628.4922,9.264678001,0.722738922,-41.82215118,-1.248714447,0.515393674,0
Khagrachari ,23.1321751,91.949021,1/5/1998,3.59e-08,0.041035969,285.6677551,287.9598999,,0.0,-5e-10,-7.64e-05,100523.7578,16.63881493,0.66495949,-37.68114853,-0.270310611,-0.046710949,0
Khagrachari ,23.1321751,91.949021,1/6/1998,7.17e-08,0.058634441,285.2860413,287.6876526,,0.0,-5e-10,-8.05e-05,100562.6875,19.29907417,0.133346945,-19.3289547,-1.015145421,0.154353917,0
Khagrachari ,23.1321751,91.949021,1/7/1998,0.0,0.005859375,284.9895935,287.6690979,,0.0,-5e-10,-9.06e-05,100606.1797,18.2440052,0.112390578,-18.58350945,-1.683464527,0.351076603,0
Khagrachari ,23.1321751,91.949021,1/8/1998,0.0,0.01171875,284.5339661,287.5046997,,0.0,-5e-10,-9.01e-05,100492.9688,17.9070816,0.327759802,-12.16432858,-1.413940311,0.424422532,0
Khagrachari ,23.1321751,91.949021,1/9/1998,0.0,0.0,285.0584412,288.4430237,,0.0,-5e-10,-9.31e-05,100321.5625,21.17922974,0.143496409,-9.348420143,-1.73284626,0.514217258,0
Khagrachari ,23.1321751,91.949021,1/10/1998,0.0,0.0,285.3535767,288.8936462,,0.0,-5e-10,-9.79e-05,100356.5625,18.49120522,0.420749873,-29.07057762,-2.054260492,0.559114635,0
