District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Khulna ,22.6737735,89.3966581,1/1/1998,0.0,0.0,286.1259766,291.2086487,,0.0,-5e-10,-0.000102097,101728.6641,13.26422215,0.25230673,-14.574543,-3.052209139,0.79012531,0
Khulna ,22.6737735,89.3966581,1/2/1998,0.0,0.0,283.6467285,289.1923218,,0.0,-5e-10,-0.000108378,101771.9375,3.779655695,0.011983149,-25.05397987,-2.526262999,1.370967507,0
Khulna ,22.6737735,89.3966581,1/3/1998,0.0,0.0,283.5874939,288.2862854,,0.0,-5e-10,-0.000100076,101916.6484,8.455721855,0.037033502,-45.25615311,-2.540792227,1.186501145,0
Khulna ,22.6737735,89.3966581,1/4/1998,0.0,0.0,285.0455627,288.7258911,,0.0,-5e-10,-9e-05,101792.9922,18.63146019,0.710431516,-36.78773499,-2.33208704,1.704307437,0
Khulna ,22.6737735,89.3966581,1/5/1998,0.0,0.0,285.1002502,288.2581482,,0.0,-5e-10,-7.5e-05,101620.3984,22.59839058,0.317206591,-27.87819672,-1.138124347,1.680971026,0
Khulna ,22.6737735,89.3966581,1/6/1998,0.0,0.0,284.9023743,288.1711731,,0.0,-5e-10,-8.18e-05,101649.9375,15.32343197,0.014164618,-22.47426605,-1.685972571,0.704672754,0
Khulna ,22.6737735,89.3966581,1/7/1998,0.0,0.0,284.842804,287.9189148,,0.0,-5e-10,-8.62e-05,101734.0234,18.05733299,0.194370911,-16.86005211,-2.038585424,0.475822419,0
Khulna ,22.6737735,89.3966581,1/8/1998,0.0,0.0,284.6007996,287.8789978,,0.0,-5e-10,-8.87e-05,101607.7813,17.37239647,0.304006517,-13.892169,-2.027018309,1.067252517,0
Khulna ,22.6737735,89.3966581,1/9/1998,0.0,0.0,284.3540649,288.4919434,,0.0,-5e-10,-9.59e-05,101438.8047,17.67695427,0.154197112,-13.8370285,-2.057352066,1.049991012,0
Khulna ,22.6737735,89.3966581,1/10/1998,0.0,0.0,284.0762024,288.2361145,,0.0,-5e-10,-9.72e-05,101494.6953,21.50769043,0.409948021,-26.99981117,-2.174406767,0.691346824,0
