District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Kishoreganj ,24.4260457,90.9820668,1/1/1998,0.0,0.0,285.6408997,291.0134277,,0.0,-5e-10,-8.34e-05,101728.0391,23.82588005,0.39277792,-23.96266365,-1.329359889,2.326389313,0
Kishoreganj ,24.4260457,90.9820668,1/2/1998,0.0,0.0,285.1159973,289.9582214,,0.0,-5e-10,-7.74e-05,101754.2422,13.25724506,0.188700095,-31.67785835,-0.683721006,2.079485893,0
Kishoreganj ,24.4260457,90.9820668,1/3/1998,0.0,0.0,285.0854492,289.2354431,,0.0,-5e-10,-7.48e-05,101901.3828,19.6814785,0.000909211,-23.52902412,-1.050149441,1.656436801,0
Kishoreganj ,24.4260457,90.9820668,1/4/1998,0.0,0.0234375,286.1790466,289.2640686,,0.0,-5e-10,-7.24e-05,101764.5078,21.58999062,0.897620916,-24.03004265,-0.484377652,1.814871669,0
Kishoreganj ,24.4260457,90.9820668,1/5/1998,0.0,1.355143189,285.6743774,288.5332336,,0.0,-5e-10,-6.9e-05,101631.7891,26.1168499,0.357451588,-21.5237484,0.189692497,1.2681036,0
Kishoreganj ,24.4260457,90.9820668,1/6/1998,8.61e-07,8.512431145,285.4360352,288.2524109,,8.26e-07,2.25e-07,-5.86e-05,101700.8516,31.53505898,0.477769464,1.250208736,-0.71749258,0.922528684,0
Kishoreganj ,24.4260457,90.9820668,1/7/1998,8.61e-07,0.082112633,284.5696716,287.4080505,,0.0,-5e-10,-7.1e-05,101771.5703,21.10702324,0.547221124,-5.932546616,-0.709384859,1.146673203,0
Kishoreganj ,24.4260457,90.9820668,1/8/1998,0.0,0.076253258,284.9674377,287.6001282,,0.0,-5e-10,-7.36e-05,101627.7578,22.55706787,0.480569601,-7.134820938,-0.435125589,1.57752955,0
Kishoreganj ,24.4260457,90.9820668,1/9/1998,1.08e-07,0.046915691,285.3039246,288.487854,,0.0,-5e-10,-7.33e-05,101459.375,27.58970642,0.337708354,-6.283326626,-0.693039477,1.550685287,0
Kishoreganj ,24.4260457,90.9820668,1/10/1998,0.0,0.0,284.9485474,288.3919983,,0.0,-5e-10,-7.96e-05,101517.0625,24.58376122,0.537905872,-22.15883636,-0.951320946,1.39246428,0
Kishoreganj ,24.4260457,90.9820668,1/11/1998,0.0,0.0,284.9658508,288.1208801,,0.0,-5e-10,-7.41e-05,101388.9922,25.18495941,0.326135963,-17.7169838,-0.010450813,1.659538388,0
Kishoreganj ,24.4260457,90.9820668,1/12/1998,0.0,0.029317221,284.8778992,288.793335,,0.0,-5e-10,-7.54e-05,101163.9609,33.18276596,0.244326651,5.85544157,0.051579136,0.581467032,0
Kishoreganj ,24.4260457,90.9820668,1/13/1998,5.5e-05,40.33306885,286.6545715,291.1839294,34.54693604,5.5e-05,1.99e-05,-7.49e-05,101112.7734,31.84575462,0.411196142,17.77002525,0.61250788,-0.702845514,0
Kishoreganj ,24.4260457,90.9820668,1/14/1998,6.56e-06,21.42486572,287.1761169,291.0153503,,6.53e-06,3.92e-07,-8e-05,101249.0078,27.40218925,0.379695445,-13.11530209,-0.186422095,-0.643424451,0
Kishoreganj ,24.4260457,90.9820668,1/15/1998,0.0,0.023457846,285.1239319,290.1384583,,0.0,-5e-10,-8.95e-05,101112.8047,26.1242733,0.397077292,8.554574013,0.788630486,1.525316834,0
Kishoreganj ,24.4260457,90.9820668,1/16/1998,0.0,33.27549362,286.6035156,291.4750366,215.7810669,0.0,-5e-10,-8.46e-05,101125.8438,29.58977509,0.140349776,-9.374630928,0.759615481,-0.663958728,0
Kishoreganj ,24.4260457,90.9820668,1/17/1998,2.15e-07,18.12776756,287.4397888,292.1408997,,2.16e-07,-5e-10,-7.75e-05,101420.7734,38.87559128,0.470415682,-14.01000214,-0.742421329,-0.697797477,0
Kishoreganj ,24.4260457,90.9820668,1/18/1998,4.89e-05,6.435567379,287.7198181,292.3349915,,4.08e-05,3.27e-07,-5.18e-05,101404.0938,42.96357346,0.852370799,12.37024975,0.228696331,0.22532554,0
Kishoreganj ,24.4260457,90.9820668,1/19/1998,0.0,0.01171875,283.627533,290.4355469,,0.0,-5e-10,-0.000102953,101592.75,32.35905838,0.07460618,-19.06028175,-1.259827495,1.302755237,0
Kishoreganj ,24.4260457,90.9820668,1/20/1998,3.08e-05,0.01171875,283.5012512,291.193634,,2.36e-05,2.91e-06,-9.92e-05,101673.75,13.95598698,0.404687971,-25.4052124,-0.431514889,0.661871612,0
