District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Kurigram ,25.8072414,89.6294746,1/1/1998,7.17e-08,0.580749512,285.7422485,289.4377441,,2.39e-08,-5e-10,-7.37e-05,101618.1797,27.42342186,0.608038425,-22.0871563,-0.596092045,1.693141818,0
Kurigram ,25.8072414,89.6294746,1/2/1998,3.59e-08,0.052775066,285.2619934,288.957489,,3.59e-08,-5e-10,-7.32e-05,101615.5625,29.12477112,0.300819814,-20.20167542,-0.267953962,1.583390355,0
Kurigram ,25.8072414,89.6294746,1/3/1998,0.0,0.0,285.3507996,289.0448914,,0.0,-5e-10,-6.69e-05,101784.7578,30.9809742,0.015420985,-4.67936182,-1.081758976,0.814360082,0
Kurigram ,25.8072414,89.6294746,1/4/1998,0.0,0.0,285.665741,288.9112244,,0.0,-5e-10,-6.88e-05,101630.9141,29.53033638,0.530527234,-1.66336441,-1.270227075,0.871342659,0
Kurigram ,25.8072414,89.6294746,1/5/1998,0.0,0.0,286.2255859,288.675354,,0.0,-5e-10,-6.38e-05,101441.4375,39.63238525,0.49691692,7.002274036,0.395478755,1.288381219,0
Kurigram ,25.8072414,89.6294746,1/6/1998,1.79e-07,3.29111743,286.3593445,288.4568787,,1.8e-07,1.57e-08,-5.72e-05,101519.625,36.20201874,0.401536256,11.04175663,0.620572388,1.330476403,0
Kurigram ,25.8072414,89.6294746,1/7/1998,3.59e-08,0.222900391,285.9493713,288.3214417,,4.79e-08,-5e-10,-6.36e-05,101636.8359,25.82089996,0.696688414,8.209609985,-1.331305623,-0.479257107,0
Kurigram ,25.8072414,89.6294746,1/8/1998,0.0,0.041056316,285.4623108,288.6848145,,0.0,-5e-10,-7.42e-05,101458.1484,28.67684174,0.155122861,0.896256268,-0.208929285,1.227997541,0
Kurigram ,25.8072414,89.6294746,1/9/1998,3.59e-08,0.0,285.7626343,289.2410889,,2.39e-08,-5e-10,-7.41e-05,101282.9609,31.27791023,0.423084527,-6.504414082,0.184827805,1.391929627,0
Kurigram ,25.8072414,89.6294746,1/10/1998,0.0,0.117289223,285.3689575,288.5551147,,0.0,-5e-10,-6.92e-05,101380.375,28.35689354,0.539687395,-13.20367718,-1.239741802,0.075831682,0
