District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Kushtia ,23.8906995,89.1099368,1/1/1998,8.25e-07,1.226094604,284.3247375,289.3478088,,0.0,-5e-10,-8.99e-05,101643.0547,10.47647858,0.514838576,-26.83809471,-2.201216459,1.644586921,0
Kushtia ,23.8906995,89.1099368,1/2/1998,0.0,0.0,283.2538147,287.9035339,,0.0,-5e-10,-9.04e-05,101663.4688,3.014102697,0.135107502,-41.78015518,-1.736478448,2.010781527,0
Kushtia ,23.8906995,89.1099368,1/3/1998,0.0,0.0,283.6863708,287.7237854,,0.0,-5e-10,-8.53e-05,101802.9453,15.81798077,0.002113439,-34.6576004,-2.005851507,1.720328331,0
Kushtia ,23.8906995,89.1099368,1/4/1998,0.0,0.0,284.5276184,287.7538757,,0.0,-5e-10,-8.21e-05,101670.375,24.24094963,0.805711091,-26.60635376,-1.679745674,2.128319025,0
Kushtia ,23.8906995,89.1099368,1/5/1998,0.0,0.0,284.9095459,287.5923767,,0.0,-5e-10,-7.54e-05,101477.7891,28.02115631,0.177743152,-17.86775017,-0.90678221,1.788882852,0
Kushtia ,23.8906995,89.1099368,1/6/1998,0.0,0.0,284.5116882,287.1994629,,0.0,-5e-10,-7.68e-05,101521.7578,20.75817299,0.061008703,-13.21825409,-0.997913659,1.228895903,0
Kushtia ,23.8906995,89.1099368,1/7/1998,0.0,0.017598471,284.5263367,287.0363464,,0.0,-5e-10,-7.9e-05,101616.9453,17.70244217,0.342134863,-17.14254761,-1.586473823,1.020430207,0
Kushtia ,23.8906995,89.1099368,1/8/1998,0.0,0.0,284.5099792,287.2579651,,0.0,-5e-10,-8.13e-05,101478.75,20.9226265,0.3484402,-10.00579357,-1.53177321,1.647838116,0
Kushtia ,23.8906995,89.1099368,1/9/1998,0.0,0.0,284.3326111,287.4842224,,0.0,-5e-10,-8.51e-05,101310.9375,21.27736664,0.227995813,-14.71428204,-1.422523618,1.774680138,0
Kushtia ,23.8906995,89.1099368,1/10/1998,0.0,0.0,283.6759033,287.0738831,,0.0,-5e-10,-8.72e-05,101379.1328,22.62135315,0.393953562,-25.23405266,-1.812021375,1.282734275,0
