District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Lakshmipur ,22.9446744,90.8281907,1/1/1998,0.0,0.0,286.9196472,292.0309753,,0.0,-5e-10,-0.000101616,101645.1875,12.04574108,0.418122053,-17.30509758,-3.199079275,1.745846629,0
Lakshmipur ,22.9446744,90.8281907,1/2/1998,0.0,0.0,285.4698792,290.4878845,,0.0,-5e-10,-9.84e-05,101686.8125,1.865599275,0.032566924,-30.75385094,-2.523409128,1.788112998,0
Lakshmipur ,22.9446744,90.8281907,1/3/1998,0.0,0.0,285.2050476,289.6672058,,0.0,-5e-10,-9.25e-05,101824.0703,7.598514557,0.018483689,-45.70044327,-2.668267965,1.585144401,0
Lakshmipur ,22.9446744,90.8281907,1/4/1998,0.0,0.0,286.4419861,289.7026672,,0.0,-5e-10,-8.15e-05,101706.6797,17.0321064,0.683541775,-35.81478119,-2.090539932,1.86702013,0
Lakshmipur ,22.9446744,90.8281907,1/5/1998,0.0,0.0,286.3408813,289.0657043,,0.0,-5e-10,-6.87e-05,101565.2188,22.04564095,0.41803813,-30.72575378,-1.220348001,1.535134792,0
Lakshmipur ,22.9446744,90.8281907,1/6/1998,0.0,0.657002747,286.208252,288.9945984,,0.0,-5e-10,-7.84e-05,101608.3672,18.00432777,0.110969544,-20.05914307,-1.603943348,0.668908835,0
Lakshmipur ,22.9446744,90.8281907,1/7/1998,0.0,0.0,285.7483521,288.7649841,,0.0,-5e-10,-8.84e-05,101677.8047,18.7008934,0.176002279,-17.42255211,-2.086518526,0.865139663,0
Lakshmipur ,22.9446744,90.8281907,1/8/1998,0.0,0.0,285.6286926,288.7754211,,0.0,-5e-10,-8.93e-05,101551.875,18.52990723,0.296108455,-11.8554697,-1.969636798,1.324637055,0
Lakshmipur ,22.9446744,90.8281907,1/9/1998,0.0,0.0,286.0467834,289.6103821,,0.0,-5e-10,-9.28e-05,101381.9766,19.04731941,0.150084689,-11.37424374,-2.049157858,1.266927123,0
Lakshmipur ,22.9446744,90.8281907,1/10/1998,0.0,0.0,285.6851501,289.4546204,,0.0,-5e-10,-9.66e-05,101430.3828,20.33058357,0.390347868,-27.73271751,-2.225604773,1.02507174,0
Lakshmipur ,22.9446744,90.8281907,1/11/1998,0.0,0.0,285.4779358,289.1326599,,0.0,-5e-10,-9e-05,101334.1563,15.09711552,0.4066571,-31.47769356,-1.708933711,1.711665511,0
Lakshmipur ,22.9446744,90.8281907,1/12/1998,0.0,0.0,285.7722473,289.8928223,,0.0,-5e-10,-8.73e-05,101099.625,22.92115974,0.03514896,-7.528806686,-0.265770227,0.561018288,0
Lakshmipur ,22.9446744,90.8281907,1/13/1998,3.25e-05,97.62070465,289.0850525,292.4408264,110.9483109,3.1e-05,4.79e-06,-6.34e-05,101024.7109,29.19613647,0.370345861,15.91997051,1.835982919,-0.133425534,0
Lakshmipur ,22.9446744,90.8281907,1/14/1998,2.15e-06,73.84323883,289.1180115,292.7736511,160.2007751,2.18e-06,9.78e-07,-6.92e-05,101152.5391,27.56411934,0.761103809,-14.02405167,-0.43112576,0.43002668,0
