District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Madaripur ,23.2393346,90.1869644,1/1/1998,0.0,0.0,286.1098022,291.0361633,,0.0,-5e-10,-8.84e-05,101716.25,8.133099556,0.368374825,-22.66272545,-2.792435885,1.596074581,0
Madaripur ,23.2393346,90.1869644,1/2/1998,0.0,0.0,284.6568604,289.3820496,,0.0,-5e-10,-8.49e-05,101749.8984,2.305313826,0.050299089,-33.54354858,-2.260262728,1.765931606,0
Madaripur ,23.2393346,90.1869644,1/3/1998,0.0,0.0,284.5080566,288.6949158,,0.0,-5e-10,-8.02e-05,101891.5078,9.616548538,0.029806867,-42.91278458,-2.339200258,1.458238125,0
Madaripur ,23.2393346,90.1869644,1/4/1998,0.0,0.0,285.7730408,288.8261719,,0.0,-5e-10,-7.46e-05,101765.0859,19.28600883,0.754196942,-33.08823013,-2.012315989,1.868089676,0
Madaripur ,23.2393346,90.1869644,1/5/1998,0.0,0.0,285.7198792,288.6876831,,0.0,-5e-10,-6.98e-05,101607.2578,24.03101349,0.380241007,-26.10246849,-1.09194243,1.475114822,0
Madaripur ,23.2393346,90.1869644,1/6/1998,0.0,0.240498856,285.43927,288.4102783,,0.0,-5e-10,-7.29e-05,101652.9688,18.09811211,0.101525821,-19.25485802,-1.840322971,0.380316615,0
Madaripur ,23.2393346,90.1869644,1/7/1998,0.0,0.0,285.0868225,287.8716125,,0.0,-5e-10,-7.95e-05,101731.1875,18.23786926,0.208374664,-17.59235382,-1.938956857,0.7606287,0
Madaripur ,23.2393346,90.1869644,1/8/1998,0.0,0.0,284.9844666,287.9875793,,0.0,-5e-10,-8.22e-05,101598.7109,19.31956291,0.27866748,-11.2913065,-1.970155597,1.359844685,0
Madaripur ,23.2393346,90.1869644,1/9/1998,0.0,0.0,285.2663269,288.6338806,,0.0,-5e-10,-8.53e-05,101430.6641,19.57339287,0.18951267,-11.12649155,-1.929984212,1.383673072,0
Madaripur ,23.2393346,90.1869644,1/10/1998,0.0,0.0,284.8399658,288.3356018,,0.0,-5e-10,-8.68e-05,101485.5078,20.88818169,0.382697791,-27.45324135,-1.994068146,0.971169233,0
Madaripur ,23.2393346,90.1869644,1/11/1998,0.0,0.0,284.6351624,287.9668274,,0.0,-5e-10,-7.95e-05,101377.2266,16.46159172,0.366705805,-29.40443611,-1.407691836,1.809652448,0
Madaripur ,23.2393346,90.1869644,1/12/1998,0.0,0.0,284.7946777,289.2869568,,0.0,-5e-10,-8.66e-05,101124.6797,23.64568901,0.004935174,-4.345879078,0.231917813,0.7198596,0
Madaripur ,23.2393346,90.1869644,1/13/1998,4.27e-05,86.73226166,288.3305359,292.151825,146.6719208,4.27e-05,1.13e-05,-6.55e-05,101031.9922,30.11574745,0.290016741,16.12028694,1.624013066,0.261688322,0
Madaripur ,23.2393346,90.1869644,1/14/1998,2.51e-07,33.56882858,287.5534668,291.6599426,185.298172,2.28e-07,4.79e-08,-8.08e-05,101189.5938,26.99751282,0.606799901,-19.3500309,-1.368817687,0.488014668,0
Madaripur ,23.2393346,90.1869644,1/15/1998,0.0,0.0,285.4402466,290.4979248,,0.0,-5e-10,-0.0001,101092.4688,19.86389732,0.218573734,1.557632327,0.278229475,1.791257262,0
Madaripur ,23.2393346,90.1869644,1/16/1998,3.05e-06,84.53224945,289.3686829,293.3449707,145.8065033,2.93e-06,3.97e-07,-8.08e-05,101052.0625,31.28068352,0.271554679,-13.39236069,1.41219461,0.306756824,0
Madaripur ,23.2393346,90.1869644,1/17/1998,0.000115521,79.76849365,289.7588196,293.5144348,49.04513168,3.24e-05,6.71e-06,-8.38e-05,101335.0,40.58367538,0.571680188,4.881884098,-0.995297611,-0.913963616,0
Madaripur ,23.2393346,90.1869644,1/18/1998,0.000129612,16.64351463,290.3599548,292.1527405,,3.43e-05,5.1e-06,-3.73e-05,101347.7109,41.81561661,0.958513916,25.55871391,-0.494236708,-0.357270598,0
Madaripur ,23.2393346,90.1869644,1/19/1998,2.92e-05,0.035176594,287.2469177,291.4908142,,2.92e-05,3.11e-06,-8.72e-05,101552.3984,38.07504654,0.395543724,19.79380798,-1.488272309,0.327376634,0
Madaripur ,23.2393346,90.1869644,1/20/1998,0.000125274,0.668721497,285.021698,291.6630554,,3.66e-05,6.18e-06,-0.000117188,101615.3828,29.789217,0.570229232,16.84934044,-1.917833328,0.146033272,0
Madaripur ,23.2393346,90.1869644,1/21/1998,0.000707183,12.23183155,286.1810608,287.8466492,,0.000252184,1.08e-05,-6.25e-05,101505.5313,36.54409027,0.832090318,24.71129799,-1.22707212,-1.092633367,0
Madaripur ,23.2393346,90.1869644,1/22/1998,7.17e-08,0.046915691,285.9836121,288.5934143,,0.0,-5e-10,-0.000102321,101649.6953,11.42053986,0.155107603,-46.01821899,-2.082756519,0.369386405,0
Madaripur ,23.2393346,90.1869644,1/23/1998,0.0,0.0,285.2765198,288.9031372,,0.0,-5e-10,-0.00011173,101582.6797,4.431779385,0.041268017,-49.90338135,-2.006608248,1.089134455,0
Madaripur ,23.2393346,90.1869644,1/24/1998,0.0,0.0,286.2294617,290.0801086,,0.0,-5e-10,-0.000112344,101730.9922,7.268122196,0.472065598,-23.24577141,-1.926935792,1.427779079,0
Madaripur ,23.2393346,90.1869644,1/25/1998,2.94e-05,0.0,286.5459595,291.584198,,2.93e-05,2.94e-05,-0.000108957,101807.6563,20.42001152,0.674817145,2.60778141,-1.95586431,1.158052564,0
Madaripur ,23.2393346,90.1869644,1/26/1998,2.15e-05,0.01171875,286.9851379,291.7480774,,2.15e-05,9.09e-08,-0.000100003,101726.6641,39.85097885,0.756786645,22.16172218,-1.608440399,0.110269375,0
Madaripur ,23.2393346,90.1869644,1/27/1998,5.6e-05,0.0,288.4692078,293.1408997,,5.36e-05,2.72e-06,-0.000114537,101751.4922,44.93370056,0.449110866,25.20113564,-1.984576702,0.21604234,0
Madaripur ,23.2393346,90.1869644,1/28/1998,9.93e-05,1.953572631,289.4232788,292.3148499,,7.94e-05,2.15e-06,-5.73e-05,101900.9766,43.52775574,0.664803743,25.20649719,-1.864819408,-0.149596289,0
Madaripur ,23.2393346,90.1869644,1/29/1998,2.31e-05,26.95713234,289.4797974,293.418396,,2.32e-05,6.77e-07,-0.000100211,101851.6172,47.71466446,0.295988917,29.89376068,-0.974865973,0.658620298,0
Madaripur ,23.2393346,90.1869644,1/30/1998,1.52e-05,15.04785156,290.1213684,293.4958496,,1.27e-05,4.43e-06,-8.2e-05,101843.2109,41.90746689,0.240967646,0.336775929,-1.31673336,1.469467998,0
Madaripur ,23.2393346,90.1869644,1/31/1998,0.0,0.0,288.6618958,292.3561096,,0.0,-5e-10,-0.000111819,101835.875,27.89748192,0.042949736,-16.89011383,-1.975452781,0.87076515,0
Madaripur ,23.2393346,90.1869644,2/1/1998,0.0,0.0,288.5427246,292.7332458,,0.0,-5e-10,-0.000115951,101694.9141,30.95954704,0.131875679,10.34435177,-1.729797721,1.067102909,0
Madaripur ,23.2393346,90.1869644,2/2/1998,0.0,0.0,288.4109497,293.0426636,,0.0,-5e-10,-0.00012245,101612.5234,32.81282806,0.03208689,2.798504829,-1.572463512,1.556353569,0
Madaripur ,23.2393346,90.1869644,2/3/1998,0.0,0.0,289.0812683,294.0717163,,0.0,-5e-10,-0.000115357,101541.4063,41.14567566,0.148727864,16.15865707,0.414461821,0.738297641,0
Madaripur ,23.2393346,90.1869644,2/4/1998,0.000123158,251.36763,290.5149231,293.1222229,146.8931732,0.000122422,5.23e-05,-9.37e-05,101571.4922,44.1842804,0.152475983,23.17553902,0.074626856,1.954954028,0
Madaripur ,23.2393346,90.1869644,2/5/1998,0.0,3.907145262,285.8340759,292.2060547,282.8149414,0.0,-5e-10,-0.000140548,101617.8828,29.27700043,0.114995502,-18.39165497,-1.508855343,1.801353335,0
Madaripur ,23.2393346,90.1869644,2/6/1998,0.0,0.615966797,284.4089966,291.8636169,,0.0,-5e-10,-0.000134757,101597.0078,29.1503582,0.833810151,-12.00668812,-1.727981567,0.892090857,0
Madaripur ,23.2393346,90.1869644,2/7/1998,0.0,0.0,285.6945496,290.4167786,,0.0,-5e-10,-6.12e-05,101630.9766,35.59057617,0.698401272,12.83856106,-0.123678684,0.435994417,0
Madaripur ,23.2393346,90.1869644,2/8/1998,3.59e-08,1.625020385,286.8614807,291.5970154,,3.59e-08,-5e-10,-0.000121209,101713.9688,38.59963608,0.050644968,6.353059769,-1.64197433,1.654426098,0
Madaripur ,23.2393346,90.1869644,2/9/1998,0.0,0.0,285.36203,291.5259094,,0.0,-5e-10,-0.000134503,101769.3828,37.60440445,0.0,-4.301843166,-1.880753875,1.475927711,0
Madaripur ,23.2393346,90.1869644,2/10/1998,0.0,0.0,286.1708679,292.1032104,,0.0,-5e-10,-0.00012984,101752.25,34.43954849,0.0,-10.18994522,-2.345751286,0.985372126,0
Madaripur ,23.2393346,90.1869644,2/11/1998,0.0,0.0,286.9916077,292.5808716,,0.0,-5e-10,-0.000123146,101579.75,29.65262604,0.004467215,-17.31604958,-1.768390775,1.676671624,0
Madaripur ,23.2393346,90.1869644,2/12/1998,0.0,0.0,287.1505737,294.6739807,,0.0,-5e-10,-0.000120128,101472.6641,34.81601715,0.046645075,-4.963898182,-1.036485195,1.006248593,0
Madaripur ,23.2393346,90.1869644,2/13/1998,0.0,0.0,287.5880432,294.9319763,,0.0,-5e-10,-0.000116257,101538.0391,32.71557999,0.205918506,2.430654287,-0.707590282,0.430411696,0
Madaripur ,23.2393346,90.1869644,2/14/1998,0.0,0.0,288.0804749,294.2731018,,0.0,-5e-10,-0.00012011,101426.2891,30.77905846,0.114749439,-0.316970855,0.032401517,0.905780375,0
Madaripur ,23.2393346,90.1869644,2/15/1998,0.0,0.721557617,289.2270813,295.2371521,,0.0,-5e-10,-0.000118482,101188.4609,32.1652565,0.840620995,-8.063209534,1.363158703,1.247761726,0
Madaripur ,23.2393346,90.1869644,2/16/1998,7.53e-07,37.07704544,291.3484497,296.7313538,403.7139893,7.54e-07,3.76e-07,-0.000109697,101146.7734,36.2245369,0.4585495,23.15786552,1.670324802,0.809162319,0
