District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Meherpur ,23.8051991,88.6723578,1/1/1998,3.59e-07,2.176493406,284.3015137,289.4676819,,0.0,-5e-10,-8.07e-05,101642.1641,10.87863064,0.574730814,-21.89023781,-2.507150173,1.212275982,0
Meherpur ,23.8051991,88.6723578,1/2/1998,0.0,0.0,282.5749207,287.5813904,,0.0,-5e-10,-8.28e-05,101669.5391,2.849995375,0.100971393,-39.36956406,-2.003948927,1.778166652,0
Meherpur ,23.8051991,88.6723578,1/3/1998,0.0,0.0,283.2520447,287.4384155,,0.0,-5e-10,-7.85e-05,101809.7734,13.5021677,0.009961266,-37.80064774,-2.240566254,1.540418148,0
Meherpur ,23.8051991,88.6723578,1/4/1998,0.0,0.0,283.9661865,287.4920349,,0.0,-5e-10,-7.84e-05,101679.6172,22.65520477,0.814420462,-29.07465553,-1.862138391,1.947788358,0
Meherpur ,23.8051991,88.6723578,1/5/1998,0.0,0.0,284.4246826,287.3062744,,0.0,-5e-10,-7.38e-05,101479.0313,27.39090729,0.09549769,-18.73888397,-1.125497818,1.698596358,0
Meherpur ,23.8051991,88.6723578,1/6/1998,0.0,0.0,283.963623,287.0054932,,0.0,-5e-10,-7.78e-05,101518.1875,17.23674583,0.00872207,-17.53706169,-1.39625442,1.09694171,0
Meherpur ,23.8051991,88.6723578,1/7/1998,0.0,0.0,284.092865,286.9189758,,0.0,-5e-10,-7.97e-05,101613.5625,17.79236412,0.20809871,-16.82251167,-1.759915471,0.879577816,0
Meherpur ,23.8051991,88.6723578,1/8/1998,0.0,0.0,284.2284241,287.3008118,,0.0,-5e-10,-7.98e-05,101478.1953,19.7058773,0.387483567,-11.31880093,-1.649800897,1.216532588,0
Meherpur ,23.8051991,88.6723578,1/9/1998,0.0,0.0,283.8546143,287.2909851,,0.0,-5e-10,-8.42e-05,101310.9922,20.02597618,0.235830948,-14.02027416,-1.638493419,1.634191394,0
Meherpur ,23.8051991,88.6723578,1/10/1998,0.0,0.0,283.4389343,287.0115051,,0.0,-5e-10,-8.45e-05,101378.0703,22.41112328,0.35751009,-25.68416023,-2.070930004,0.899641514,0
Meherpur ,23.8051991,88.6723578,1/11/1998,0.0,0.0,283.8785706,287.4814148,,0.0,-5e-10,-7.81e-05,101238.5625,16.92144775,0.287020147,-26.36524963,-1.289296508,1.612865567,0
Meherpur ,23.8051991,88.6723578,1/12/1998,0.0,0.0,283.6687012,287.952179,,0.0,-5e-10,-8.9e-05,100947.8516,24.49918365,0.009776245,0.282013983,0.759766817,1.667110443,0
Meherpur ,23.8051991,88.6723578,1/13/1998,4.52e-06,37.86897659,286.8430481,291.1713562,199.7741089,4.54e-06,-5e-10,-6.92e-05,100835.5078,31.37080383,0.262147188,11.34155178,0.290747881,1.23518455,0
Meherpur ,23.8051991,88.6723578,1/14/1998,0.0,0.076253258,285.118103,290.1889343,,0.0,-5e-10,-9.38e-05,101065.0078,24.52922249,0.149377033,-25.76452827,-1.555383205,1.342689991,0
Meherpur ,23.8051991,88.6723578,1/15/1998,0.0,0.0,284.6135864,289.4750671,,0.0,-5e-10,-9.4e-05,100927.3984,19.11828804,0.24351345,0.950263202,0.714103758,2.154543161,0
Meherpur ,23.8051991,88.6723578,1/16/1998,0.0,1.6367594,286.8508911,291.9078369,,0.0,-5e-10,-9.12e-05,100873.2266,32.60512161,0.171173289,-17.67068291,-0.149407342,0.24218078,0
Meherpur ,23.8051991,88.6723578,1/17/1998,7.16e-05,0.580769837,286.1658936,292.3117981,,6.8e-05,1.74e-06,-9.94e-05,101193.1328,41.90439987,0.38299787,7.957704067,-1.903974533,-0.920038283,0
