District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Moulvibazar ,24.3095344,91.7314903,1/1/1998,0.0,0.0,285.8050842,289.9090881,,0.0,-5e-10,-8.06e-05,101441.0547,21.71114349,0.444133133,-24.24795723,-0.97203368,1.488740087,0
Moulvibazar ,24.3095344,91.7314903,1/2/1998,0.0,0.0,285.1607361,288.9658203,,0.0,-5e-10,-7.61e-05,101474.8672,6.378646851,0.181062713,-36.84619522,-0.270786256,1.518579006,0
Moulvibazar ,24.3095344,91.7314903,1/3/1998,0.0,0.0,284.7939758,288.6413879,,0.0,-5e-10,-7.56e-05,101621.7734,17.56550407,0.000657429,-26.2545929,-0.886674941,1.119914413,0
Moulvibazar ,24.3095344,91.7314903,1/4/1998,0.0,0.0,285.9152222,289.6251526,,0.0,-5e-10,-7.47e-05,101488.4453,12.7850647,0.778038681,-33.23831558,-0.16508241,1.235847592,0
Moulvibazar ,24.3095344,91.7314903,1/5/1998,0.0,0.046915691,286.0613708,288.8838806,,0.0,-5e-10,-7.19e-05,101365.7188,25.14408112,0.339585275,-23.52894783,0.161412537,0.943982661,0
Moulvibazar ,24.3095344,91.7314903,1/6/1998,0.0,1.654337525,285.4931946,288.4316711,,0.0,-5e-10,-6.86e-05,101426.4766,29.88636589,0.264531463,-2.366434813,-0.441806406,0.144728467,0
Moulvibazar ,24.3095344,91.7314903,1/7/1998,0.0,0.0,284.841217,288.2164307,,0.0,-5e-10,-7.68e-05,101489.9609,17.40352631,0.300819814,-11.87593937,-0.749750674,0.600204587,0
Moulvibazar ,24.3095344,91.7314903,1/8/1998,0.0,0.005859375,284.6296387,288.2761536,,0.0,-5e-10,-7.78e-05,101358.1797,20.60910988,0.25996381,-8.492545128,-0.13768892,0.647027016,0
Moulvibazar ,24.3095344,91.7314903,1/9/1998,0.0,0.0,284.8873901,288.438385,,0.0,-5e-10,-7.78e-05,101188.5313,25.74795341,0.207143724,-7.251068115,-0.183870837,1.257066369,0
Moulvibazar ,24.3095344,91.7314903,1/10/1998,0.0,0.0,285.1879883,289.0170288,,0.0,-5e-10,-7.88e-05,101242.5,22.53153038,0.52298522,-24.41730499,-0.766290605,0.847086608,0
Moulvibazar ,24.3095344,91.7314903,1/11/1998,0.0,0.0,284.8388367,287.868927,,0.0,-5e-10,-7.5e-05,101123.3047,21.44449425,0.317345828,-22.33641815,0.257257342,1.346754074,0
Moulvibazar ,24.3095344,91.7314903,1/12/1998,0.0,0.0,284.7272034,288.0932007,,0.0,-5e-10,-7.99e-05,100911.1328,31.31092072,0.076371193,2.630139351,0.591535747,0.65825671,0
Moulvibazar ,24.3095344,91.7314903,1/13/1998,3.9e-05,22.13474464,286.4707336,290.9506531,,3.75e-05,1.22e-06,-7.83e-05,100868.7109,30.93856239,0.412205815,17.43027306,0.650430679,-0.232738718,0
Moulvibazar ,24.3095344,91.7314903,1/14/1998,2.57e-05,24.44618797,287.1256409,290.4070129,31.3959198,2.52e-05,7.08e-06,-8.05e-05,100989.0625,26.5826931,0.310908228,-12.60250092,-0.365204096,-0.623253763,0
Moulvibazar ,24.3095344,91.7314903,1/15/1998,3.59e-08,0.481038421,284.9628906,289.5223694,,0.0,-5e-10,-8.77e-05,100855.2813,25.70529366,0.265721709,8.41634655,0.921684563,1.111272931,0
Moulvibazar ,24.3095344,91.7314903,1/16/1998,5.2e-06,28.9576416,286.7298889,291.2063293,136.6923523,5.12e-06,-5e-10,-8.53e-05,100890.375,29.71513176,0.268949747,-3.097150803,0.680591643,-0.185852096,0
Moulvibazar ,24.3095344,91.7314903,1/17/1998,6.2e-06,47.61936569,287.807251,292.0545959,,5.59e-06,1.39e-07,-7.78e-05,101157.0547,38.48101425,0.40245375,-14.2209692,-0.541932046,-0.936144888,0
Moulvibazar ,24.3095344,91.7314903,1/18/1998,0.000117135,20.30430031,289.432312,291.8825989,,7.28e-05,2.58e-05,-4.54e-05,101155.2813,43.41323853,0.838302851,23.10340309,0.781322718,-0.396692157,0
Moulvibazar ,24.3095344,91.7314903,1/19/1998,7.06e-06,5.121520996,286.8239746,290.8334656,4.58795166,5.32e-06,1.86e-06,-8.83e-05,101321.8672,34.56901169,0.267711818,-12.82177639,-0.741167307,0.279185236,0
Moulvibazar ,24.3095344,91.7314903,1/20/1998,7.41e-05,0.14664714,284.2869568,290.9714661,,6.71e-05,2.16e-06,-9.96e-05,101396.6328,19.15743446,0.405929089,-13.76126862,-1.02308023,0.006186247,0
Moulvibazar ,24.3095344,91.7314903,1/21/1998,0.000132516,3.766215086,286.253418,286.8363342,,0.000100883,1.23e-05,-3.3e-05,101315.6641,33.73189926,0.878104687,17.066576,-0.443579286,-0.947481573,0
Moulvibazar ,24.3095344,91.7314903,1/22/1998,6.81e-07,0.164225265,285.2604065,288.4068909,,0.0,-5e-10,-7.05e-05,101427.4453,15.54781723,0.296258509,-35.21519089,-1.223418117,0.084023982,0
Moulvibazar ,24.3095344,91.7314903,1/23/1998,0.0,0.005859375,284.9509888,289.4280396,,0.0,-5e-10,-8.64e-05,101339.7109,8.051789284,0.097721756,-48.86592484,-0.943537533,0.282971263,0
Moulvibazar ,24.3095344,91.7314903,1/24/1998,0.0,0.0,285.6695862,290.3921814,,0.0,-5e-10,-8.77e-05,101481.5391,10.53002548,0.646524131,-33.15235901,-0.437222809,0.273773611,0
Moulvibazar ,24.3095344,91.7314903,1/25/1998,1.11e-06,0.0,285.8764954,291.7365417,,1.13e-06,2.91e-06,-8.5e-05,101560.5625,17.13019562,0.540696442,-21.81455231,-0.227004245,0.542943895,0
