District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Munshiganj ,23.4980931,90.4126621,1/1/1998,0.0,0.0,286.7068176,291.0230103,,0.0,-5e-10,-0.000117085,101654.6641,11.08430862,0.434536785,-22.45296478,-2.692721129,1.900645137,0
Munshiganj ,23.4980931,90.4126621,1/2/1998,0.0,0.0,285.5324707,289.5308533,,0.0,-5e-10,-0.00010932,101687.125,1.50581038,0.082421579,-38.27462387,-2.162601948,1.99525249,0
Munshiganj ,23.4980931,90.4126621,1/3/1998,0.0,0.0,285.2278748,288.8642883,,0.0,-5e-10,-0.000103164,101826.1953,9.360935211,0.003044267,-42.35391235,-2.355480671,1.629613876,0
Munshiganj ,23.4980931,90.4126621,1/4/1998,0.0,0.0,286.3917847,288.9389038,,0.0,-5e-10,-8.77e-05,101698.7266,16.56116486,0.772090673,-34.84824753,-1.800389409,2.009198666,0
Munshiganj ,23.4980931,90.4126621,1/5/1998,0.0,0.035196941,285.9724426,288.3771667,,0.0,-5e-10,-7.68e-05,101549.1797,24.43227386,0.35615325,-24.84052086,-0.798224449,1.846592903,0
Munshiganj ,23.4980931,90.4126621,1/6/1998,0.0,1.466593385,285.9272156,288.5681152,,0.0,-5e-10,-7.82e-05,101600.3516,21.03383064,0.190524235,-15.82802963,-1.689453483,0.939041615,0
Munshiganj ,23.4980931,90.4126621,1/7/1998,0.0,0.0,285.5235291,287.7366638,,0.0,-5e-10,-8.93e-05,101675.5703,18.31878471,0.226623729,-17.7354908,-1.713344455,0.906422079,0
Munshiganj ,23.4980931,90.4126621,1/8/1998,0.0,0.0,285.3693542,287.9284973,,0.0,-5e-10,-9.29e-05,101541.9375,20.99839592,0.294199109,-9.572379112,-1.615618587,1.672757268,0
Munshiganj ,23.4980931,90.4126621,1/9/1998,0.0,0.0,285.8605957,288.7387085,,0.0,-5e-10,-9.53e-05,101373.6484,21.91251564,0.195893049,-9.027779579,-1.685821176,1.446730495,0
Munshiganj ,23.4980931,90.4126621,1/10/1998,0.0,0.0,285.4425049,288.4033813,,0.0,-5e-10,-9.83e-05,101428.2578,21.18170357,0.391664624,-27.17837334,-1.831350446,1.087508798,0
Munshiganj ,23.4980931,90.4126621,1/11/1998,0.0,0.0,285.3064575,288.2035217,,0.0,-5e-10,-8.91e-05,101317.1172,19.05400085,0.346937805,-26.25927544,-1.113411784,2.031957626,0
Munshiganj ,23.4980931,90.4126621,1/12/1998,0.0,0.0,285.8598328,289.6524963,,0.0,-5e-10,-8.92e-05,101072.6328,24.34918213,0.013650884,-3.123663187,0.12117634,0.710939944,0
Munshiganj ,23.4980931,90.4126621,1/13/1998,2.27e-05,90.45755768,288.5538635,291.9211731,114.3986053,2.26e-05,6.9e-06,-6.34e-05,100987.5,30.23922539,0.326960594,16.21402359,1.732397914,-0.033855628,0
Munshiganj ,23.4980931,90.4126621,1/14/1998,7.89e-07,47.76023483,287.9573364,291.4527893,166.4650726,7.66e-07,8.65e-07,-8.41e-05,101137.8359,26.65672874,0.524020314,-21.55411339,-1.204564929,0.683625042,0
