District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Mymensingh ,24.7538575,90.4072919,1/1/1998,0.0,0.0,285.4890442,290.3344727,,0.0,-5e-10,-7.82e-05,101514.6641,18.35045815,0.366055399,-29.59243965,-1.640525699,2.520887375,0
Mymensingh ,24.7538575,90.4072919,1/2/1998,0.0,0.0,284.8995972,289.5758362,,0.0,-5e-10,-7.54e-05,101532.1953,12.27764893,0.218506321,-34.12569046,-1.049003601,2.158371687,0
Mymensingh ,24.7538575,90.4072919,1/3/1998,0.0,0.0,284.9595947,289.0704041,,0.0,-5e-10,-7.4e-05,101680.5547,22.14214516,0.004281558,-20.5986824,-1.344624043,1.784776092,0
Mymensingh ,24.7538575,90.4072919,1/4/1998,0.0,0.0234375,285.9485168,288.7923279,,0.0,-5e-10,-7.11e-05,101537.8672,23.85255432,0.840701759,-20.52012634,-0.696434021,1.967830658,0
Mymensingh ,24.7538575,90.4072919,1/5/1998,0.0,0.545572937,285.8520508,288.7226257,,0.0,-5e-10,-7.02e-05,101393.2734,25.1632328,0.38182354,-21.34752655,-0.329119057,1.131486416,0
Mymensingh ,24.7538575,90.4072919,1/6/1998,2.04e-06,4.047892094,284.9675598,287.8625793,,2.05e-06,2.3e-06,-5.78e-05,101465.0938,30.49577904,0.356858373,1.27966702,-0.985071003,0.886636436,0
Mymensingh ,24.7538575,90.4072919,1/7/1998,0.0,0.052775066,284.7656555,287.4804382,,0.0,-5e-10,-7.13e-05,101538.25,18.76770401,0.467066199,-6.393001556,-0.870718896,0.997649908,0
Mymensingh ,24.7538575,90.4072919,1/8/1998,0.0,0.017578125,284.8565674,287.5410461,,0.0,-5e-10,-7.3e-05,101390.9922,22.23583031,0.342833012,-8.203551292,-0.734075725,1.65064013,0
Mymensingh ,24.7538575,90.4072919,1/9/1998,0.0,0.017598471,285.0709534,288.4582214,,0.0,-5e-10,-7.62e-05,101227.5,28.3639679,0.275050998,-5.908526897,-0.885442555,1.560995102,0
Mymensingh ,24.7538575,90.4072919,1/10/1998,0.0,0.0,284.6041565,288.1803894,,0.0,-5e-10,-7.75e-05,101289.0313,24.69996452,0.567341387,-21.74913979,-0.979276598,1.498985887,0
Mymensingh ,24.7538575,90.4072919,1/11/1998,0.0,0.0,284.7233582,287.990448,,0.0,-5e-10,-7.13e-05,101152.1484,25.64808464,0.322893292,-16.53563309,-0.353896409,1.663666606,0
Mymensingh ,24.7538575,90.4072919,1/12/1998,0.0,0.234639481,284.5275879,288.133728,,2.4e-08,-5e-10,-6.43e-05,100919.0703,33.49969482,0.252320707,6.898263931,0.37984702,0.387396693,0
Mymensingh ,24.7538575,90.4072919,1/13/1998,8.11e-05,30.99334717,286.3237915,290.2497864,45.13687134,8.11e-05,2.87e-05,-6.6e-05,100860.6641,32.28378677,0.357272297,17.02178383,0.469119072,-1.008293033,0
Mymensingh ,24.7538575,90.4072919,1/14/1998,7.42e-06,9.298522949,286.2809143,290.3839111,,7.38e-06,1.14e-06,-8.05e-05,101009.0,27.0305233,0.25682798,-13.92759418,-0.326978594,0.203914285,0
Mymensingh ,24.7538575,90.4072919,1/15/1998,0.0,0.0,284.8149109,289.264801,,0.0,-5e-10,-8.37e-05,100866.9922,26.16173553,0.379501551,7.574293613,0.808608055,1.368721604,0
Mymensingh ,24.7538575,90.4072919,1/16/1998,0.0,3.643127441,285.6203613,290.3663025,,0.0,-5e-10,-8.46e-05,100877.2109,29.07147217,0.063621886,-13.46970749,0.490047962,-0.645905674,0
Mymensingh ,24.7538575,90.4072919,1/17/1998,0.0,1.443074584,286.3514099,291.4150696,,0.0,-5e-10,-7.54e-05,101190.4375,38.93809891,0.441816211,-14.3571558,-0.975601137,-0.327495903,0
Mymensingh ,24.7538575,90.4072919,1/18/1998,9.43e-06,2.909769774,286.448822,291.657135,,8.68e-06,-5e-10,-6.1e-05,101175.6172,42.36623764,0.575606287,4.602030277,-0.809402406,0.470196873,0
Mymensingh ,24.7538575,90.4072919,1/19/1998,0.0,0.0,282.490448,289.4858398,,0.0,-5e-10,-9.78e-05,101366.0938,27.72342682,0.069537483,-25.65213203,-1.358893752,1.456569791,0
Mymensingh ,24.7538575,90.4072919,1/20/1998,2.52e-05,0.023457846,283.2562561,290.4473267,,2.49e-05,3.96e-06,-9.22e-05,101435.7891,12.21108627,0.395233423,-32.90634537,-0.420618057,0.880283654,0
Mymensingh ,24.7538575,90.4072919,1/21/1998,8.81e-05,0.967936218,284.7754822,286.8866882,,8.75e-05,1.43e-05,-5.29e-05,101329.0703,29.87300301,0.685601771,3.786338568,0.173909351,-1.112483144,0
Mymensingh ,24.7538575,90.4072919,1/22/1998,7.89e-07,0.199422196,284.7032166,287.6739197,,1.2e-07,3.72e-08,-6.84e-05,101475.7578,26.07052612,0.430928558,-22.50644493,-1.126232863,0.864369571,0
