District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Naogaon ,24.9131597,88.7530952,1/1/1998,0.0,0.0,282.9519348,288.7350159,,0.0,-5e-10,-7.97e-05,101568.9766,13.69488049,0.609585345,-32.9632988,-1.135486603,2.196788073,0
Naogaon ,24.9131597,88.7530952,1/2/1998,0.0,0.0,282.7723694,287.8448486,,0.0,-5e-10,-7.24e-05,101575.8828,12.17530441,0.205103412,-35.44277573,-0.982411623,2.380890608,0
Naogaon ,24.9131597,88.7530952,1/3/1998,0.0,0.0,283.726593,287.8511353,,0.0,-5e-10,-6.95e-05,101724.375,22.52831268,0.001511961,-23.82164192,-1.436987877,2.0413692,0
Naogaon ,24.9131597,88.7530952,1/4/1998,0.0,0.0,284.3996277,287.8731995,,0.0,-5e-10,-6.8e-05,101582.6797,28.10761261,0.695762694,-17.64273453,-1.182446837,2.158050776,0
Naogaon ,24.9131597,88.7530952,1/5/1998,0.0,0.0,284.8773499,288.0549011,,0.0,-5e-10,-6.64e-05,101378.6328,31.43811035,0.311294824,-12.54819202,-0.620134354,1.922227383,0
Naogaon ,24.9131597,88.7530952,1/6/1998,0.0,0.510355651,284.27771,287.6331482,,0.0,-5e-10,-6.06e-05,101434.3984,29.52781487,0.21323289,2.599170446,-0.479015708,1.116620421,0
Naogaon ,24.9131597,88.7530952,1/7/1998,0.0,0.0,284.3623047,287.4213867,,0.0,-5e-10,-6.71e-05,101544.0234,21.10613441,0.377335995,-7.37282896,-0.931105614,1.044172883,0
Naogaon ,24.9131597,88.7530952,1/8/1998,0.0,0.0,284.7247009,287.8581238,,0.0,-5e-10,-7.1e-05,101388.5703,25.90473747,0.1669458,-7.030810833,-0.769447267,1.73286283,0
Naogaon ,24.9131597,88.7530952,1/9/1998,0.0,0.0,284.4780884,288.2535095,,0.0,-5e-10,-7.28e-05,101217.6875,28.32289314,0.280765027,-7.163297653,-0.657041013,1.834721446,0
Naogaon ,24.9131597,88.7530952,1/10/1998,0.0,0.0,283.8607788,287.3421936,,0.0,-5e-10,-6.88e-05,101298.0938,25.5246563,0.565179646,-20.96033859,-1.155874848,1.594470382,0
