District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Narail ,23.1162929,89.5840404,1/1/1998,0.0,0.01171875,285.3312988,290.752655,,0.0,-5e-10,-8.02e-05,101689.3438,12.15169811,0.312994331,-16.33924294,-2.882529497,0.981949806,0
Narail ,23.1162929,89.5840404,1/2/1998,0.0,0.0,283.0006104,288.7501526,,0.0,-5e-10,-8.17e-05,101728.8984,3.342960358,0.023205867,-28.46977997,-2.311958075,1.47149992,0
Narail ,23.1162929,89.5840404,1/3/1998,0.0,0.0,283.0570679,287.8621521,,0.0,-5e-10,-7.69e-05,101871.9063,9.385233879,0.052681476,-44.01596069,-2.343589306,1.264638424,0
Narail ,23.1162929,89.5840404,1/4/1998,0.0,0.0,284.5751648,288.3771362,,0.0,-5e-10,-7.5e-05,101746.25,20.226408,0.744110525,-33.8512764,-2.185411692,1.774508953,0
Narail ,23.1162929,89.5840404,1/5/1998,0.0,0.0,284.9161377,288.1269531,,0.0,-5e-10,-7.19e-05,101569.6953,24.05352974,0.30400905,-25.60175323,-1.144805074,1.528739333,0
Narail ,23.1162929,89.5840404,1/6/1998,0.0,0.0,284.4580688,287.6257019,,0.0,-5e-10,-7.7e-05,101604.3516,15.80649948,0.031144617,-21.43114281,-1.669583917,0.624246776,0
Narail ,23.1162929,89.5840404,1/7/1998,0.0,0.0,284.3529663,287.4931335,,0.0,-5e-10,-7.97e-05,101690.375,17.90960503,0.223328337,-17.00666237,-1.945767403,0.525511086,0
Narail ,23.1162929,89.5840404,1/8/1998,0.0,0.0,284.1772766,287.5405579,,0.0,-5e-10,-8.19e-05,101561.0625,17.80582619,0.304712892,-13.25043201,-2.036704302,1.110396028,0
Narail ,23.1162929,89.5840404,1/9/1998,0.0,0.0,283.9013367,288.0978088,,0.0,-5e-10,-8.73e-05,101392.9609,18.11167145,0.201293632,-13.18977833,-1.9738096,1.152469873,0
Narail ,23.1162929,89.5840404,1/10/1998,0.0,0.0,283.5821533,287.8673706,,0.0,-5e-10,-8.69e-05,101450.4375,21.48650932,0.382521033,-26.96204376,-2.128311396,0.794103801,0
Narail ,23.1162929,89.5840404,1/11/1998,0.0,0.0,283.690155,287.6358032,,0.0,-5e-10,-8.05e-05,101337.7578,13.46381378,0.407156199,-32.09254074,-1.745386243,1.420699,0
Narail ,23.1162929,89.5840404,1/12/1998,0.0,0.0,284.3069458,288.8172913,,0.0,-5e-10,-8.73e-05,101067.7266,25.59973145,0.002221527,-1.742070794,0.559472144,1.474772573,0
Narail ,23.1162929,89.5840404,1/13/1998,4.55e-06,65.57717133,288.6667175,292.6119995,386.7151794,4.54e-06,5.16e-07,-7e-05,100955.4453,30.0481472,0.210071638,15.72018337,1.440777302,1.092428565,0
Narail ,23.1162929,89.5840404,1/14/1998,0.0,8.131123543,286.4341736,291.6218567,,0.0,-5e-10,-8.98e-05,101139.1875,25.82367134,0.594592929,-21.44745827,-1.854333282,0.842958272,0
Narail ,23.1162929,89.5840404,1/15/1998,0.0,0.0,285.2104797,290.6678467,,0.0,-5e-10,-9.47e-05,101043.8984,20.54808998,0.265690565,0.757047176,0.280175328,1.844004631,0
