District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Natore ,24.410243,89.0076177,1/1/1998,3.94e-07,0.522115052,283.3927002,289.0776672,,0.0,-5e-10,-7.97e-05,101650.4297,10.34439087,0.536420584,-33.4054718,-1.801708341,2.05448103,0
Natore ,24.410243,89.0076177,1/2/1998,0.0,0.0,282.9288635,287.96875,,0.0,-5e-10,-7.72e-05,101662.4141,6.1156106,0.191103458,-40.60242844,-1.520876408,2.239974022,0
Natore ,24.410243,89.0076177,1/3/1998,0.0,0.0,283.6359863,287.9150696,,0.0,-5e-10,-7.47e-05,101805.7813,19.39241028,0.001662012,-29.27278137,-1.958415508,1.856261134,0
Natore ,24.410243,89.0076177,1/4/1998,0.0,0.0,284.5006409,287.9250793,,0.0,-5e-10,-7.22e-05,101666.6641,24.21194649,0.777718842,-24.88795662,-1.618277907,2.218391657,0
Natore ,24.410243,89.0076177,1/5/1998,0.0,0.0,284.9012146,287.7944031,,0.0,-5e-10,-6.88e-05,101472.6484,29.84167671,0.24514176,-15.30359745,-0.787911356,1.784241319,0
Natore ,24.410243,89.0076177,1/6/1998,0.0,0.393025726,284.3293152,287.0119324,,0.0,-5e-10,-6.61e-05,101525.2813,26.45337677,0.142877117,-4.144279003,-0.690250456,1.09670651,0
Natore ,24.410243,89.0076177,1/7/1998,0.0,0.005859375,284.4702148,287.1360168,,0.0,-5e-10,-7.21e-05,101625.1953,18.85287666,0.374137849,-13.82630253,-1.313511848,0.980366945,0
Natore ,24.410243,89.0076177,1/8/1998,0.0,0.0,284.6860962,287.6071167,,0.0,-5e-10,-7.32e-05,101477.8672,23.85730553,0.289888948,-7.691204548,-1.15725863,1.721569061,0
Natore ,24.410243,89.0076177,1/9/1998,0.0,0.0,284.4878845,287.9529114,,0.0,-5e-10,-7.66e-05,101308.8438,24.95537758,0.239002347,-11.73854351,-1.084807515,1.739921451,0
Natore ,24.410243,89.0076177,1/10/1998,0.0,0.0,283.6983948,287.1636963,,0.0,-5e-10,-7.54e-05,101383.5234,23.83726311,0.617227197,-23.24947357,-1.506585121,1.446088791,0
Natore ,24.410243,89.0076177,1/11/1998,0.0,0.0,284.0991516,287.6529541,,0.0,-5e-10,-7.3e-05,101231.6016,24.76776314,0.297716409,-17.15493584,-1.022734284,1.841715932,0
Natore ,24.410243,89.0076177,1/12/1998,0.0,0.0,283.8387451,287.7538147,,0.0,-5e-10,-7.67e-05,100943.8672,28.88281822,0.077018447,4.796379566,0.475908011,1.61179626,0
Natore ,24.410243,89.0076177,1/13/1998,1.27e-05,58.73075485,286.459259,290.5891113,86.42076111,1.25e-05,6.26e-06,-6.89e-05,100841.25,32.02594376,0.259005636,11.34200573,0.916257799,0.671732366,0
