District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Noakhali ,22.8723789,91.0973184,1/1/1998,0.0,0.0,286.9098511,292.154541,,0.0,-5e-10,-0.000109204,101607.8125,15.7618103,0.450271249,-12.81799984,-3.443912506,1.63151753,0
Noakhali ,22.8723789,91.0973184,1/2/1998,0.0,0.0,285.394165,290.4405518,,0.0,-5e-10,-0.000107518,101656.5547,1.936567187,0.010953769,-27.94519615,-2.766599417,1.652479649,0
Noakhali ,22.8723789,91.0973184,1/3/1998,0.0,0.0,285.0838013,289.5575256,,0.0,-5e-10,-0.000102237,101792.375,6.499797821,0.015516993,-46.97636414,-2.918204069,1.471029282,0
Noakhali ,22.8723789,91.0973184,1/4/1998,0.0,0.0,286.3616028,289.6047058,,0.0,-5e-10,-8.88e-05,101681.2422,15.80768681,0.654468,-37.61868668,-2.291656256,1.679088712,0
Noakhali ,22.8723789,91.0973184,1/5/1998,0.0,0.0,286.2720337,288.9397583,,0.0,-5e-10,-7.2e-05,101548.5078,20.22447777,0.444487244,-33.95196152,-1.311998367,1.361684322,0
Noakhali ,22.8723789,91.0973184,1/6/1998,0.0,0.152526856,286.2197266,288.8580017,,0.0,-5e-10,-8.4e-05,101589.8828,17.67457962,0.054731965,-21.08209991,-1.791870952,0.557553172,0
Noakhali ,22.8723789,91.0973184,1/7/1998,0.0,0.0,285.6246338,288.7411194,,0.0,-5e-10,-9.81e-05,101650.5859,18.95096397,0.147097647,-17.28613853,-2.405683994,0.878123283,0
Noakhali ,22.8723789,91.0973184,1/8/1998,0.0,0.0,285.5610352,288.6130676,,0.0,-5e-10,-9.53e-05,101530.8125,17.41302681,0.298641533,-13.0924902,-2.160483122,1.155656934,0
Noakhali ,22.8723789,91.0973184,1/9/1998,0.0,0.0,285.9724731,289.4299316,,0.0,-5e-10,-9.87e-05,101359.6641,17.93712235,0.086984165,-12.69616318,-2.312325716,1.195442081,0
Noakhali ,22.8723789,91.0973184,1/10/1998,0.0,0.0,285.6578369,289.3640442,,0.0,-5e-10,-0.000104184,101403.1797,19.77110481,0.422333002,-28.31501007,-2.535430193,0.980281353,0
Noakhali ,22.8723789,91.0973184,1/11/1998,0.0,0.0,285.3601379,289.0169678,,0.0,-5e-10,-9.69e-05,101315.8203,13.18978977,0.429108232,-33.633358,-1.944189072,1.412207127,0
Noakhali ,22.8723789,91.0973184,1/12/1998,0.0,0.005859375,285.8751526,289.8001709,,0.0,-5e-10,-9.02e-05,101092.2578,22.05049133,0.09214633,-9.121743202,-0.296169013,0.76325959,0
Noakhali ,22.8723789,91.0973184,1/13/1998,2.21e-05,84.77868652,289.0656738,292.2467957,115.2565079,2.13e-05,6.48e-06,-6.99e-05,101031.9375,28.56271935,0.347358704,15.49358082,1.839161277,-0.364714295,0
Noakhali ,22.8723789,91.0973184,1/14/1998,5.41e-06,109.9934464,289.9718018,292.5415955,115.0658493,5.33e-06,1.34e-07,-6e-05,101141.2266,27.49067688,0.821807921,-11.63672352,0.385900825,0.250651151,0
Noakhali ,22.8723789,91.0973184,1/15/1998,0.0,0.0,287.0457458,292.1721191,,0.0,-5e-10,-0.000102338,101056.1563,20.05740166,0.233197391,1.007669091,0.310422748,1.45612061,0
Noakhali ,22.8723789,91.0973184,1/16/1998,2.62e-06,63.54730225,289.8993835,292.9729309,80.08562469,2.38e-06,-5e-10,-7.96e-05,101053.2109,31.55069733,0.412864536,-10.21185017,2.248960733,-0.338255048,0
Noakhali ,22.8723789,91.0973184,1/17/1998,6.32e-05,91.69543457,291.9534302,293.967926,63.79238892,3.67e-05,5.16e-06,-5.76e-05,101284.4922,38.54044724,0.587413967,7.13098383,0.55841279,-0.149746016,0
Noakhali ,22.8723789,91.0973184,1/18/1998,0.000429566,24.54003906,291.3054504,292.2037964,64.6229248,8.35e-05,5.95e-05,-3.49e-05,101305.6797,42.42141724,0.910269082,30.48715782,1.061073661,-1.062216878,0
Noakhali ,22.8723789,91.0973184,1/19/1998,0.000144312,0.915140808,289.6482239,291.962616,,0.000141375,2.73e-05,-8.13e-05,101478.6172,39.87829971,0.637717545,28.62116432,-1.786962986,0.159166649,0
Noakhali ,22.8723789,91.0973184,1/20/1998,2.51e-07,1.067647338,286.0808411,292.3283691,,1.56e-07,1.5e-07,-0.000142819,101530.4922,32.99272537,0.59405756,23.34851265,-2.590887308,0.487159044,0
Noakhali ,22.8723789,91.0973184,1/21/1998,0.000381593,10.65950489,286.3772278,288.4367065,,0.000234272,4.19e-05,-9.68e-05,101438.2578,36.6776619,0.904829741,26.64557076,-2.436061144,-1.374808669,0
Noakhali ,22.8723789,91.0973184,1/22/1998,0.0,0.0,286.3496704,289.3706055,,0.0,-5e-10,-0.000136409,101564.5547,12.87617493,0.038619857,-42.1970253,-2.700072289,0.538644493,0
Noakhali ,22.8723789,91.0973184,1/23/1998,0.0,0.0,285.82547,289.2437439,,0.0,-5e-10,-0.00012903,101507.6016,-0.774369657,0.000897768,-56.53202438,-2.330162764,1.080000997,0
Noakhali ,22.8723789,91.0973184,1/24/1998,0.0,0.0,286.4800415,290.0674744,,0.0,-5e-10,-0.0001248,101659.0938,3.857849121,0.217394292,-26.80772972,-2.23747468,1.219035149,0
Noakhali ,22.8723789,91.0973184,1/25/1998,0.0,0.0,287.4864807,291.6973572,,0.0,-5e-10,-0.000125564,101731.8203,18.31814194,0.399309635,4.171939373,-2.439304352,1.054889202,0
Noakhali ,22.8723789,91.0973184,1/26/1998,1.56e-05,0.0,287.0979309,292.1672974,,1.56e-05,-5e-10,-0.000106086,101641.7109,38.63507462,0.805932999,22.44490051,-2.615275621,0.405642241,0
Noakhali ,22.8723789,91.0973184,1/27/1998,8.53e-06,0.0,288.552124,293.6350098,,8.56e-06,-5e-10,-0.000123669,101668.3359,45.00402832,0.287523717,26.44548225,-2.403630018,0.640460312,0
Noakhali ,22.8723789,91.0973184,1/28/1998,0.0,1.102905273,289.4590454,293.68927,,0.0,-5e-10,-9.61e-05,101804.9688,43.11535645,0.264928222,25.93109703,-2.844217539,0.304831713,0
Noakhali ,22.8723789,91.0973184,1/29/1998,1.76e-06,2.956726074,289.5592346,293.7897339,,1.78e-06,-5e-10,-0.000103399,101780.7422,45.96065903,0.295904368,28.25067139,-1.533632636,0.921523333,0
Noakhali ,22.8723789,91.0973184,1/30/1998,7.03e-06,9.222270012,290.2260742,293.8977356,,6.21e-06,-5e-10,-9.14e-05,101787.6172,43.56432724,0.171620265,2.497275114,-1.828734279,1.221901417,0
Noakhali ,22.8723789,91.0973184,1/31/1998,0.0,0.0,288.7987976,293.1895447,,0.0,-5e-10,-0.000120386,101767.4453,27.7696476,0.005258165,-18.02252007,-2.203897476,0.979489982,0
Noakhali ,22.8723789,91.0973184,2/1/1998,0.0,0.0,288.8699646,293.5144958,,0.0,-5e-10,-0.000123771,101622.625,26.19716835,0.088622652,4.150110245,-2.114668608,0.999275506,0
Noakhali ,22.8723789,91.0973184,2/2/1998,0.0,0.0,288.8350525,293.5867004,,0.0,-5e-10,-0.00012197,101545.8516,30.98696327,0.000181843,1.167499185,-1.973506928,1.369149327,0
Noakhali ,22.8723789,91.0973184,2/3/1998,0.0,0.0,289.2229004,294.6043701,,0.0,-5e-10,-0.000111592,101499.6172,39.24928665,0.032010589,13.54805088,-1.302377105,1.286263585,0
Noakhali ,22.8723789,91.0973184,2/4/1998,1.41e-05,109.1604233,291.1145325,294.5018005,148.6970367,1.34e-05,2.59e-06,-9.36e-05,101514.6797,45.40771484,0.187382057,24.94688988,-1.080353618,1.46386373,0
Noakhali ,22.8723789,91.0973184,2/5/1998,9.32e-07,21.57745361,287.1931152,292.4766541,104.5029755,9.22e-07,9.63e-08,-0.000127238,101560.9609,30.79489326,0.116045862,-13.73996735,-2.081502438,1.028130531,0
Noakhali ,22.8723789,91.0973184,2/6/1998,0.0,0.0,284.4145813,291.858429,,0.0,-5e-10,-0.000148988,101535.5625,27.09698677,0.869095266,-13.19544315,-2.110949993,0.574344218,0
Noakhali ,22.8723789,91.0973184,2/7/1998,0.0,0.0,285.6382141,291.0143738,,0.0,-5e-10,-6.27e-05,101579.9688,28.58696938,0.782295466,6.84327507,-1.224801898,0.386776358,0
Noakhali ,22.8723789,91.0973184,2/8/1998,0.0,0.0,286.5597229,291.9196777,,0.0,-5e-10,-0.000122431,101651.0391,36.14426422,0.019446945,5.036728382,-2.294812918,1.21685338,0
Noakhali ,22.8723789,91.0973184,2/9/1998,0.0,0.0,285.3753052,292.0519409,,0.0,-5e-10,-0.000135698,101700.0859,33.9099617,0.0,-10.40952206,-2.319049597,1.423116088,0
Noakhali ,22.8723789,91.0973184,2/10/1998,0.0,0.0,285.5032654,292.7115173,,0.0,-5e-10,-0.000132539,101676.9141,29.01554871,0.0,-16.91677666,-2.518782139,0.841632128,0
Noakhali ,22.8723789,91.0973184,2/11/1998,0.0,0.0,286.7805786,293.1684265,,0.0,-5e-10,-0.000111423,101512.5938,17.89292717,0.002698385,-26.64328957,-1.8766675,1.391202331,0
Noakhali ,22.8723789,91.0973184,2/12/1998,0.0,0.0,287.1325989,294.0290222,,0.0,-5e-10,-9.82e-05,101423.9453,29.91036797,0.02729159,-12.77184772,-1.105649948,1.117711306,0
Noakhali ,22.8723789,91.0973184,2/13/1998,0.0,0.0,287.6819763,294.0267639,,0.0,-5e-10,-9.44e-05,101487.7813,31.46864319,0.189009741,-2.910959482,-1.263502955,0.554943562,0
Noakhali ,22.8723789,91.0973184,2/14/1998,0.0,0.0,288.4262695,294.7875061,,0.0,-5e-10,-9.85e-05,101379.1563,28.42652321,0.154027358,-4.205990315,-0.689818084,1.212489843,0
Noakhali ,22.8723789,91.0973184,2/15/1998,0.0,38.6610527,290.1065369,295.8011169,387.3896484,0.0,-5e-10,-9.22e-05,101175.6641,30.69789314,0.793410063,-12.80629253,1.173479915,1.00013113,0
Noakhali ,22.8723789,91.0973184,2/16/1998,1.18e-06,208.4356079,292.8723145,297.3311462,340.5584717,1.13e-06,4.25e-08,-8.14e-05,101157.3438,34.62642288,0.528189361,20.62906075,2.25594449,0.819322527,0
Noakhali ,22.8723789,91.0973184,2/17/1998,1e-05,332.3623962,294.0127869,297.915863,296.3626099,9.04e-06,1.5e-07,-8.72e-05,101091.6016,38.82684708,0.686027765,26.9462738,2.844244957,0.863385677,0
Noakhali ,22.8723789,91.0973184,2/18/1998,0.000271092,435.7032776,294.125061,296.9630737,127.7313766,0.000236703,4.22e-05,-7.2e-05,101049.0234,41.83353043,0.679105699,30.43889046,2.054871321,0.954292595,0
Noakhali ,22.8723789,91.0973184,2/19/1998,0.000261877,338.6163025,293.8764954,295.8755188,60.98168564,0.000214829,3.41e-05,-8.99e-05,101046.4297,45.30462646,0.769588709,29.52243614,0.842985094,0.210737646,0
Noakhali ,22.8723789,91.0973184,2/20/1998,1.15e-05,556.3800659,292.8089294,295.7032166,139.7117767,1.02e-05,9.08e-07,-9.32e-05,101278.1797,40.62103653,0.531929851,22.18491173,0.404840589,-1.510484576,0
Noakhali ,22.8723789,91.0973184,2/21/1998,1.79e-07,240.9015961,290.9745178,295.7625427,248.3633728,1.32e-07,-5e-10,-0.000106355,101257.4453,36.61629868,0.36481747,19.59885406,-0.746875227,0.090077318,0
