District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Panchagarh ,26.2708705,88.5951751,1/1/1998,0.0,0.0,283.9850159,288.9356079,,0.0,-5e-10,-6.35e-05,101130.0,29.6024456,0.639755905,-22.4755497,0.537591994,2.342282057,0
Panchagarh ,26.2708705,88.5951751,1/2/1998,0.0,0.0,283.414032,288.7973328,,0.0,-5e-10,-6.39e-05,101128.625,32.46160126,0.206736803,-17.8657856,0.767982721,2.391008139,0
Panchagarh ,26.2708705,88.5951751,1/3/1998,0.0,0.0,284.2822876,288.4464111,,0.0,-5e-10,-5.68e-05,101298.5859,30.2810955,0.062411308,-2.0499475,0.451800853,1.673762679,0
Panchagarh ,26.2708705,88.5951751,1/4/1998,0.0,0.0,284.836792,288.6260681,,0.0,-5e-10,-6.07e-05,101151.4766,29.96124268,0.190568104,1.850024223,0.582346976,1.864496231,0
Panchagarh ,26.2708705,88.5951751,1/5/1998,0.0,0.0,285.458313,289.3692322,,0.0,-5e-10,-6.16e-05,100941.8359,39.5971489,0.559583247,12.79565716,0.646538913,1.929050803,0
Panchagarh ,26.2708705,88.5951751,1/6/1998,1.29e-06,0.05279541,285.3159485,289.2830505,,1.2e-06,4.03e-07,-5.6e-05,101007.1797,35.25043488,0.273046911,13.28730774,0.85917902,1.066589475,0
Panchagarh ,26.2708705,88.5951751,1/7/1998,4.66e-07,1.941813111,284.6991272,288.8733215,,4.79e-07,2.2e-07,-5.32e-05,101146.3203,26.33311653,0.656682551,9.607215881,-0.307714492,-0.305057913,0
Panchagarh ,26.2708705,88.5951751,1/8/1998,0.0,0.0,284.3314819,288.3503418,,0.0,-5e-10,-6.71e-05,100962.9609,28.72554016,0.080364093,-0.447871357,0.505225718,1.559540749,0
Panchagarh ,26.2708705,88.5951751,1/9/1998,0.0,0.0,284.5612488,288.6987305,,0.0,-5e-10,-6.43e-05,100777.5078,33.16425323,0.39619413,-8.685835838,0.377641678,1.780006051,0
Panchagarh ,26.2708705,88.5951751,1/10/1998,0.0,0.469299316,284.2632751,288.4944458,,0.0,-5e-10,-5.36e-05,100892.6484,29.45041084,0.620403707,-10.43807411,-0.428704232,0.686855018,0
Panchagarh ,26.2708705,88.5951751,1/11/1998,0.0,0.0,283.8760071,288.5686951,,0.0,-5e-10,-7.05e-05,100697.4375,33.23393631,0.127968609,-4.321481705,0.63793391,1.452805162,0
Panchagarh ,26.2708705,88.5951751,1/12/1998,5.88e-06,4.587564945,284.8564148,289.2790222,,5.72e-06,7.09e-07,-5.07e-05,100401.6172,38.40791702,0.552135944,9.959656715,-0.143656239,0.954891503,0
Panchagarh ,26.2708705,88.5951751,1/13/1998,4.63e-05,11.72729492,285.4095459,289.3431396,,3.89e-05,1.15e-05,-5.62e-05,100344.6563,33.31816483,0.444365174,14.96786404,-0.435968787,-0.444412947,0
Panchagarh ,26.2708705,88.5951751,1/14/1998,2.22e-05,12.01479054,285.8792419,289.4556274,,2.05e-05,1.1e-05,-5.64e-05,100573.3828,28.93789864,0.59703511,3.142486572,-0.32706508,-0.579746723,0
Panchagarh ,26.2708705,88.5951751,1/15/1998,4.95e-06,6.781717777,285.121521,289.4052429,,1.51e-06,2.2e-07,-5.05e-05,100352.6016,33.78445816,0.823684216,0.203534007,0.377749801,1.585871697,0
Panchagarh ,26.2708705,88.5951751,1/16/1998,1.08e-07,4.611104488,284.4075012,289.3286438,,1.08e-07,2.64e-08,-5.88e-05,100334.4141,36.2160759,0.35656783,-13.79865742,0.143856496,0.983233213,0
Panchagarh ,26.2708705,88.5951751,1/17/1998,0.0,0.404785156,283.1968384,288.6377563,,0.0,-5e-10,-7.32e-05,100745.7188,32.20291901,0.079606839,-25.1580658,-0.497133881,0.940538883,0
Panchagarh ,26.2708705,88.5951751,1/18/1998,0.0,1.061808229,283.0734253,288.8467102,,0.0,-5e-10,-6.25e-05,100754.5938,36.22626877,0.183783367,-15.26220417,0.593049228,1.324915052,0
Panchagarh ,26.2708705,88.5951751,1/19/1998,0.0,0.0,281.8583679,288.0709534,,0.0,-5e-10,-6.91e-05,100926.8203,35.03134537,0.02554947,-18.3779068,0.795332968,1.750873089,0
Panchagarh ,26.2708705,88.5951751,1/20/1998,0.0,0.0,283.1939392,289.6441345,,0.0,-5e-10,-6.56e-05,101010.5859,38.37273026,0.097711593,-12.4617815,-0.981525183,-0.43378222,0
Panchagarh ,26.2708705,88.5951751,1/21/1998,2.47e-06,3.819071531,284.2326965,289.7884827,,2.48e-06,3.27e-07,-5.74e-05,100789.3828,37.97433853,0.301978916,-3.651872635,-0.019553134,-0.632344484,0
Panchagarh ,26.2708705,88.5951751,1/22/1998,0.0,0.944478333,283.9786682,288.7808533,,0.0,-5e-10,-5.12e-05,101043.4922,32.27754974,0.326833427,1.877594352,-0.494561046,-0.932487249,0
Panchagarh ,26.2708705,88.5951751,1/23/1998,0.0,0.0,283.2888489,288.8678894,,0.0,-5e-10,-6.07e-05,100996.5313,34.02457809,0.41435039,-19.4038105,-0.045930445,1.097925663,0
Panchagarh ,26.2708705,88.5951751,1/24/1998,0.0,0.0,283.2710571,289.3578186,,0.0,-5e-10,-6.77e-05,101136.8984,33.45960617,0.429697007,-15.97902298,0.323611409,1.602149367,0
Panchagarh ,26.2708705,88.5951751,1/25/1998,0.0,0.0,282.2953796,289.666748,,0.0,-5e-10,-6.72e-05,101179.6016,31.91825676,0.391735822,-27.83257294,0.576098502,1.828283191,0
Panchagarh ,26.2708705,88.5951751,1/26/1998,0.0,0.0,281.7000427,291.0011292,,0.0,-5e-10,-6.68e-05,101093.9453,33.00405502,0.038998164,-11.45174026,-0.130489215,0.438967675,0
Panchagarh ,26.2708705,88.5951751,1/27/1998,0.0,0.0,284.193634,292.4368896,,0.0,-5e-10,-6.15e-05,101202.1953,41.16438293,0.458176285,3.955912352,-0.719849289,-1.662823319,0
Panchagarh ,26.2708705,88.5951751,1/28/1998,0.0,0.0,284.6504822,291.6853943,,0.0,-5e-10,-4.46e-05,101350.6641,43.25462341,0.320106536,23.84983063,-0.288428783,-2.117614985,0
Panchagarh ,26.2708705,88.5951751,1/29/1998,9.43e-06,8.782226563,285.0159607,292.2242737,,9.46e-06,2.91e-06,-4.71e-05,101231.4141,47.85680008,0.302095264,29.17928505,0.111792915,0.074890487,0
Panchagarh ,26.2708705,88.5951751,1/30/1998,8.25e-06,4.441019535,286.5506897,293.4024353,,8.2e-06,5.82e-06,-5.05e-05,101146.8438,42.4740715,0.141702145,14.67109203,0.743053973,2.098052263,0
Panchagarh ,26.2708705,88.5951751,1/31/1998,1.22e-06,1.343444824,286.764679,293.1692505,,1.19e-06,1.34e-07,-4.33e-05,101174.9297,40.50325394,0.367386133,6.031360149,0.501247466,1.154223919,0
Panchagarh ,26.2708705,88.5951751,2/1/1998,9.68e-07,2.023885012,286.464447,293.1593628,,9.1e-07,4.73e-07,-3.61e-05,101079.9766,38.75270844,0.581665576,15.69873047,-0.459578633,0.137135059,0
