District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Patuakhali ,22.2248632,90.4547503,1/1/1998,0.0,0.0,286.6362915,292.3506165,,0.0,-5e-10,-0.000101691,101664.5547,11.68035984,0.372383624,-15.50799179,-3.84218812,1.080214858,0
Patuakhali ,22.2248632,90.4547503,1/2/1998,0.0,0.0,284.392334,290.4461975,,0.0,-5e-10,-0.000101423,101712.6953,2.587997913,0.0,-22.70154762,-3.151405335,1.313578486,0
Patuakhali ,22.2248632,90.4547503,1/3/1998,0.0,0.0,284.189209,289.561554,,0.0,-5e-10,-9.49e-05,101853.3672,5.843467712,0.0,-47.0070343,-3.249736548,1.288060308,0
Patuakhali ,22.2248632,90.4547503,1/4/1998,0.0,0.0,285.6025085,289.4970398,,0.0,-5e-10,-8.12e-05,101743.375,14.7013979,0.635116398,-40.38398361,-2.884388924,1.481467605,0
Patuakhali ,22.2248632,90.4547503,1/5/1998,0.0,0.0,285.7467957,289.1895142,,0.0,-5e-10,-6.43e-05,101603.1016,17.89055252,0.459837675,-35.60306168,-1.230834127,1.327011228,0
Patuakhali ,22.2248632,90.4547503,1/6/1998,0.0,0.0,285.9199524,289.3798523,,0.0,-5e-10,-7.54e-05,101632.7891,16.79183578,0.040581971,-22.82701111,-2.039687872,0.140792728,0
Patuakhali ,22.2248632,90.4547503,1/7/1998,0.0,0.0,285.5959473,289.1822205,,0.0,-5e-10,-8.62e-05,101699.7734,19.03014755,0.150260165,-16.8912468,-2.640031338,0.451352388,0
Patuakhali ,22.2248632,90.4547503,1/8/1998,0.0,0.0,285.3452454,288.8379822,,0.0,-5e-10,-8.39e-05,101581.6484,15.31907654,0.357524723,-16.56765938,-2.396084547,0.940645874,0
Patuakhali ,22.2248632,90.4547503,1/9/1998,0.0,0.0,285.5090332,289.5742798,,0.0,-5e-10,-9.1e-05,101411.2266,15.34807682,0.036341742,-16.81246376,-2.617697001,0.929223716,0
Patuakhali ,22.2248632,90.4547503,1/10/1998,0.0,0.0,285.0982666,289.5117188,,0.0,-5e-10,-9.57e-05,101453.5234,19.54993629,0.407593012,-28.73482704,-2.844844818,0.737827063,0
Patuakhali ,22.2248632,90.4547503,1/11/1998,0.0,0.0,284.9724731,289.1146545,,0.0,-5e-10,-8.68e-05,101370.6797,10.76836777,0.460290343,-34.37057114,-2.494804621,1.155314684,0
