District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Pirojpur ,22.5790744,89.9759264,1/1/1998,0.0,0.0,286.0441895,291.5003967,,0.0,-5e-10,-9.71e-05,101665.2109,13.07735062,0.35165742,-14.4656229,-3.096985817,0.933865309,0
Pirojpur ,22.5790744,89.9759264,1/2/1998,0.0,0.0,283.6789856,289.5058594,,0.0,-5e-10,-9.86e-05,101708.8047,2.944817305,0.003619043,-23.4871769,-2.544986486,1.377683997,0
Pirojpur ,22.5790744,89.9759264,1/3/1998,0.0,0.0,283.5859375,288.5654297,,0.0,-5e-10,-9.11e-05,101852.6328,7.400951862,0.009840462,-46.44430542,-2.542435408,1.215291977,0
Pirojpur ,22.5790744,89.9759264,1/4/1998,0.0,0.0,285.2193298,288.7811279,,0.0,-5e-10,-8.22e-05,101734.2422,17.04279709,0.658534646,-38.53785706,-2.297515392,1.593165517,0
Pirojpur ,22.5790744,89.9759264,1/5/1998,0.0,0.0,285.278595,288.3354492,,0.0,-5e-10,-7.24e-05,101578.0078,20.53833961,0.421388835,-31.89660645,-1.011707783,1.605593085,0
Pirojpur ,22.5790744,89.9759264,1/6/1998,0.0,0.0,285.1746521,288.5522766,,0.0,-5e-10,-8.19e-05,101607.4063,16.16816902,0.058833588,-22.45198631,-1.900709748,0.487565428,0
Pirojpur ,22.5790744,89.9759264,1/7/1998,0.0,0.0,284.8813782,288.0916443,,0.0,-5e-10,-8.69e-05,101684.1875,18.75003624,0.161222205,-16.61388588,-2.124809027,0.52238816,0
Pirojpur ,22.5790744,89.9759264,1/8/1998,0.0,0.0,284.700531,287.9874268,,0.0,-5e-10,-8.85e-05,101561.9688,16.18301582,0.33112517,-15.29543972,-1.997808576,1.205153108,0
Pirojpur ,22.5790744,89.9759264,1/9/1998,0.0,0.0,284.6781921,288.6740723,,0.0,-5e-10,-9.52e-05,101392.3672,16.46060181,0.066858172,-15.21031284,-2.107728481,1.020002365,0
Pirojpur ,22.5790744,89.9759264,1/10/1998,0.0,0.0,284.2136841,288.4247742,,0.0,-5e-10,-9.76e-05,101442.1563,20.63835907,0.434534282,-27.90712738,-2.246771574,0.747837544,0
Pirojpur ,22.5790744,89.9759264,1/11/1998,0.0,0.0,284.3924561,288.3189087,,0.0,-5e-10,-8.94e-05,101346.9609,11.82308865,0.409461647,-33.65511322,-2.074324369,1.349278092,0
Pirojpur ,22.5790744,89.9759264,1/12/1998,0.0,0.0,285.5749817,289.4394226,,0.0,-5e-10,-8.88e-05,101096.7578,25.15294075,0.004661774,-4.504651547,0.377382249,1.546856523,0
Pirojpur ,22.5790744,89.9759264,1/13/1998,9.32e-06,94.11251068,289.6366272,293.3881836,240.3293915,8.97e-06,9.78e-07,-7.72e-05,100998.2734,28.61928558,0.215386391,15.23344135,1.771509767,1.060536146,0
Pirojpur ,22.5790744,89.9759264,1/14/1998,4.12e-06,27.10964012,288.1735229,292.5844116,322.28302,4.12e-06,-5e-10,-8.06e-05,101144.5703,27.76687813,0.709529936,-11.55182362,-1.320949435,0.286714494,0
Pirojpur ,22.5790744,89.9759264,1/15/1998,0.0,0.0,286.1660767,291.2440491,,0.0,-5e-10,-0.00010193,101070.3359,19.08394241,0.19621031,-1.816018701,0.226966664,1.728221297,0
