District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Rajbari ,23.715134,89.5874819,1/1/1998,0.0,0.070353188,285.107605,289.9714661,,0.0,-5e-10,-9.19e-05,101701.1563,10.28307247,0.551573873,-24.2422924,-2.387176752,1.755450606,0
Rajbari ,23.715134,89.5874819,1/2/1998,0.0,0.0,283.793457,288.4932556,,0.0,-5e-10,-9.09e-05,101726.2813,2.714195967,0.112898588,-39.90268326,-1.878786445,1.928045392,0
Rajbari ,23.715134,89.5874819,1/3/1998,0.0,0.0,283.8557129,287.9124146,,0.0,-5e-10,-8.63e-05,101868.4063,13.16306591,0.003194318,-37.77269745,-2.080270052,1.560417652,0
Rajbari ,23.715134,89.5874819,1/4/1998,0.0,0.0,285.0392151,288.1896667,,0.0,-5e-10,-8.23e-05,101734.5547,22.74591827,0.807593763,-28.44696808,-1.801621914,2.144190311,0
Rajbari ,23.715134,89.5874819,1/5/1998,0.0,0.0,285.5323792,288.5220337,,0.0,-5e-10,-7.8e-05,101554.6563,26.54344749,0.33088544,-20.30900955,-0.857378781,1.555797458,0
Rajbari ,23.715134,89.5874819,1/6/1998,3.59e-08,0.093831383,285.0751953,288.034729,,0.0,-5e-10,-7.46e-05,101602.4297,20.48197174,0.147378668,-14.6523428,-1.215353608,0.732351244,0
Rajbari ,23.715134,89.5874819,1/7/1998,0.0,0.017598471,284.7984314,287.4614868,,0.0,-5e-10,-8.15e-05,101693.75,17.84601021,0.349589139,-17.47535133,-1.487342715,0.971746743,0
Rajbari ,23.715134,89.5874819,1/8/1998,0.0,0.0,284.747406,287.6242981,,0.0,-5e-10,-8.49e-05,101553.8047,20.64993858,0.367377877,-10.23526573,-1.446176648,1.622469783,0
Rajbari ,23.715134,89.5874819,1/9/1998,0.0,0.0,284.744873,288.0799866,,0.0,-5e-10,-8.74e-05,101386.8672,20.822855,0.229034722,-12.48557568,-1.37742281,1.508696914,0
Rajbari ,23.715134,89.5874819,1/10/1998,0.0,0.0,284.107666,287.6672668,,0.0,-5e-10,-8.93e-05,101450.7422,22.06063843,0.359235674,-26.15262032,-1.75859654,1.260232091,0
Rajbari ,23.715134,89.5874819,1/11/1998,0.0,0.0,284.3666077,287.6725159,,0.0,-5e-10,-8.07e-05,101320.2734,18.87846184,0.283310831,-25.08849907,-0.967839241,1.879618764,0
Rajbari ,23.715134,89.5874819,1/12/1998,0.0,0.0,284.3282471,288.1473694,,0.0,-5e-10,-8.88e-05,101045.5391,25.31828499,0.011351788,0.150811195,0.6538468,1.408378482,0
Rajbari ,23.715134,89.5874819,1/13/1998,2.29e-06,44.69779587,287.2988586,291.1805725,129.127594,2.33e-06,5.1e-07,-6.48e-05,100941.0859,31.36842918,0.265413374,14.47319126,1.249282241,0.639155567,0
Rajbari ,23.715134,89.5874819,1/14/1998,8.25e-07,4.804728031,285.9180603,290.8162537,,8.38e-07,5.33e-08,-9.04e-05,101140.0625,25.64956665,0.192338839,-26.09068298,-1.217796803,1.286819696,0
Rajbari ,23.715134,89.5874819,1/15/1998,0.0,0.0,285.0722961,290.0219421,,0.0,-5e-10,-9.97e-05,101017.1797,20.51532745,0.267294735,2.354969263,0.461984247,1.931617618,0
Rajbari ,23.715134,89.5874819,1/16/1998,0.0,0.217000321,287.5017395,292.4723816,,0.0,-5e-10,-8.58e-05,100974.7266,31.47730446,0.107459851,-15.83996487,-0.096847333,0.69765687,0
