District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Rajshahi ,24.3733087,88.6048716,1/1/1998,3.59e-08,0.457580566,283.5813293,288.7512817,,0.0,-5e-10,-9.51e-05,101611.8672,9.850584984,0.475838512,-29.99405479,-2.159964323,1.693719387,0
Rajshahi ,24.3733087,88.6048716,1/2/1998,0.0,0.0,282.6722107,287.3808594,,0.0,-5e-10,-8.97e-05,101631.1641,3.739470244,0.15954876,-42.68505478,-1.81027019,2.064341784,0
Rajshahi ,24.3733087,88.6048716,1/3/1998,0.0,0.0,283.7145691,287.5319519,,0.0,-5e-10,-8.32e-05,101770.7188,18.88271904,0.00032935,-30.92418098,-2.259917021,1.693697929,0
Rajshahi ,24.3733087,88.6048716,1/4/1998,0.0,0.0,284.0371704,287.3869934,,0.0,-5e-10,-8.14e-05,101637.6953,24.95869446,0.781093121,-25.66973305,-1.753948212,2.010888577,0
Rajshahi ,24.3733087,88.6048716,1/5/1998,0.0,0.0,284.521637,287.2702026,,0.0,-5e-10,-7.47e-05,101431.4141,28.86470222,0.078647405,-16.15365791,-1.123335719,1.797823906,0
Rajshahi ,24.3733087,88.6048716,1/6/1998,0.0,0.0,284.2426147,287.1602478,,0.0,-5e-10,-7.71e-05,101472.7813,20.53195572,0.01568103,-12.15133667,-1.086450696,1.120363593,0
Rajshahi ,24.3733087,88.6048716,1/7/1998,0.0,0.0,284.3896179,286.9294434,,0.0,-5e-10,-7.82e-05,101574.5,17.97013092,0.255963296,-16.53850365,-1.601759553,0.936389267,0
Rajshahi ,24.3733087,88.6048716,1/8/1998,0.0,0.0,284.6691589,287.5632629,,0.0,-5e-10,-7.88e-05,101434.3203,20.9326725,0.309862346,-10.29773235,-1.431604385,1.298733831,0
Rajshahi ,24.3733087,88.6048716,1/9/1998,0.0,0.0,284.2350769,287.3808289,,0.0,-5e-10,-8.39e-05,101265.25,21.83526421,0.251537383,-15.31711864,-1.352234483,1.810144424,0
Rajshahi ,24.3733087,88.6048716,1/10/1998,0.0,0.0,283.6427612,286.881012,,0.0,-5e-10,-8.39e-05,101337.5391,23.17044067,0.531658351,-24.13427734,-1.915022731,1.103251815,0
Rajshahi ,24.3733087,88.6048716,1/11/1998,0.0,0.0,284.1128235,287.449707,,0.0,-5e-10,-8.28e-05,101186.4141,20.22551727,0.285743445,-21.98873329,-1.263394952,1.925863743,0
Rajshahi ,24.3733087,88.6048716,1/12/1998,0.0,0.0,283.8614807,288.0401306,,0.0,-5e-10,-8.87e-05,100888.2578,25.58963585,0.036121752,2.055930138,0.494350463,1.498558044,0
Rajshahi ,24.3733087,88.6048716,1/13/1998,1.14e-05,62.79634476,287.0209045,290.8522644,87.75595093,1.05e-05,3.93e-06,-7.43e-05,100778.4688,32.09993362,0.237979338,7.967372417,0.293061286,1.487884522,0
Rajshahi ,24.3733087,88.6048716,1/14/1998,0.0,0.087992348,284.669281,290.0011292,,0.0,-5e-10,-9.79e-05,101017.4609,22.70370483,0.063462935,-29.96384239,-1.390092492,1.729098201,0
Rajshahi ,24.3733087,88.6048716,1/15/1998,0.0,0.0,284.727356,289.2337646,,0.0,-5e-10,-9.6e-05,100864.2109,21.12820625,0.27697432,3.686255693,0.424126267,2.190456629,0
Rajshahi ,24.3733087,88.6048716,1/16/1998,3.59e-08,3.150370359,285.704071,291.2038269,,2.39e-08,-5e-10,-9.55e-05,100821.3203,31.92152405,0.147463873,-18.32526016,-0.476032019,0.834060133,0
Rajshahi ,24.3733087,88.6048716,1/17/1998,5.13e-05,0.041056316,285.9872742,292.0719604,,5.09e-05,-5e-10,-8.78e-05,101164.25,42.21628189,0.450398415,2.526884317,-1.473375678,-0.228332415,0
Rajshahi ,24.3733087,88.6048716,1/18/1998,0.0,1.842102051,286.3460999,290.7638855,,0.0,-5e-10,-6.91e-05,101188.4688,40.18924332,0.307537168,1.432472348,-1.29695034,0.530666053,0
Rajshahi ,24.3733087,88.6048716,1/19/1998,0.0,0.0,282.1153259,288.4560547,,0.0,-5e-10,-0.00010423,101393.3516,21.34734535,0.056705531,-33.0406456,-1.853468418,1.15967834,0
Rajshahi ,24.3733087,88.6048716,1/20/1998,3.8e-05,0.111429848,283.7049866,290.037262,,3.8e-05,3.26e-05,-9.56e-05,101435.9766,26.57111168,0.431442946,-5.404865742,-1.064938068,0.567734718,0
Rajshahi ,24.3733087,88.6048716,1/21/1998,5.06e-05,5.819620609,284.9442139,287.0153503,,5.07e-05,1.7e-05,-4.23e-05,101292.8984,35.6345253,0.681266129,7.784429073,0.882594287,-0.08005777,0
Rajshahi ,24.3733087,88.6048716,1/22/1998,7.17e-08,0.891662598,284.7311707,288.2401428,,0.0,-5e-10,-7.58e-05,101478.5703,25.18585205,0.419343442,-32.5402298,-0.690812588,-0.353912443,0
Rajshahi ,24.3733087,88.6048716,1/23/1998,0.0,0.0,284.1656799,288.8860168,,0.0,-5e-10,-9.41e-05,101425.3125,22.1531353,0.286407858,-30.92584229,-1.896169543,1.284787655,0
Rajshahi ,24.3733087,88.6048716,1/24/1998,0.0,0.0,283.983429,289.3896484,,0.0,-5e-10,-9.73e-05,101588.0078,8.914588928,0.468154073,-31.54733467,-1.983646989,1.336144805,0
