District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Rangamati Hill ,22.7324173,92.2985134,1/1/1998,0.0,0.0,288.0421448,292.0465698,,0.0,-5e-10,-0.000117715,100438.7188,25.41374969,0.546184719,-3.585402727,-2.124203444,0.839108169,0
Rangamati Hill ,22.7324173,92.2985134,1/2/1998,0.0,0.005859375,286.8398743,290.7922363,,0.0,-5e-10,-0.000112228,100503.2188,2.612198114,0.026635436,-29.76813316,-1.616807818,0.703838527,0
Rangamati Hill ,22.7324173,92.2985134,1/3/1998,0.0,0.0,286.0144043,289.7592468,,0.0,-5e-10,-0.000114202,100630.0,7.395309925,0.006650593,-44.67386246,-1.563750386,0.527051151,0
Rangamati Hill ,22.7324173,92.2985134,1/4/1998,0.0,0.029317221,286.9004822,290.0640869,,0.0,-5e-10,-9.59e-05,100547.8516,7.226798534,0.697125256,-45.02441406,-0.933029831,0.291933626,0
Rangamati Hill ,22.7324173,92.2985134,1/5/1998,2.29e-06,0.134867355,286.8022461,289.2378845,,0.0,-5e-10,-8.37e-05,100452.0234,13.12560272,0.789396823,-42.02647018,-0.027098782,0.064623363,0
Rangamati Hill ,22.7324173,92.2985134,1/6/1998,1.08e-07,0.041035969,286.3100281,288.8946533,,0.0,-5e-10,-9.63e-05,100475.1484,17.71422005,0.148788914,-23.28210258,-0.857205868,0.199892953,0
Rangamati Hill ,22.7324173,92.2985134,1/7/1998,0.0,0.058634441,285.7360535,288.5675964,,0.0,-5e-10,-0.000102786,100515.4609,17.19171143,0.1640573,-19.82544136,-1.231742144,0.194203258,0
Rangamati Hill ,22.7324173,92.2985134,1/8/1998,0.0,0.046915691,285.3147888,288.4227295,,0.0,-5e-10,-0.000103373,100405.9609,15.8748436,0.433420301,-14.380723,-1.062732697,0.359632582,0
Rangamati Hill ,22.7324173,92.2985134,1/9/1998,0.0,0.005859375,285.6766663,289.2532654,,0.0,-5e-10,-0.000107583,100231.5,16.54013252,0.087003879,-14.42460728,-1.378503799,0.384316474,0
Rangamati Hill ,22.7324173,92.2985134,1/10/1998,0.0,0.0,285.9550476,289.7445068,,0.0,-5e-10,-0.000113994,100256.3984,17.09703636,0.439468145,-30.63420677,-1.564485431,0.422155172,0
Rangamati Hill ,22.7324173,92.2985134,1/11/1998,0.0,0.0,285.5137634,289.2347717,,0.0,-5e-10,-0.000105819,100192.7578,9.676629067,0.414160937,-37.30347824,-0.976941586,0.529617965,0
Rangamati Hill ,22.7324173,92.2985134,1/12/1998,1.43e-06,0.070353188,285.618988,289.283905,,0.0,-5e-10,-0.000103286,100009.9922,14.32958317,0.300955236,-17.11142921,-0.285012722,0.272939414,0
Rangamati Hill ,22.7324173,92.2985134,1/13/1998,8.61e-06,19.41259766,287.2038269,291.6138306,29.60293579,8.57e-06,1.41e-05,-9.75e-05,99988.46875,27.0973835,0.365801066,14.74194241,0.212675348,-0.166301772,0
Rangamati Hill ,22.7324173,92.2985134,1/14/1998,5.16e-06,54.03741455,288.4527283,292.10495,125.2055359,5.04e-06,3.27e-07,-8.2e-05,100064.0547,25.62244606,0.784784019,-13.61223984,-0.324362487,-0.125190422,0
Rangamati Hill ,22.7324173,92.2985134,1/15/1998,1.08e-07,2.528442383,287.9953308,291.7376709,,0.0,-5e-10,-9e-05,99983.25781,24.7085743,0.400885195,5.508891583,0.357058734,0.265153468,0
Rangamati Hill ,22.7324173,92.2985134,1/16/1998,7.17e-08,8.58280468,287.8262329,292.4767151,,2.39e-08,-5e-10,-9.75e-05,100014.1563,28.35698891,0.246536732,-11.97413349,0.596530139,0.04768258,0
Rangamati Hill ,22.7324173,92.2985134,1/17/1998,3.23e-07,3.971618652,289.3165283,293.0392761,,2.04e-07,-5e-10,-8.13e-05,100222.2422,35.08939743,0.531468868,-0.728026867,-0.223112509,-0.236096978,0
Rangamati Hill ,22.7324173,92.2985134,1/18/1998,0.00020114,24.72184181,289.8332825,291.2532654,,9.47e-05,2.28e-05,-3.87e-05,100245.4922,42.50876617,0.935379267,30.10593605,0.655035913,-0.429504246,0
Rangamati Hill ,22.7324173,92.2985134,1/19/1998,0.000222043,14.85418701,290.8539124,292.0970764,,0.000191793,3.22e-05,-6.43e-05,100380.25,42.11695862,0.913301289,29.40762329,-0.969828367,-0.024572427,0
