District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Rangpur ,25.7467925,89.2508335,1/1/1998,0.0,0.0,284.3916321,289.2798462,,0.0,-5e-10,-6.27e-05,101329.7813,27.8317585,0.638029695,-21.21103668,-0.458908409,2.249856234,0
Rangpur ,25.7467925,89.2508335,1/2/1998,0.0,0.0,283.7990112,288.9727783,,0.0,-5e-10,-6.28e-05,101326.8047,26.70488167,0.252969235,-23.07483864,-0.288990915,2.26902175,0
Rangpur ,25.7467925,89.2508335,1/3/1998,0.0,0.0,284.4448242,288.7269592,,0.0,-5e-10,-6.18e-05,101491.3516,30.15049171,0.013400376,-6.38053894,-0.670337737,1.745440126,0
Rangpur ,25.7467925,89.2508335,1/4/1998,0.0,0.0,285.0470276,288.6020508,,0.0,-5e-10,-6.28e-05,101343.9453,29.36251831,0.498441607,-4.006655693,-0.683785856,1.721569061,0
Rangpur ,25.7467925,89.2508335,1/5/1998,0.0,0.0,285.5305481,288.8198547,,0.0,-5e-10,-6.09e-05,101143.9453,36.90972137,0.488157362,3.791550398,0.01711566,1.621721149,0
Rangpur ,25.7467925,89.2508335,1/6/1998,0.0,2.199930906,285.0350647,288.4841614,,0.0,-5e-10,-5.48e-05,101217.9609,34.10826492,0.251927763,8.995842934,0.497788191,1.482964873,0
Rangpur ,25.7467925,89.2508335,1/7/1998,2.15e-07,0.703959167,284.7780457,288.2621155,,2.52e-07,-5e-10,-5.67e-05,101335.6016,25.36030006,0.599671185,6.938146114,-1.080850959,-0.03291449,0
Rangpur ,25.7467925,89.2508335,1/8/1998,0.0,0.0,284.9208679,288.6505432,,0.0,-5e-10,-6.72e-05,101161.6875,28.42177391,0.19655174,-2.048890114,-0.297141939,1.626533628,0
Rangpur ,25.7467925,89.2508335,1/9/1998,0.0,0.01171875,284.7843628,289.6802673,,0.0,-5e-10,-6.54e-05,100984.1641,31.59043884,0.453997731,-7.160049439,-0.112392642,1.860838532,0
Rangpur ,25.7467925,89.2508335,1/10/1998,0.0,0.146606445,284.4378967,288.7425232,,0.0,-5e-10,-6.32e-05,101083.1797,28.5645504,0.553310931,-15.26454639,-0.752258778,0.956602752,0
