District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Satkhira ,22.3154812,89.1114525,1/1/1998,0.0,0.05279541,287.3702087,291.7725525,,0.0,-5e-10,-0.000108056,101736.6016,19.22206688,0.384076208,-6.486135006,-3.204722166,0.00500978,0
Satkhira ,22.3154812,89.1114525,1/2/1998,0.0,0.0,283.8754272,289.6233215,,0.0,-5e-10,-0.000132887,101793.0313,8.546732903,0.0021376,-14.81391048,-2.927587271,0.855107784,0
Satkhira ,22.3154812,89.1114525,1/3/1998,0.0,0.0,283.7292175,288.5959778,,0.0,-5e-10,-0.000118278,101944.3672,7.731888294,0.015825996,-44.49151993,-2.833212853,0.839685679,0
Satkhira ,22.3154812,89.1114525,1/4/1998,0.0,0.0,284.8777771,288.7568665,,0.0,-5e-10,-0.000102681,101823.5313,15.31803799,0.675510824,-43.2841835,-2.590563059,1.285557747,0
Satkhira ,22.3154812,89.1114525,1/5/1998,0.0,0.0,284.899231,289.034668,,0.0,-5e-10,-8.1e-05,101651.4063,18.14492798,0.317775011,-32.15901184,-1.454370976,1.407758117,0
Satkhira ,22.3154812,89.1114525,1/6/1998,0.0,0.0,284.9105225,289.2277527,,0.0,-5e-10,-9.09e-05,101665.0938,17.00236321,0.0,-21.50003052,-2.012164831,0.39096877,0
Satkhira ,22.3154812,89.1114525,1/7/1998,0.0,0.0,285.0255432,288.406189,,0.0,-5e-10,-9.33e-05,101749.0391,18.04555321,0.18084465,-17.24648285,-2.441163778,-0.088699281,0
Satkhira ,22.3154812,89.1114525,1/8/1998,0.0,0.0,285.0774841,288.749054,,0.0,-5e-10,-9.17e-05,101626.1641,18.64209938,0.331051409,-13.98915482,-2.413856745,0.358990908,0
Satkhira ,22.3154812,89.1114525,1/9/1998,0.0,0.0,285.1166687,289.2845764,,0.0,-5e-10,-9.86e-05,101457.7109,19.15990829,0.101122081,-13.81097031,-2.392819643,0.421085715,0
Satkhira ,22.3154812,89.1114525,1/10/1998,0.0,0.0,284.6505432,288.7773743,,0.0,-5e-10,-0.000104599,101510.9375,22.12947845,0.49553597,-25.81581688,-2.404473305,0.163209334,0
Satkhira ,22.3154812,89.1114525,1/11/1998,0.0,0.0,285.2729797,290.1024475,,0.0,-5e-10,-9.7e-05,101405.6953,14.56520367,0.391508222,-28.50422096,-2.135662556,0.473683447,0
Satkhira ,22.3154812,89.1114525,1/12/1998,0.0,0.0,286.7680969,290.4038086,,0.0,-5e-10,-8.28e-05,101143.4063,29.44734383,0.01950099,2.305721045,0.972839356,1.230478764,0
Satkhira ,22.3154812,89.1114525,1/13/1998,9.9e-06,101.1230698,290.4651794,293.914978,231.3956299,9.87e-06,2.63e-07,-7.47e-05,101019.4141,29.45610237,0.190608159,17.02979088,1.596425057,1.556203842,0
Satkhira ,22.3154812,89.1114525,1/14/1998,0.0,11.35186768,287.8363953,292.6956482,,0.0,-5e-10,-9.63e-05,101201.1953,27.47741508,0.626679182,-13.72961903,-2.299201727,0.488292694,0
Satkhira ,22.3154812,89.1114525,1/15/1998,0.0,0.0,287.3535156,292.8002014,,0.0,-5e-10,-0.000100286,101121.7188,24.91979408,0.251881987,1.951315403,0.097782672,1.270050049,0
Satkhira ,22.3154812,89.1114525,1/16/1998,1.36e-06,31.94962502,291.3374634,294.9233704,173.2497101,0.0,-5e-10,-8.03e-05,101022.5,33.14673233,0.260787815,-13.73014832,0.893318176,0.816242397,0
Satkhira ,22.3154812,89.1114525,1/17/1998,0.000238859,71.73712158,291.7698059,294.7854004,4.837188721,0.000189207,0.00011307,-7.7e-05,101285.5938,41.48522568,0.661370337,24.43824196,-0.741426766,-0.933535337,0
Satkhira ,22.3154812,89.1114525,1/18/1998,0.000696785,43.10789108,291.0475159,292.2099915,0.396743774,0.00037815,8.33e-05,-4.95e-05,101341.2422,42.82208252,0.91096282,34.07011032,-1.75922358,-0.067437753,0
Satkhira ,22.3154812,89.1114525,1/19/1998,0.000186799,15.5054121,289.3625793,291.6090393,,0.000183939,4.16e-05,-9.29e-05,101562.1563,38.72024536,0.751735151,30.23864937,-1.91154182,-0.017257087,0
Satkhira ,22.3154812,89.1114525,1/20/1998,3.37e-05,2.334818602,287.1734619,291.8674011,,2.3e-05,1.28e-05,-0.000123013,101596.8672,35.50431442,0.774363697,27.18617058,-1.861251831,-0.93999511,0
Satkhira ,22.3154812,89.1114525,1/21/1998,0.00066319,15.98052979,287.3228149,288.3007507,,0.000306612,6.04e-05,-8.3e-05,101471.4063,36.83810806,0.892273724,27.25936127,-1.99765718,-1.82942915,0
Satkhira ,22.3154812,89.1114525,1/22/1998,2.15e-07,1.812723756,287.2399597,289.9790344,,0.0,-5e-10,-0.000121662,101643.7422,16.2791729,0.218169987,-34.46498871,-2.17501235,-0.486679405,0
Satkhira ,22.3154812,89.1114525,1/23/1998,0.0,0.0,285.2891846,290.1209412,,0.0,-5e-10,-0.000135633,101608.0625,8.604437828,0.026313081,-39.05828476,-2.353448153,-0.056956705,0
