District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Shariatpur ,23.2423214,90.4347711,1/1/1998,0.0,0.0,286.8726807,291.5979309,,0.0,-5e-10,-0.000113297,101653.5859,9.619715691,0.383711249,-21.2192688,-3.021291733,1.891618609,0
Shariatpur ,23.2423214,90.4347711,1/2/1998,0.0,0.0,285.5458069,290.1354675,,0.0,-5e-10,-0.000107364,101689.1953,1.79314661,0.051822495,-34.27064133,-2.415326834,1.978461385,0
Shariatpur ,23.2423214,90.4347711,1/3/1998,0.0,0.0,285.3110352,289.4042664,,0.0,-5e-10,-0.000100548,101828.7109,8.8691082,0.01509354,-43.68315506,-2.565072298,1.689826369,0
Shariatpur ,23.2423214,90.4347711,1/4/1998,0.0,0.0,286.4486389,289.4859314,,0.0,-5e-10,-8.59e-05,101704.3828,17.82611656,0.742050409,-34.35780716,-2.045395851,2.029412031,0
Shariatpur ,23.2423214,90.4347711,1/5/1998,0.0,0.0,286.3613586,289.0647278,,0.0,-5e-10,-7.08e-05,101554.9766,23.98281097,0.381010979,-26.82729149,-1.028853059,1.615796089,0
Shariatpur ,23.2423214,90.4347711,1/6/1998,0.0,1.149820924,286.2267151,289.0404663,,0.0,-5e-10,-7.82e-05,101601.0625,18.81808472,0.182322264,-18.64779091,-1.634169102,0.728073299,0
Shariatpur ,23.2423214,90.4347711,1/7/1998,0.0,0.0,285.8557129,288.5437317,,0.0,-5e-10,-9e-05,101675.9688,18.45082283,0.196226195,-17.59597969,-1.916665912,0.895641565,0
Shariatpur ,23.2423214,90.4347711,1/8/1998,0.0,0.0,285.6943359,288.636261,,0.0,-5e-10,-9.17e-05,101544.7813,19.68850517,0.293449491,-10.79104519,-1.852798104,1.493723989,0
Shariatpur ,23.2423214,90.4347711,1/9/1998,0.0,0.0,286.0741272,289.3755493,,0.0,-5e-10,-9.49e-05,101376.4453,20.22418022,0.18326962,-10.35544014,-1.853792667,1.399309158,0
Shariatpur ,23.2423214,90.4347711,1/10/1998,0.0,0.0,285.6722107,289.1255493,,0.0,-5e-10,-9.83e-05,101429.4453,20.82354927,0.377150297,-27.41366386,-2.03754735,1.096535325,0
