District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Sherpur ,25.0746235,90.1494904,1/1/1998,0.0,0.0,285.5696716,289.8929443,,0.0,-5e-10,-7.94e-05,101352.1328,24.50086784,0.447183102,-23.71853828,-1.656157494,2.196295977,0
Sherpur ,25.0746235,90.1494904,1/2/1998,0.0,0.0,285.1157837,289.3340759,,0.0,-5e-10,-7.75e-05,101361.7422,20.37279701,0.247825518,-26.55325317,-1.163463831,1.952002168,0
Sherpur ,25.0746235,90.1494904,1/3/1998,0.0,0.0,285.0705872,289.0381165,,0.0,-5e-10,-7.82e-05,101510.5313,27.41278076,0.002866241,-13.9855299,-1.438458085,1.64995575,0
Sherpur ,25.0746235,90.1494904,1/4/1998,0.0,0.0,285.9397888,288.7520447,,0.0,-5e-10,-7.53e-05,101361.6563,26.79317284,0.75042218,-14.98182297,-0.931213677,1.735579372,0
Sherpur ,25.0746235,90.1494904,1/5/1998,0.0,0.082112633,285.6959229,288.165741,,0.0,-5e-10,-7.19e-05,101211.7109,31.50803947,0.339590341,-13.668437,-0.45966515,1.02472949,0
Sherpur ,25.0746235,90.1494904,1/6/1998,2.47e-06,3.901224852,285.4272156,287.6737976,,2.41e-06,1.57e-08,-5.85e-05,101287.9297,32.98193359,0.297740579,4.859374523,-0.61825335,0.871962965,0
Sherpur ,25.0746235,90.1494904,1/7/1998,0.0,0.099711098,285.1226807,287.804718,,0.0,-5e-10,-7.53e-05,101360.3984,22.57023048,0.477578729,-0.457010895,-0.91045779,0.866358817,0
Sherpur ,25.0746235,90.1494904,1/8/1998,0.0,0.0,285.0752869,287.8788452,,0.0,-5e-10,-7.69e-05,101212.2891,25.06079102,0.235176042,-5.900520325,-0.750291288,1.354625702,0
Sherpur ,25.0746235,90.1494904,1/9/1998,0.0,0.0,285.0059814,288.5248108,,0.0,-5e-10,-8.08e-05,101049.25,30.05057335,0.255634576,-3.841538668,-0.944251061,1.482900739,0
Sherpur ,25.0746235,90.1494904,1/10/1998,0.0,0.0,284.6149902,288.1311035,,0.0,-5e-10,-7.95e-05,101115.5859,26.96089172,0.549997091,-19.19669533,-0.977374017,1.362924933,0
Sherpur ,25.0746235,90.1494904,1/11/1998,0.0,0.0,284.7823181,288.0466919,,0.0,-5e-10,-7.48e-05,100970.4922,28.6903019,0.334660262,-13.27422619,-0.635204017,1.369769692,0
Sherpur ,25.0746235,90.1494904,1/12/1998,8.25e-07,0.838867188,284.7230835,288.0105286,,7.78e-07,-5e-10,-6.26e-05,100733.9375,33.93460846,0.302102238,7.347993374,0.354204774,0.086205773,0
Sherpur ,25.0746235,90.1494904,1/13/1998,5.71e-05,26.64620018,286.059082,289.8004456,,5.7e-05,1.46e-05,-6.67e-05,100678.4141,32.28136063,0.388068467,16.5914669,0.37597689,-1.331109047,0
Sherpur ,25.0746235,90.1494904,1/14/1998,6.74e-06,8.301167488,286.0928955,290.0713806,,6.7e-06,7.31e-07,-8.15e-05,100830.4297,25.8848896,0.276449144,-13.20556545,-0.221880123,0.26797697,0
Sherpur ,25.0746235,90.1494904,1/15/1998,0.0,0.005859375,284.9158936,289.2719421,,0.0,-5e-10,-8.26e-05,100679.8672,27.24476433,0.334149718,7.989050388,0.461789638,1.026034236,0
Sherpur ,25.0746235,90.1494904,1/16/1998,0.0,1.079447389,285.3738708,289.8303223,,0.0,-5e-10,-8.65e-05,100695.0859,29.56517792,0.057376307,-14.64494038,0.453422397,-1.003587246,0
Sherpur ,25.0746235,90.1494904,1/17/1998,0.0,2.053263426,285.7983704,291.1836853,,0.0,-5e-10,-7.9e-05,101017.7266,39.46936798,0.445233077,-15.45323086,-0.655830205,-0.240802705,0
Sherpur ,25.0746235,90.1494904,1/18/1998,0.0,2.680989504,285.7392578,291.1977844,,1.2e-08,4.9e-09,-6.38e-05,101009.4766,42.17070389,0.3947725,-1.121181369,-1.270940542,0.602643013,0
Sherpur ,25.0746235,90.1494904,1/19/1998,0.0,0.0,282.1486206,288.9837341,,0.0,-5e-10,-9.94e-05,101195.2734,26.00549507,0.049944937,-28.15336609,-1.259676099,1.326433778,0
Sherpur ,25.0746235,90.1494904,1/20/1998,4.57e-05,0.0,283.9473572,289.6929016,,4.56e-05,1.26e-06,-9.33e-05,101251.0547,20.81543159,0.355748892,-29.14898109,-0.346502096,0.933373392,0
Sherpur ,25.0746235,90.1494904,1/21/1998,5.55e-05,0.087972008,284.5814819,286.8205872,,5.54e-05,3.55e-06,-6.62e-05,101142.7578,28.59488678,0.577541053,-1.720921159,0.458135724,-1.173807859,0
