District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Sunamganj ,25.0714535,91.3991627,1/1/1998,0.0,0.0,285.8223572,289.8581848,,0.0,-5e-10,-8.17e-05,100764.6797,23.69384193,0.401580781,-25.95215607,0.046800941,0.738404572,0
Sunamganj ,25.0714535,91.3991627,1/2/1998,0.0,0.0,284.9177551,288.7287903,,0.0,-5e-10,-8.18e-05,100787.6484,21.38574982,0.237845823,-25.33806419,0.082669772,0.879000247,0
Sunamganj ,25.0714535,91.3991627,1/3/1998,0.0,0.0,284.7649841,288.360199,,0.0,-5e-10,-8.22e-05,100947.2266,33.0063324,0.022567511,-5.501699925,-0.128716305,0.548590779,0
Sunamganj ,25.0714535,91.3991627,1/4/1998,0.0,0.0,285.613678,288.6459045,,0.0,-5e-10,-8.18e-05,100810.9609,26.15327263,0.762649477,-12.08328152,0.065567769,0.83739692,0
Sunamganj ,25.0714535,91.3991627,1/5/1998,0.0,0.046915691,285.5110168,288.6205139,,0.0,-5e-10,-7.87e-05,100689.2891,26.80123901,0.340625435,-17.39694786,0.189519525,0.045094416,0
Sunamganj ,25.0714535,91.3991627,1/6/1998,0.0,0.791971862,284.6254883,287.6173096,,0.0,-5e-10,-7.14e-05,100756.7109,33.37879181,0.26169005,3.418941259,-0.095247395,0.069970846,0
Sunamganj ,25.0714535,91.3991627,1/7/1998,7.17e-08,0.035176594,284.3857727,286.9339294,,0.0,-5e-10,-7.73e-05,100824.1484,24.21392632,0.499893814,2.664205313,-0.179611564,0.491886228,0
Sunamganj ,25.0714535,91.3991627,1/8/1998,3.59e-07,0.0,284.2451477,287.092926,,0.0,-5e-10,-8.04e-05,100681.8984,24.94914246,0.320639998,-3.42882061,0.125132933,0.235721007,0
Sunamganj ,25.0714535,91.3991627,1/9/1998,7.17e-07,0.017598471,284.6590271,287.6459656,,0.0,-5e-10,-7.73e-05,100506.9297,28.94482613,0.334009856,-2.818581343,0.109068714,0.544312775,0
Sunamganj ,25.0714535,91.3991627,1/10/1998,8.96e-07,0.0,284.6585693,287.8242493,,0.0,-5e-10,-7.92e-05,100572.0859,28.66130257,0.483384967,-16.92372704,-0.093020439,0.397043496,0
Sunamganj ,25.0714535,91.3991627,1/11/1998,3.59e-08,0.0,284.4992981,287.4408875,,0.0,-5e-10,-7.43e-05,100441.6328,26.66479492,0.358647555,-14.31818104,0.090388387,0.324874044,0
Sunamganj ,25.0714535,91.3991627,1/12/1998,8.32e-06,0.070373535,284.6506958,287.4801636,,1.2e-07,-5e-10,-7.55e-05,100233.0391,34.26801682,0.288831592,5.168157578,-0.203307867,-0.154152319,0
Sunamganj ,25.0714535,91.3991627,1/13/1998,6.23e-05,11.82116699,285.8450012,289.1902161,,6.09e-05,1.19e-05,-7.87e-05,100209.9766,32.34866714,0.380674005,17.74524879,-0.247846648,-0.446017236,0
Sunamganj ,25.0714535,91.3991627,1/14/1998,2.15e-05,5.11562109,285.8328552,289.0511169,,1.92e-05,2.31e-06,-8.94e-05,100327.3516,25.8870182,0.314601034,-4.01337862,-0.156131402,-0.354639649,0
Sunamganj ,25.0714535,91.3991627,1/15/1998,3.44e-06,0.0,284.9996643,288.5045776,,0.0,-5e-10,-8.51e-05,100181.1172,27.65087318,0.446216673,8.411738396,-0.0859937,0.299783707,0
