District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Sylhet ,24.8993357,91.8700473,1/1/1998,1.08e-07,0.0,285.8902283,289.5363159,,0.0,-5e-10,-8.04e-05,100310.0,22.73612022,0.428363711,-27.07171822,-0.130489215,0.567820251,0
Sylhet ,24.8993357,91.8700473,1/2/1998,0.0,0.0,284.7156067,288.5519104,,0.0,-5e-10,-8.23e-05,100332.1328,21.82575989,0.242047906,-24.8258667,-0.029541927,0.646855891,0
Sylhet ,24.8993357,91.8700473,1/3/1998,0.0,0.0,284.5250549,288.1023865,,0.0,-5e-10,-8.3e-05,100490.4063,34.02443314,0.000712109,-4.741450787,-0.229404151,0.422839671,0
Sylhet ,24.8993357,91.8700473,1/4/1998,0.0,0.0,285.221283,288.5884094,,0.0,-5e-10,-8.55e-05,100357.6328,24.16720772,0.687846839,-14.55505466,-0.059983954,0.598129749,0
Sylhet ,24.8993357,91.8700473,1/5/1998,0.0,0.041056316,285.5973511,288.5943604,,0.0,-5e-10,-8e-05,100236.5859,26.35900116,0.341190696,-17.71169662,-0.094750106,0.050762732,0
Sylhet ,24.8993357,91.8700473,1/6/1998,0.0,0.111450195,284.344696,287.3241577,,0.0,-5e-10,-7.44e-05,100301.6953,32.19564438,0.191902682,1.64087069,-0.200864747,-0.012829363,0
Sylhet ,24.8993357,91.8700473,1/7/1998,3.59e-08,0.052775066,284.2152405,286.9382629,,0.0,-5e-10,-8.03e-05,100365.75,23.0116787,0.487059951,1.379069924,-0.311887294,0.384851247,0
Sylhet ,24.8993357,91.8700473,1/8/1998,5.74e-07,0.0,284.1447449,286.9313965,,0.0,-5e-10,-8.06e-05,100227.3047,25.2020855,0.30436638,-2.756417036,-0.034817379,0.03072042,0
Sylhet ,24.8993357,91.8700473,1/9/1998,3.59e-07,0.005859375,284.6430664,287.3702393,,0.0,-5e-10,-7.86e-05,100053.9375,29.26720238,0.323971003,-2.13499856,-0.08164794,0.313152343,0
Sylhet ,24.8993357,91.8700473,1/10/1998,2.08e-06,0.029317221,284.5743103,287.7494202,,0.0,-5e-10,-8.01e-05,100117.7266,28.31739807,0.534258187,-16.82402229,-0.277186006,0.204384863,0
Sylhet ,24.8993357,91.8700473,1/11/1998,2.15e-07,0.0,284.6123047,287.2763977,,0.0,-5e-10,-7.31e-05,99989.21094,25.18817711,0.359479815,-15.4128952,-0.039141536,0.156428739,0
Sylhet ,24.8993357,91.8700473,1/12/1998,1.14e-05,0.246358231,284.7260437,287.4524841,,1.13e-06,-5e-10,-7.49e-05,99782.25781,33.39769745,0.260782749,4.115062237,-0.140953645,-0.16228047,0
Sylhet ,24.8993357,91.8700473,1/13/1998,8.86e-05,6.816915035,285.4915466,289.0339355,,8.36e-05,1.07e-05,-7.84e-05,99762.78906,32.08523178,0.429847688,17.64690399,-0.286266714,-0.170750856,0
Sylhet ,24.8993357,91.8700473,1/14/1998,3.85e-05,3.736999512,285.7327576,288.7241211,,3.43e-05,2.68e-07,-9.04e-05,99878.0,25.38088989,0.328719229,-2.814427137,-0.251046509,-0.339131981,0
Sylhet ,24.8993357,91.8700473,1/15/1998,4.34e-06,0.0,284.717804,288.3405457,,0.0,-5e-10,-8.46e-05,99729.0625,27.30984306,0.408953637,8.013524056,-0.197491929,0.349001795,0
Sylhet ,24.8993357,91.8700473,1/16/1998,4.66e-06,11.64518261,284.7376404,288.9848328,,2.69e-06,-5e-10,-8.43e-05,99794.4375,30.15979576,0.255896539,-5.399880886,-0.282483071,-0.51987648,0
Sylhet ,24.8993357,91.8700473,1/17/1998,3.59e-08,7.239318848,285.5379028,290.1651001,,0.0,-5e-10,-8.63e-05,100049.9063,36.9016037,0.507096946,-17.61259651,-0.346307516,-0.257101804,0
Sylhet ,24.8993357,91.8700473,1/18/1998,1.86e-05,9.01106739,287.110199,291.1769714,,1.65e-05,9.68e-06,-5.84e-05,100023.9766,41.83704376,0.548470497,9.901194572,0.288910121,-0.443963796,0
Sylhet ,24.8993357,91.8700473,1/19/1998,1.61e-06,0.586649597,284.1470642,289.505127,,1.51e-06,3.33e-07,-9.14e-05,100198.5078,27.96681404,0.125912383,-25.22498894,-0.358198971,0.11559546,0
Sylhet ,24.8993357,91.8700473,1/20/1998,1.98e-05,0.0,282.8153687,289.6383362,,1.86e-05,2.4e-05,-0.000103001,100273.3359,13.2297287,0.364205211,-34.88714981,-0.379689962,-0.160398141,0
Sylhet ,24.8993357,91.8700473,1/21/1998,0.000171991,0.140787765,283.9569397,285.2487183,,0.000146488,1.56e-05,-5.19e-05,100189.2422,28.84500694,0.6573838,2.240988255,-0.221188262,-0.913771153,0
Sylhet ,24.8993357,91.8700473,1/22/1998,0.0,0.052775066,283.8224792,287.3686218,,0.0,-5e-10,-8.26e-05,100291.5938,27.76865959,0.24615334,-14.35760975,-0.462129921,0.3095375,0
Sylhet ,24.8993357,91.8700473,1/23/1998,0.0,0.0,283.81073,288.1696472,,0.0,-5e-10,-9.07e-05,100214.7891,25.03708649,0.3156012,-30.17427826,-0.348383099,0.144985125,0
Sylhet ,24.8993357,91.8700473,1/24/1998,0.0,0.0,284.8176575,288.9517517,,0.0,-5e-10,-9.24e-05,100357.1328,26.19231987,0.630619943,-20.75042915,-0.138510495,0.321622759,0
Sylhet ,24.8993357,91.8700473,1/25/1998,0.0,0.0,285.0653076,290.0273132,,0.0,-5e-10,-9.43e-05,100433.7266,28.32853508,0.460704923,-23.97361755,-0.188216612,0.369578868,0
Sylhet ,24.8993357,91.8700473,1/26/1998,1.5e-05,0.0,285.5526733,289.8914185,,1.5e-05,4.56e-06,-9.22e-05,100380.7109,32.45635605,0.433859676,0.887721002,-0.151137009,-0.103864729,0
Sylhet ,24.8993357,91.8700473,1/27/1998,0.0,0.0,286.1914978,291.9097595,,0.0,-5e-10,-0.000101664,100425.6875,39.07592392,0.40085721,14.64775085,-0.460248917,-0.321421176,0
Sylhet ,24.8993357,91.8700473,1/28/1998,1.33e-05,0.510355651,286.9022522,290.9161072,,3.96e-06,-5e-10,-4.15e-05,100591.1328,44.9319725,0.551671147,26.262537,-0.48325336,0.039960828,0
Sylhet ,24.8993357,91.8700473,1/29/1998,2.72e-06,9.380656242,287.2136536,291.7294006,,2.68e-06,3.72e-06,-9.97e-05,100500.2813,47.42960739,0.125351608,26.20762634,-0.237317339,0.140407696,0
Sylhet ,24.8993357,91.8700473,1/30/1998,4.87e-05,19.58858299,287.7921143,291.6799927,25.55161285,4.86e-05,1.78e-05,-7.77e-05,100482.9453,44.10054398,0.136735186,15.15398026,0.001137917,0.234950975,0
Sylhet ,24.8993357,91.8700473,1/31/1998,2.03e-05,1.642618775,287.9445801,291.4136658,,1.71e-05,-5e-10,-8.02e-05,100485.4688,39.16644287,0.245102987,0.10126102,-0.167806625,0.073222101,0
Sylhet ,24.8993357,91.8700473,2/1/1998,0.0,0.023457846,287.165741,291.5185547,,0.0,-5e-10,-9.49e-05,100332.3828,34.22550583,0.247433856,12.42402935,-0.095182516,0.067960195,0
