District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Tangail ,24.3917427,89.9948257,1/1/1998,0.0,0.0,285.1284485,289.6982727,,0.0,-5e-10,-7.04e-05,101515.9688,12.19257641,0.380703211,-33.35161591,-2.031212568,2.201279879,0
Tangail ,24.3917427,89.9948257,1/2/1998,0.0,0.0,284.3069763,288.7985229,,0.0,-5e-10,-6.99e-05,101529.4688,4.331958771,0.193057314,-41.89466476,-1.606775761,2.166692495,0
Tangail ,24.3917427,89.9948257,1/3/1998,0.0,0.0,284.2779236,288.5478821,,0.0,-5e-10,-6.95e-05,101674.7578,16.56512451,0.001668369,-30.46213722,-2.006824493,1.839662552,0
Tangail ,24.3917427,89.9948257,1/4/1998,0.0,0.0,285.6555481,288.4777527,,0.0,-5e-10,-6.55e-05,101531.4609,22.05855751,0.797523081,-25.85207176,-1.551123738,2.161302328,0
Tangail ,24.3917427,89.9948257,1/5/1998,0.0,0.170104981,285.6356201,288.441864,,0.0,-5e-10,-6.9e-05,101366.4609,27.5739193,0.259321004,-18.9471302,-0.690574706,1.686489582,0
Tangail ,24.3917427,89.9948257,1/6/1998,4.66e-07,3.578593016,284.6379089,287.5397644,,2.99e-07,-5e-10,-5.75e-05,101435.6953,28.35402107,0.329905033,-2.318773031,-1.15148592,1.16981709,0
Tangail ,24.3917427,89.9948257,1/7/1998,0.0,0.005859375,284.8259277,287.6832581,,0.0,-5e-10,-7.03e-05,101516.8828,18.07074356,0.455612063,-11.82971287,-1.246184826,1.237644315,0
Tangail ,24.3917427,89.9948257,1/8/1998,0.0,0.0,284.8060913,287.7914124,,0.0,-5e-10,-7.18e-05,101369.3047,22.89151764,0.256620705,-8.132247925,-1.246573925,1.873266101,0
Tangail ,24.3917427,89.9948257,1/9/1998,0.0,0.0,285.0322266,288.3317871,,0.0,-5e-10,-7.41e-05,101204.0625,27.21026802,0.242348626,-9.121818543,-1.224434257,1.75301218,0
Tangail ,24.3917427,89.9948257,1/10/1998,0.0,0.0,284.4947815,287.8117371,,0.0,-5e-10,-7.37e-05,101271.6797,23.66390038,0.554433107,-23.36662483,-1.469959617,1.454174161,0
Tangail ,24.3917427,89.9948257,1/11/1998,0.0,0.0,284.4564514,287.8808899,,0.0,-5e-10,-7e-05,101128.7422,25.32323456,0.30358243,-16.93384743,-0.825250387,1.999765754,0
Tangail ,24.3917427,89.9948257,1/12/1998,0.0,0.035196941,284.3380432,287.8186951,,0.0,-5e-10,-6.7e-05,100874.0078,31.54357147,0.160831824,6.280320644,0.87230283,1.039039373,0
Tangail ,24.3917427,89.9948257,1/13/1998,2.88e-05,37.23543167,286.308075,290.2714539,59.18299866,2.88e-05,1.62e-05,-6.25e-05,100794.625,31.74019432,0.319796264,15.02526951,0.929554522,-0.600794375,0
Tangail ,24.3917427,89.9948257,1/14/1998,3.19e-06,4.62286377,285.9582825,290.0692444,,3.17e-06,1.01e-06,-7.74e-05,100971.6328,25.04554749,0.225523159,-22.7849369,-0.580395401,0.892261982,0
Tangail ,24.3917427,89.9948257,1/15/1998,0.0,0.0,284.7200928,289.263031,,0.0,-5e-10,-8.32e-05,100829.2734,24.72812462,0.33263585,6.139675617,0.869081318,1.928259373,0
Tangail ,24.3917427,89.9948257,1/16/1998,0.0,0.346110016,285.7558289,290.5374451,,0.0,-5e-10,-8.43e-05,100817.2813,27.75039673,0.053510573,-17.23492622,0.820240021,1.090396404,0
Tangail ,24.3917427,89.9948257,1/17/1998,0.0,0.610087097,285.6845398,291.4042358,,0.0,-5e-10,-7.98e-05,101144.9141,40.24279022,0.447123975,-9.438532829,-1.464208484,-0.317720711,0
Tangail ,24.3917427,89.9948257,1/18/1998,1.44e-05,3.12093091,286.2363586,291.2342224,,1.26e-05,7.42e-06,-5.67e-05,101145.8047,42.37771606,0.474466443,4.07215929,-0.994713843,0.14457874,0
Tangail ,24.3917427,89.9948257,1/19/1998,0.0,0.0,283.0749207,289.3302917,,0.0,-5e-10,-8.95e-05,101340.4609,25.70702553,0.053075675,-27.3149395,-1.506758094,1.422068,0
Tangail ,24.3917427,89.9948257,1/20/1998,0.000103331,0.076253258,283.6253967,290.0685425,,0.00010335,1.17e-05,-8.95e-05,101402.8359,11.14666462,0.388467163,-28.53858948,-0.758550406,1.322177172,0
Tangail ,24.3917427,89.9948257,1/21/1998,6.82e-05,3.068156004,284.5533447,287.1564636,,6.81e-05,1.23e-05,-5.38e-05,101281.7891,32.32951355,0.715630531,7.223060131,0.561936915,-0.167670742,0
Tangail ,24.3917427,89.9948257,1/22/1998,1.08e-06,0.387145996,284.5387878,287.7713928,,0.0,-5e-10,-6.59e-05,101447.75,20.50627136,0.388960511,-32.23099518,-1.382698178,0.729185522,0
Tangail ,24.3917427,89.9948257,1/23/1998,0.0,0.0,284.3514709,289.2033997,,0.0,-5e-10,-8.8e-05,101359.4375,20.06358719,0.298707634,-34.61590576,-1.582906365,1.372657299,0
Tangail ,24.3917427,89.9948257,1/24/1998,0.0,0.0,285.3135986,290.3611755,,0.0,-5e-10,-8.95e-05,101504.5703,21.28568077,0.56165725,-24.9779911,-1.557610154,1.556417823,0
