District,Latitude,Longitude,Date,Total Precipitation,Cape,2m_dewpoint_temperature,2m_temperature,convective_inhibition,convective_precipitation,convective_rain_rate,evaporation,surface_pressure,total_totals_index,total_cloud_cover,k_index,10m_v_component_of_wind,10m_u_component_of_wind,Events
Thakurgaon ,26.0418392,88.4282616,1/1/1998,0.0,0.0,283.6165466,288.677124,,0.0,-5e-10,-5.93e-05,101190.4766,21.65957451,0.621593297,-28.61510658,-0.146466926,2.579902172,0
Thakurgaon ,26.0418392,88.4282616,1/2/1998,0.0,0.0,283.1001282,288.3059387,,0.0,-5e-10,-5.99e-05,101192.2891,23.52839661,0.167814314,-27.05366707,0.112809099,2.652713299,0
Thakurgaon ,26.0418392,88.4282616,1/3/1998,0.0,0.0,284.2117004,288.3995361,,0.0,-5e-10,-5.56e-05,101352.9766,28.53614235,0.010145019,-8.37916851,-0.405397058,2.20889473,0
Thakurgaon ,26.0418392,88.4282616,1/4/1998,0.0,0.0,284.7007141,288.3213806,,0.0,-5e-10,-5.69e-05,101208.2266,30.35339928,0.32252261,-1.931510329,-0.231241897,2.136211872,0
Thakurgaon ,26.0418392,88.4282616,1/5/1998,0.0,0.0,285.2130432,288.9372253,,0.0,-5e-10,-5.62e-05,100995.1875,37.08818054,0.524003208,6.94313097,0.127749026,2.172617436,0
Thakurgaon ,26.0418392,88.4282616,1/6/1998,3.59e-08,0.082112633,284.7997131,288.6842957,,2.39e-08,-5e-10,-5.25e-05,101059.3125,33.64989471,0.230799124,9.548298836,0.311157852,1.473125577,0
Thakurgaon ,26.0418392,88.4282616,1/7/1998,0.0,0.03515625,284.5563965,288.2545471,,0.0,-5e-10,-5.22e-05,101192.7266,24.36021614,0.554007113,5.939057827,-0.994951725,0.157434046,0
Thakurgaon ,26.0418392,88.4282616,1/8/1998,0.0,0.0,284.5812073,288.3021545,,0.0,-5e-10,-6.36e-05,101017.2422,27.71253967,0.123362154,-4.02297163,-0.027790649,1.709440827,0
Thakurgaon ,26.0418392,88.4282616,1/9/1998,0.0,0.023457846,284.5920715,288.8955994,,0.0,-5e-10,-5.98e-05,100833.7578,33.09130478,0.498498201,-7.956631184,-0.006450966,2.063143969,0
Thakurgaon ,26.0418392,88.4282616,1/10/1998,0.0,0.205301926,284.146698,288.6990662,,0.0,-5e-10,-5.4e-05,100942.2188,28.72281647,0.557022154,-15.66797352,-0.763177216,0.917673171,0
